مشاطه این عروس طناز	مشاطگی اینچنین کند ساز
کان پی سپر سپاه اندوه	در سیل بلا ستاده چون کوه
سرگشته چو گردباد در دشت	با باد به سان گرد می گشت
چون ماند برون ز کوی لیلی	جانی پر از آرزوی لیلی
بودی دل و دیده تنگ و تاریک	از دوری او به مرگ نزدیک
یک جا دو دمش نبود آرام	هر لحظه سوی دگر زدی گام
در وادی گرم ریگ پیمای	در آتش پر شرر زدی پای
بر کوه فکند سایه چون میغ	می داشت قرار بر سر تیغ
گیرم که ز غم زبون توان بود	بر آتش و تیغ چون توان بود
هر جا که سیاهیی بدیدی	چون اشک به سوی او دویدی
لیلی گفتی و حال کردی	وز لیلی ازو سئوال کردی
گر یک دو سخن ز وی بگفتی	خاک قدمش به دیده رفتی
ور نی دامن کشیدی از وی	پیوند سخن بریدی از وی
حالش چو بر این گذشت یکچند	بگسست ز عقل و هوش پیوند
شوق آمد و صبر را زبون کرد	همچون قلمش علم نگون کرد
شد حیله گر و وسیله اندیش	زد گام سوی وسیله خویش
زاعیان قبیل جست یک تن	چون جان ز فروغ عقل روشن
گفت ای به توام امید یاری	دارم به تو این امیدواری
کز من به پدر بری سلامی	وز پی برسانیش پیامی
کای نخل من از تو سر کشیده	وز پرورشت به بر رسیده
معجون گلم سرشته توست	مضمون دلم نوشته توست
باشد هنر تو هر چه دارم	من خود به جز این هنر چه دارم
پیراسته باغ عمرم از تو	تابنده چراغ عمرم از تو
دیدم ز تو دمبدم نویدی	دارم به تو این زمان امیدی
کز تو رسدم نویدی دیگر	آماده شود امیدی دیگر
لیلی که مراد جان من اوست	فیروزی جاودان من اوست
در حجله عزتش نشاندند	چون چشم بدم ز در براندند
از فرقت او هلاکم امروز	دلخسته و سینه چاکم امروز
جز بر در او نبایدم جای	گر جا ندهند وای من وای
آخر طلب رضای من کن	دردم بنگر دوای من کن
گو با پدرش که کین نورزد	با من که جهان بدین نیرزد
طوقی ز برای من کند ساز	سازد به غلامیم سرافراز
باشم به حریم احترامش	داماد نه کمترین غلامش
گفتی که تو را نسب بلند است	وز نسبت او تو را گزند است
من سوختم از نسب چه حاصل	جز محنت روز و شب چه حاصل
خواهم بد من شود ز تو نیک	با من دم مهر می زنی لیک
جز کینه وریت نیست ظاهر	مهر پدریت نیست آخر
ارحم ترحم شنیده باشی	خاصیت رحم دیده باشی
رحمی بنما که مردم اینک	جان از ستمت سپردم اینک
قصدم نه ازین هوای نفس است	اینجا که منم چه جای نفس است
کان ادب است خاک پاکم	زآلایش طبع پاک پاکم
لیلی که به غم فروخت جانم	آنیست در او که سوخت جانم
آن را ز کسی دگر نیابم	زانست کزو نظر نتابم
ور نه چه کرا کند که مردی	از دغدغه های جمع فردی
از بهر زنی نه سر نه انجام	در مرحله طلب نهد گام
بس باشدم اینقدر که گاهی	از دور کنم در او نگاهی
او صدر سریر ناز باشد	آزاده و سرفراز باشد
من خاک صف نعال باشم	افتاده و پایمال باشم
آن یار تمام بی کم و کاست	گریان ز حضور قیس برخاست
زان ملتمسی که از پدر کرد	اشراف قبیله را خبر کرد
با یکدگر اتفاق کردند	سوگند بر اتفاق خوردند
سوی پدرش قدم نهادند	وان دفتر غم ز هم گشادند
با او سخنان قیس گفتند	هر مهره که سفته بود سفتند
دانست پدر که حال او چیست	بر روی نهاد دست و بگریست
کش کارد به استخوان رسیده ست	وز محنت دل به جان رسیده ست
با این المش چه سان پسندم	آن به که کنون میان ببندم
در چاره کار او خروشم	چندان که توان بود بکوشم
در کف نهمش زمام مقصود	مستی دهمش ز جام مقصود
محمل پی رهروی بیاراست	وز اهل قبیله همرهی خواست
پیران به تضرع شفیعی	خردان به تواضع مطیعی
راندند ز آب دیده سیلی	تا وادی خیمه گاه لیلی
آمد پدرش چنانکه دانی	وافکند بساط میهمانی
خدام ز هر طرف رسیدند	خوان ها پی نزلشان کشیدند
چون خوان ز میانه برگرفتند	افسون و فسانه در گرفتند
هر کس سخنی دگر درانداخت	پرده ز ضمیر خود برانداخت
از هر جانب جنیبه راندند	تقریب سخن به آن رساندند
کز مقصد خویشتن حکایت	گویند به پرده کنایت
گفتند در این سراچه پست	بالا نرود صدا ز یک دست
تا دست دگر نسازیش یار	نبود به صدا دهی سزاوار
طاقی که تو را به هر رواق است	در هر دهنی به نام طاق است
تا جفت نگرددش دو بازو	خود گو که چه سان شود ترازو
در طاق جمال ها نهفته ست	آیینه آن جمال جفت است
بگذر به نظاره بر چمن ها	هر چند که گل خوش است تنها
چون سبزه به سلک او درآید	پیش نظر تو خوشتر آید
وانگاه به صد زبان ثناگوی	کردند به سوی میزبان روی
کای دست تو بیخ ظلم کنده	حی عرب از سخات زنده
در پرده تو را خجسته ماهیست	کز چشم دلت بدو نگاهیست
پاکیزه چو گوهر نسفته	دوشیزه چو شاخ ناشکفته
ماه است و ز مه دریغ باشد	کین گونه به زیر میغ باشد
بر ظلمتیان شب ببخشای	وین میغ ز پیش ماه بگشای
طاق است و بود عطیه مفت	با طا دگر گرش کنی جفت
قیس هنریست اینک آن طاق	چون بخت به بندگیت مشتاق
در اصل و نسب یگانه دهر	در فضل و ادب فسانه شهر
مرحومش از این مراد مپسند	داماد گذاشتیم و فرزند
بپذیر به دولت غلامیش	زین شهد رهان ز تلخکامیش
آن یک حور است و این فرشته	از جوهر قدسیان سرشته
خوش نیست فرشته را که از حور	چون دیو بود همیشه مهجور
لایق به همند این دو گوهر	مشتاق همند این دو اختر
یک درج به است جای ایشان	یک برج طربسرای ایشان
آیین وفا و مهربانی	گفتیم تو را دگر تو دانی
