خورشید به وقت بامدادان	چون داد مراد نامرادان
یعنی که به آفتابه زر ریخت	وز حقه پر گهر گهر ریخت
مجنون به هزار نامرادی	می گشت به گرد کوه و وادی
لیلی می گفت و راه می رفت	همراه سرشک و آه می رفت
هر جا که ز پای رهنوردی	دیدی به هوا ز دور گردی
چون باد صبا هواش کردی	سرمه ز غبار پاش کردی
پر شعله دلی ز داغ لیلی	از وی کردی سراغ لیلی
ناگه رمه ای برآمد از راه	سردار رمه شبانی آگاه
در وادی جست و جو کلیمی	از پشم سیه به بر گلیمی
موسی وارش به کف عصایی	در دیده گرگ اژدهایی
از فرق به سوی او قدم ساخت	چون سایه به پای او سر انداخت
گفت ای دل و جان من فدایت	روشن بصرم به خاک پایت
یابم ز تو بوی آشنایی	آخر تو کیی و از کجایی
این طرفه رمه که از بز و میش	گرد تو گرفته از پس و پیش
گردی که ز راهشان برآید	زان نکهت مشک و عنبر آید
این بوی ز منزل که دارند	شب پیش در که می گذارند
گفتا که شبان لیلی ام من	پرورده خوان لیلی ام من
هست این رمه مایه بخش خوانش	آبادان ساز خان ومانش
اینک سر و گوششان نشانمند	از داغ و دروش آن خداوند
شب خفتنشان به مسکن اوست	این عطر ز بوی دامن اوست
هر جا که کشد به ناز دامان	گیسوافشان شود خرامان
گردد همه مشکبو زمینش	جانبخش نسیم عنبرینش
مجنون چو نشان دوست بشنید	چون اشک به خون و خاک غلطید
افتاد ز پای رفته از کار	چشم از نظر و زبان ز گفتار
بی خود به زمین فتاد تا دیر	در بی خودی ایستاد تا دیر
وآخر که به هوشیاری آمد	در پیش شبان به زاری آمد
کای محرم خیل خانه دوست	شبها سگ آستانه دوست
امروز ز وی خبر چه داری	گو روشن و راست هر چه داری
سینه ز غمش پر است تا لب	از بهر خدا که بر گشا لب
گفتا که کنون خوش است در حی	کس نیست به گرد خیمه وی
در خیمه خود نشسته تنهاست	چون ماه میان هاله یکتاست
مردان قبیله رخت بستند	وز عرصه حی برون نشستند
دارند هوای آنکه غافل	بر قصد گروهی از قبایل
سازند کمین به صبحگاهان	بر غارت مال بی پناهان
از وی چو سماع این بشارت	صبری که نداشت کرد غارت
گفتا به شبان که ای نکو خوی	لطفی بکن و رضای من جوی
این کهنه گلیم خود به من ده	صد منت ازان به جان من نه
چون بخت گلیم من سیه بافت	بخت تو به آن ره از کجا یافت
محروم ز دلبر قدیمی	من بعد من و سیه گلیمی
باشد که زنم چنانکه دانی	طبل طربی در او نهانی
هر چند برون بود ز امکان	در زیر گلیم طبل پنهان
این گفت و گلیم را بپوشید	می رفت و ز شوق می خروشید
رو کرد به سوی آن قبیله	از بهر وصال آن جمیله
لیلی جویان به حی درآمد	فریاد ز جان وی برآمد
در هر قدمی که پیش می رفت	اندک اندک ز خویش می رفت
چشمش چو به خانه وی افتاد	شد خانه هستیش ز بنیاد
بانگی بزد از درون غمناک	وافتاد به سان سایه بر خاک
لیلی چو شنید بانگ بشناخت	از خانه برون مقام خود ساخت
بیرون از در چه دید مجنون	افتاده ز عقل و هوش بیرون
بالای سرش نشست خونریز	از نرگس شوخ فتنه انگیز
از گریه به روش آب می زد	نی آب که خون ناب می زد
زان خواب گران به هوشش آورد	در غلغله و خروشش آورد
برخاست به روی دوست دیدن	بنشست به گفتن و شنیدن
هر دو به سخن زبان گشادند	غم های گذشته شرح دادند
مجنون ز شکایت سفر گفت	لیلی ز غم وطن گهر سفت
آن خواند حدیث کوه و وادی	وین قصه کنج نامرادی
آن بود ز ناله درددل گوی	وین بود ز گریه خون دل شوی
آن گفت که بی رخت بجانم	این گفت که من فزون از آنم
آن گفت دلم هزار پاره ست	این گفت که این زمان چه چاره ست
آن گفت شدم ز جان خود سیر	این گفت که مرگ من رسد دیر
آن گفت که هجر جانگداز است	این گفت که وصل چاره ساز است
آن گفت که بی تو دردناکم	این گفت که از غمت هلاکم
آن گفت مراست دل ز غم ریش	این گفت مراست ریش ازان بیش
آن گفت نمی روم ازین کوی	این گفت به ترک جان خود گوی
آن گفت در آتشم ز دوری	این گفت که پیشه کن صبوری
آن گفت که صبر نیست کارم	این گفت جز این دوا ندارم
آن گفت که خوش بود رهایی	این گفت ز محنت جدایی
آن گفت فغان ز کینه کیشان	این گفت که باد مرگ ایشان
آن گفت دلم ز غم دو نیم است	این گفت چه غم خدا کریم است
چون گفته شد آنچه گفتنی بود	وان راز که هم نهفتنی بود
زد شعله درون لیلی از بیم	کان قوم ز عقل و دین به یک نیم
ناگاه ز راه در نیایند	وان دلشده را به سر نیایند
بر وی نکشند تیغ بیداد	و او را نرسد کسی به فریاد
گفت ای ز میان عاشقان فرد	در راه وفا به جان جوانمرد
برخیز که تیغ چرخ تیز است	با ما و تو بر سر ستیز است
با هم به وداع ایستادند	وز هر مژه سیل خوش گشادند
آن روی به دشت کرد یا کوه	وین ماند به جا چو کوه اندوه
اینست بلی زمانه را خوی	آسودگی از زمانه کم جوی
صد سال بلا و رنج بینی	ک آسوده یکی نفس نشینی
ناکرده تو جای خویشتن گرم	هیچش ناید ز روی تو شرم
دستت گیرد که زود برخیز	پایت کوبد به سر که بگریز
