سیاح حدود این ولایت	نظام عقود این حکایت
زین قصه روایت اینچنین کرد	کان خاک نشیمن زمین گرد
نخجیر دره گوزن بیشه	نخجیر و گوزن تگ همیشه
چون ماند ز طوف کوی لیلی	وز گام زدن به سوی لیلی
آشفته و بی قرار می گشت	شوریده به هر دیار می گشت
از چهره به خون غبار می شست	سرگشته نشان یار می جست
هر جا می دید کاروانی	پیدا می کرد کاردانی
می سوخت ز درد و داغ جانان	می کرد ز وی سراغ جانان
رزی که سموم نیمروزی	برخاست به کوه و دشت سوزی
شد دشت ز ریگ و سنگپاره	طشتی پر از اخگر و شراره
حلقه شده مار ازو به هر سوی	زانسان که بر آتش اوفتد موی
گر گور به دشت رو نهادی	گامی به زمین او نهادی
چون نعل ستور راهپیمای	پر آبله گشتیش کف پای
گیتی ز هوای گرم ناخوش	تفسان چو تنوره ای ز آتش
هر کوه گران در آن تنوره	ریزان از هم چو سنگ نوره
هر چشمه به کوه در خروشان	سنگین دیگی پر آب خوشان
کردی ماهی ز آب لابه	با روغن داغ و روی تابه
هر تخته سنگ داشت بر خوان	نخجیر کباب و کبک بریان
از سایه گوزن دل بریده	در سایه شاخ خود خزیده
بیچاره پلنگ از تف و تاب	در پای درخت سایه نایاب
افتاده چو سایه درختی	ظلمت لختی و نور لختی
گشته به گمان سایه نخجیر	ز آسیمه سری به وی پنه گیر
آن روز به هر دره که سیلی	کرد از بالا به زیر میلی
آن سیل نبود از نم میغ	بود آن شده آب کوه را تیغ
مجنون رمیده در چنین روز	انگشت شده ز بس تف و سوز
زو شعله دل زبانه می زد	آتش به همه زمانه می زد
آرام نمی گرفت یک جای	می سوخت بر آتشش مرگ پای
ناگاه چو لاله داغ بر دل	بالای تلی گرفت منزل
انداخت به هر طرف نگاهی	از دور بدید خیمه گاهی
خیمه زده جوق جوق مردم	گشته چو فلک زمین پر انجم
برجست و نفیر آه برداشت	ره جانب خیمه گاه برداشت
آنجا چو رسید از کناری	بیرون آمد شترسواری
بر وی سر ره گرفت مجنون	کای طلعت تو به فال میمون
این قافله روی در کجایند	محمل به کجا همی گشایند
آن جوق کدام وین کدام است	آن قوم چه نام وین چه نام است
آن ناقه سوار بی شتابی	می گفت ز یک یکش جوابی
گفتا همه روی در حجازند	بر نیت حج بسیچ سازند
پرسید در آن میان ز خیلی	گفتا لیلی و آل لیلی
مسکین چو شنید از وی این نام	زان گفت و شنو گرفت آرام
از گرد وجود خویشتن پاک	افتاد به سان سایه بر خاک
بعد از چندی ز خاک برخاست	از هستی خویش پاک برخاست
احرام حجاز بست با یار	از بی یاری برست با یار
لیلی می راند محمل خویش	مجنون از دور با دل ریش
می رفت رهی به آن درازی	با محمل او به عشقبازی
می بود دلش به ناله زار	بربسته به محملش جرس وار
هر بار که محملش بدیدی	افغان چو درای برکشیدی
گفتی که چه حاجتش به محمل	این بس که مرا نشسته در دل
محمل که بر آن دو رخ حجاب است	محمل نه که برج آفتاب است
کو بخت که بر چو من خرابی	زین برج بتابد آفتابی
گردم فارغ ز هوش و تمییز	در پرتو آن چو ذره ناچیز
محمل کش او چو ناقه راندی	وز ناقه نشان پا بماندی
مجنون ز قفا بایستادی	بوسه به نشان پاش دادی
وز روی چو زر به زر گرفتی	وز هر مژه در گهر گرفتی
کین مانده به ره نشان یار است	وز ناقه دوست یادگار است
گر یار به دست نیست باری	گیرم به نشان او قراری
مسکین عاشق به عاشقی بند	از دوست بود به هیچ خرسند
گر یار به وصل در نسازد	با او به خیال عشق بازد
از پایش اگر اثر نیابد	بر خاک رهش به پی شتابد
زان دور که پای وی ببوسد	نایافته پای پی ببوسد
جامی بنگر که در چه کاری	وز دوست به دست خود چه داری
عالم همه مست جام اویند	دل کرده شکار دام اویند
هر یک شده مست آرزویی	آن مست به رنگ وین به بویی
او خورشیدیست عرش پایه	از وی همه عرش و فرش سایه
می دار نظر به سایه دوست	لیکن زان رو که سایه اوست
در سایه مدار روی امید	زانسان که شود حجاب خورشید
از تیرگی حجاب بگذر	وز سایه در آفتاب بنگر
