تاریخ نویس عشقبازان	شیرین رقم سخن طرازان
از سرور عاشقان چو دم زد	بر لوح بیان چنین رقم زد
کز عامریان بلند قدری	بر صدر شرف خجسته بدری
مقبول عرب به کار سازی	محبوب عجم به دلنوازی
از مال و منال بودش اسباب	افزون ز عمارت گل و آب
چون خیمه درین بساط غبرا	می بود مقیم کوه و صحرا
صحرای عرب مخیم او	معمور ز یمن مقدم او
عرض رمه اش برون ز فرسنگ	بر آهوی دشت کرده جا تنگ
اشتر گله هاش کوه کوهان	چون کوه بلند پرشکوهان
زیشان گشتی گه چراخوار	کوهستان ها زمین هموار
خیلش گذران به هر کناره	چون گله گور بی شماره
بگشاده دری به میزبانی	در داده صلای میهمانی
هر شام به کوه و دشت تا روز	آتش پی میهمانی افروز
حاجت طلبان به روی او شاد	ویرانی شان به جودش آباد
دستش به ایادی جمیله	انگشت نمای هر قبیله
داده کف او شکست خاتم	بر بسته به جود دست حاتم
سادات عرب به چاپلوسی	پیش در او به خاکبوسی
شاهان عجم ز بختیاری	با او به هوای دوستداری
از جاه هزار زیب و فر داشت	وان از همه به که ده پسر داشت
هر یک ز نهال عمر شاخی	وز شهر امل بلند کاخی
لیکن ز همه کهینه فرزند	می داشت دلش به مهر خود بند
بر دست بود بلی ده انگشت	در قوت حمله جمله یک پشت
باشد ز همه به سور و ماتم	انگشت کهین سزای خاتم
آری بود او ز برج امید	فرخنده مهی تمام خورشید
فرخندگی مه تمامش	بیرون ز قیاس و قیس نامش
سالش که قدم به چارده داشت	بر چارده مه خط سیه داشت
یاقوت لبش به خوشنویسی	ماهش به شعار مشک ریسی
تابان مه روشن از جبینش	خورشید فتاده بر زمینش
ابروش بلای نازنینان	محراب دعا پاکدینان
قدش نخلی عجب دلاویز	بر خسته دلان ز لب رطب ریز
دور شکرش ز موی میمی	زیر کمرش ز موی نیمی
گوی ذقنش ز سیم ساده	سبزه ز درون برون نداده
سرو قد گلرخان دلجوی	چوگان شده در هوای آن گوی
سر تا قدم از ادب سرشته	بر دل رقم ادب نوشته
طبعش ز سخن به موشکافی	مشعوف به شعر شعربافی
چون لعل لبش خموش بودی	بر روزن راز گوش بودی
چون غنچه تنگ او شکفتی	سنجیده هزار نکته گفتی
کلکش ز سواد طره حور	صد نقش زدی به لوح کافور
هر حرف که بر ورق کشیدی	بر نغز خطان ورق دریدی
با طایفه ای ز خردسالان	چون او همه مشکبو غزالان
همواره هوای گشت کردی	طوافی کوه و دشت کردی
گه باز زدی به کوه دامان	با کبک دری شدی خرامان
گه بنشستی به طرف وادی	بر رود زدی نوای شادی
گه ره سوی چشمه سار جستی	وز چشمه دل غبار شستی
گه رخت به مرغزار بردی	وز دل غم روزگار بردی
می زد قدمی به هر بهانه	فارغ ز حوادث زمانه
نه در جگرش ز عشق تابی	نه بر مژه اش ز شوق آبی
نه جامه صابری دریده	نی ناله عاشقی کشیده
شب خواب فراغتش ربودی	بر بستر عافیت غنودی
روزش در آرزو گشادی	در هر تک و پوی رو نهادی
کامی که عنان کش دلش بود	بر وفق مراد حاصلش بود
بینا نظر پدر به حالش	خرم دل مادر از جمالش
ناگشته هنوز خاطراندیش	کاخر ز فلک چه آیدش پیش
حالیست عجب که آدمیزاد	آسوده زید درین غم آباد
غافل که چه بر سرش نوشتند	در آب و گلش چه تخم کشتند
شاخی کش از آب و خاک خیزد	در دامن او چه میوه ریزد
شیرین گردد ازان دهانش	یا تلخ شود مذاق جانش
