دبیر خردمند دانش پژوه	نویسنده قصه هر گروه
نوشت از سکندر شه نامدار	که چون سلطنت یافت بر وی قرار
چو نور خرد بودش اندر سرشت	خردنامه های حکیمان نوشت
ز هر حرف حکمت که شد بهره یاب	نوشتش به حل یافته زر ناب
بلی نقد بحر خرد گوهر است	به زر نظم سلک گهر خوشتر است
به هر لحظه کردی در آنجا نظر	شدی از سوادش مکحل بصر
گرفتی به دستور آن کار پیش	به آن راست کردی همه کار خویش
نخست از ارسطو کش استاد بود	به شاگردی او دلش شاد بود
خردنامه ای نغز عنوان گرفت	که مغز از قبول دل و جان گرفت
ز نام خدایش سر آغاز کرد	وز آن پس نوای دعا ساز کرد
که شاها دلت چشمه راز باد	به روی تو چشم رضا باز باد
زبانی که باشد به فرمان گرو	نباشد به از گوش فرمان شنو
فضیلت بود در قبول سخن	نه اندر فضولی کن یا مکن
ز سوسن گل باغ ازان بهتر است	که این جمله گوش آن زبان آور است
خدای آنچه با بندگان می کند	ازیشان توقع همان می کند
کند لطف تا لطف خویی کنند	کند نیکویی تا نکویی کنند
بپرورد در لجه جودشان	به جودی که پرورد فرمودشان
گناه همه از نم عفو شست	به جرم کسان از همه عفو جست
ازان با همه زد دم از راستی	که تابد عنانشان ز کم کاستی
به هر کس ز داد و ستد ره گشاد	نمی خواهد از وی به جز آنچه داد
میفکن به کار رعیت گره	خدا آنچه دادت به ایشان بده
ترحم کن و عفو و بخشش نمای	که اینها رسیدت ز فضل خدای
جهان کوه و فعل تو آمد ندا	جزای تو بر فعل باشد صدا
ازین کوه کز فعل تو پر نداست	صدا جز به وفق ندا برنخاست
به کوه آنچه گویی جز آن نشنوی	به خاک آنچه کاری جز آن ندروی
نهالی که کاری درین تیره خاک	چنان کار کز وایه طبع پاک
دهد نام نیکوت امروز بار	به فردات خشنودی کردگار
اگر واگذاری به او کار خویش	نیاید تو را هیچ دشوار پیش
ز کار تو دشمن هراسان شود	همه کارها بر تو آسان شود
وگر جز بدو افکنی کار را	نشانه شوی تیر ادبار را
بماند تو را کار ناساخته	دل از نقد اقبال پرداخته
نیاورده روی دل اندر صلاح	ز تو قصد اصلاح نبود مباح
ز گم کرده ره رهنمایی که یافت	ز دود سیه روشنایی که یافت
ز سرچشمه چون تلخ و شور آید آب	ز لب تشنگان کی برد تف و تاب
گر اصلاح خلق جهان بایدت	دل از هر بدی بر کران بایدت
نشسته ز خود حرف عیب از نخست	ز تو عیب شویی نیاید درست
چو ناپاک آید به تو آب جوی	مجو پاکی جامه از شست و شوی
مشو غره حسن گفتار خویش	نکو کن چو گفتار کردار خویش
چو کردار ناصح بود ناپسند	نصیحت کی افتد ز وی سودند
خرد عیب آن بی خرد می کند	که منع کس از کار خود می کند
نشد مانع طفل قول پدر	که خود خورد حلوا و گفتش مخور
پی زجر نادان بی باک کیش	بود قوت فعل از قول بیش
ودیعت نهادت فلک در سرشت	بسی خوی نیک و بسی خوی زشت
هلاک تو در خوی زشت است لیک	نجات تو بخشد ازان خوی نیک
چو غالب شود خوی بد بر مزاج	نباشد به جز خوی نیکش علاج
بزن شیشه خشم را سنگ حلم	بشو ظلمت جهل را زآب علم
به فکرت ز دل زنگ نسیان ببر	به شکر از درون داغ کفران ببر
چو باری ز گردونت آید به دوش	در افکندن آن مشو حیله کوش
به پشت تحمل کش آن بار را	مکن حیله گر نفس مکار را
مبادا شود سخت تر کار تو	به پشت تو گردد فزون بار تو
