الهی کمال الهی توراست	جمال جهان پادشاهی توراست
جمال تو از وسع بینش برون	کمال از حد آفرینش فزون
بلندی و پستی نخوانم تو را	مقید به اینها ندانم تو را
نه تنها بلندی و پستی تویی	که هستی ده هست و هستی تویی
تویی جمله و غیر تو هیچ نیست	درین نکته یک مو خم و پیچ نیست
چو بیرونی از عقل و وهم و قیاس	تو را چون شناسم من ناشناس
وز آن رو که پیدا و پنهان تویی	به هر چه افتدم چشم دل آن تویی
جهان نیست جز ساده وش نامه ای	بر او صنع تو حرفکش خامه ای
خرد هست ازان نامه حرف نخست	که دیباچه نامه زان شد درست
بود آخرین حرف ازان آدمی	بر او ختم شد منصب خاتمی
ز آغاز این نامه تا ختم کار	گر آرد یکی نامجو در شمار
همه دفتر فضل و انعام توست	مفصل شده نسخه نام توست
نگویم که نامت هزار و یکیست	که با آن هزاران هزار اندکیست
بهشت است منزلگه زیرکی	که کوشد در احصای صد کم یکی
بجنبان بدین سبحه انگشت من	وزآن مهره گردان قوی پشت من
بود در رهت سبحه خوانی سپهر	که گردد از مهره سان ماه و مهر
به تسبیح خوانی تو می خوانیش	از آنست این مهره گردانیش
طبایع که با یکدگر جنگی اند	ز تدبیر تو رو به یکرنگی اند
ز توست آب با آتش آمیخته	ز تو خاک در باد آویخته
شد از صلح ایشان درین کهنه دیر	بسی خیر ظاهر که الصح خیر
ازان صلح کانها پر از گوهر است	زمین پر درختان بار آور است
وز آنست در جانور زندگی	پس از زندگی وصف پایندگی
وز آنست در آدمی دین و داد	ز دانش به هر کار بند و گشاد
تویی کز تو کس را نباشد گزیر	در افتادگی ها تویی دستگیر
ندارم ز کس دستگیری هوس	ز دست تو می آید این کار و بس
ز تو گر فزایش و گر کاهش است	نه چون فیض خورشید بی خواهش است
بدانی و خواهی و آنگه کنی	به قانون حکمت به آن ره کنی
عبث را درین کارگه راه نیست	ولی هر سر از هر سر آگاه نیست
به ما اختیاری که دادی به کار	ندادی در آن اختیار اختیار
چو سر رشته کار در دست توست	کننده به هر کار پابست توست
سزد گر ز حیرت برآریم دم	چو مختار باشیم و مجبور هم
فلک با همه صیت و طاق و طرنب	نجنبد ز جا تا نگویی بجنب
اگر بی تو موری بجنبد ز جای	در آن جنبش او هم بود یک خدای
ز شرکت زند در جهان خواجه دم	وگر خود شریک است در یک درم
بدین عوی آن کو کشد سر ز راه	دو شاخش نهد شحنه لااله
نشسته ست در طبع هر زیرکی	که دارد دو گیتی مؤثر یکی
یکی جوی جامی دو جویی مکن	به میدان وحدت دو گویی مکن
یکی اصل جمعیت و زندگیست	دویی تخم مرگ و پراکندگیست
