دلا دیده دوربین برگشای	درین دیر دیرینه دیرپای
ببین غور دور شبانروزیش	به خورشید و مه عالم افروزیش
نگویم قدیم است از آغاز کار	که باشد قدم خاصه کردگار
حدوث ار چه شد سکه نام او	نداند کس آغاز و انجام او
شب و روز او چون دو یغمایی اند	دو پیمانه عمر پیمایی اند
دو طرار هشیار و تو خفته مست	پی کیسه ببریدنت تیز دست
ز نقد امانی تو را کیسه پر	به جان دشمن کیسه پر کیسه بر
چو کیسه به سیم و زر آکنده است	دل کیسه داران پراکنده است
یکی جمع شو زین پراکندگی	تهی کن دل از کیسه آکندگی
به عبرت نظر کن که گردون چه کرد	فریدون کجا رفت و قارون چه کرد
پی گنج بردند بسیار رنج	کنون خاک ریزند بر سر چو گنج
پی عزت نفس خواری مکش	ز حرص و طمع خاکساری مکش
چه خوش گفت آن صوفی سفره دار	که نبود جهان جز یکی سفره وار
ازین سفره بنگر که در مرگ و زیست	نصیب تو با این همه خلق چیست
نصیب تو زان نیست یک لقمه بیش	منه بهر آن رنج بر جان خویش
اگر خواهدت از جگر خون چکید	نخواهد نصیب تو افزون رسید
طلب را نمی گویم انکار کن	طلب کن ولیکن به هنجار کن
به مردار جویی چو کرکس مباش	گرفتار هر ناکس و کس مباش
پی لقمه چون سگ تملق مکن	به فتراک دونان تعلق مکن
رهان گردن از بار غل طمع	فشان دامن از خار ذل طمع
طمع پای دل را به جز بند نیست	طمع کار مرد خردمند نیست
طمع هر کجا حلقه بر در زند	خرد خیمه زانجا فراتر زند
میامیز چون آب با هر کسی	میاویز چون باد در هر خسی
نیابی به جز ناکسی از کسان	نبینی به جز دیده ریش از خسان
خلاصی تو زآبرو ریختن	چه بخشد به مردم نیامیختن
خوش آن کو درین لاجوردی رواق	ز آمیزش جفت طاق است طاق
دلش بسته خویش و پیوند نیست	به سودای بیگانگان بند نیست
بود عیسی آساش همت قوی	به تنها نشینی و یکتا روی
نه زین دامگه بند بر گردنش	نه زین خاکدان گرد بر دامنش
کفش صفر و زان قدر او چون عدد	یکی گشته ده، ده رسیده به صد
ازان صفر بختش به فرخندگی	به هر گوش ازو حلقه بندگی
ز گیتی به هر خشک و تر ساخته	ز هر آرزو سینه پرداخته
نگشته چو گل پایبند خسان	نیاورده سر در کمند کسان
ببندد ز پیرامن شهر بار	کشد گردن از منت شهریار
بر اهل ولایت نیاید پدید	که تا ننگ والی نباید کشید
