در نواحی مصر شیرزنی	همچو مردان مرد خودشکنی
به چنین دولتی مشرف شد	نقد هستی تمامش از کف شد
شست از آلودگی به کلی دست	نه به شب خفت و، نی به روز نشست
قرب سی سال ماند بر سر پای	که نجنبید چون درخت از جای
خفته مرغش به فرق، فارغبال	گشته مارش به ساق پا خلخال
شست و شو داده موی او باران	شانه کرده صبا چو غمخواران
هیچ گه ز آفتاب عالمتاب	سایه‌بانش نگشته غیر سحاب
لب فروبسته از شراب و طعام	چون فرشته نه چاشت خورده نه شام
همچو مور و ملخ ز هر طرفی	دام و دد گرد او کشیده صفی
او خوش اندر میانه واله و مست	ایستاده به پا، نه نیست، نه هست
چشم او بر جمال شاهد حق	جان به توفان عشق، مستغرق
دل به پروازهای روحانی	گوش بر رازهای پنهانی
زن مگوی‌اش! که در کشاکش درد	یک سر موی او به از صد مرد!
مرد و زن مست نقش پیکر خاک	جان روشن بود از اینها پاک
کردگارا ، مرا ز من برهان!	وز غم مرد و فکر زن، برهان!
مردی‌ای ده! که رادمرد شوم	وز مرید و مراد، فرد شوم
غرقه گردم به موج لجهٔ راز	هرگز از خود نشان نیابم باز
