ترک آزار کردن خواجه	دفتر کفر راست دیباجه
منکر آمد به پیش او معروف	شد به منکر عنان او مصروف
نفس محنت گریز راحت‌جوی	داردش در ره اباحت روی
گاه لافش ز مذهب تجرید	گه گزافش ز مشرب توحید
از علامات عقل و دین عاری	مذهبش حصر در کم آزاری
ورد او از مباحیان کهن:	کس میازار و هر چه خواهی کن!
نسبت خود کند به درویشان	دم زند از ارادت ایشان
هر که درویش، از او بود بیزار	کی ز درویش آید این کردار؟
نیست درویشی این، که زندقه است	نیست جمعیت این، که تفرقه است
دلش از سر کار واقف نه	معرفت بی‌شمار و عارف نه
همچو جوز تهی نماید نغز	لیک چون بشکنی، نیابی مغز
لفظ‌ها پاک و معنی‌اش گرگین	نافهٔ چین ، لفافهٔ سرگین
نافه نگشاده، مشک افشاند	ور گشایی، جهان بگنداند
آنکه شرع خدای ازوست تباه	نیست گویا ز سر شرع آگاه
کرده در کوی و خانه و بازار	شرع و دین را بهانهٔ آزار
کار باطل کند به صورت حق	برد از شرع مصطفی رونق
می‌کند پایهٔ شریعت پست	تا دهد دایهٔ طبیعت، دست
میر بازار و شحنهٔ شهر است	شرع از او، او ز شرع، بی‌بهره‌ست
فی المثل گر یکی ز عام الناس	بفروشد سه چار گز کرباس
خالی از داغ صاحب تمغا،	در همه شهر افکند غوغا
اول از شرع دست موزه کند	زو سؤال نماز و روزه کند
بعد از آن‌اش سوی عسس خانه	بفرستد برای جرمانه
خصم دین شد به حیله و دستان	ای خدا داد دین از او بستان
شرع را خوار کرد، خوارش کن!	شرم بگذاشت، شرمسارش کن!
