نقش سراپردهٔ شاهی‌ست حسن	لمعهٔ خورشید الهی‌ست حسن
حسن که در پردهٔ آب و گل است	تازه کن عهد قدیم دل است
ای که چو شکل خوشت آراستند	فتنهٔ ارباب نظر خواستند
قد تو سروی‌ست بهشتی‌چمن	روی تو شمعی‌ست بهشت‌انجمن
صورت موزون تو نظم جمال	مطلع آن، جبههٔ فرخنده فال
جبهه‌ات از نور چو مطلع نوشت	ابرویت از نور دو مصرع نوشت
سطری از ابروی تو خوشتر نبود	لیک کج آمد چو به مسطر نبود
بهر تماشاگری روی خویش	آینه کن لیک ز زانوی خویش
نیست به تو همقدمی، حد کس	سایهٔ تو همقدم توست و بس!
صد پی اگر همقدم فکر و رای	از سرت آییم فرو تا به پای
یک به یک اعضای تو موزون بود	هر یک از آن دیگری افزون بود
جلوهٔ حسن تو در افزونی است	آینهٔ چونی و بیچونی است
قبلهٔ هر دیده‌ور این آینه‌ست	منظر اهل نظر این آینه‌ست
صورت چونی شده از وی عیان	معنی بیچون شده در وی نهان
جلوهٔ این آینهٔ نوربار	از نظر بی‌بصران دور دار!
چهره نهان دار! که آلودگان	جز ره بیهوده نپیمودگان،
چون به جمال تو نظر واکنند	آرزوی خویش تمنا کنند
با تو به جز راه هوا نسپرند	جز به غرض روی تو را ننگرند
