پیشترین نغمهٔ باغ سخن	هست نسیم چمن‌آرای «کن»
هست سخن پرده کش رازها	زنده کن مردهٔ آوازها
نغمهٔ خنیاگر دستان‌سرای	مرده بود بی‌سخن جانفزای
چون به سخن باز شود ساز او	جان به حریفان دهد آواز او
مطرب خوش لهجهٔ آن در نواست	گنبد فیروزه از آن پر صداست
خیز و به گلزار درون آ، یکی!	نرگس بینا بگشا اندکی!
از پی گوشی که کند فهم راز	بین دهن گل چو لب غنچه باز
سوسن آزاد و زبان در زبان	مرغ سحرخیز و فغان در فغان
کاشف اسرار و معانی همه	عرضه ده گنج نهانی همه
این همه خود هست، ولی ز آدمی	کس نزده بیش در محرمی
کشف حقایق به زبان وی است	حل دقایق ز بیان وی است
چنگ سخن گرچه بسی ساز یافت	از دم او نغمهٔ اعجاز یافت
گرچه سخن هست گره‌ها به باد	در گرهش بین گره صد گشاد
طرفه عروسی که ز زیور تهی	آید از او دلبری و دل‌دهی
چونکه به زیور شود آراسته	طعنه زند بر مه ناکاسته
چون گهر نظم حمایل کند	غارت صد قافلهٔ دل کند
چون کند از قافیه خلخال پای	پای خردمند بلغزد ز جای
چون ز دو مصراع ، کند ابروان	رخنه شود قبلهٔ پیر و جوان
من که ز هر شاهد و می زاهدم	عمرتلف کردهٔ این شاهدم
عقد حمایل که به بر جلوه داد	عقدهٔ صبر از دل و جانم گشاد
دل که گرانمایه ز اقبال اوست	طوق‌کش حلقهٔ خلخال اوست
ابروی او گرچه نپیوسته است	راه خلاصی به رخم بسته است
روز و شب آوارهٔ کوی وی ام	شام و سحر در تک و پوی وی‌ام
شب که مرا دل سوی او رهبرست	کرسی‌ام از زانو و پای از سرست
از مدد همت والای خویش	بر سر کرسی چو نهم پای خویش
باز کشم پای ز دامان فرش	سر به در آرم ز گریبان عرش
جامهٔ جسم از تن جان برکشم	خامهٔ نسیان به جهان درکشم
بلکه ز جان نیز مجرد شوم	جرعه‌کش بادهٔ سرمد شوم
باده ز جام جبروتم دهند	نقل ز خوان ملکوتم دهند
ساقی سلسال‌ده‌ام سلسبیل	مطربم «آواز پر جبرئیل»
ساقی و مطرب به هم آمیخته	نقل معانی همه جا ریخته
بهره چو برگیرم از آن بزمگاه	از پی رجعت کنم آهنگ راه،
هر چه رسد دستم از آن خوان پاک	زله کنم بهر حریفان خاک
بر طبق نظم به دست ادب	بر نمطی دلکش و طرزی عجب
پرده ز تشبیه و مجازش کنم	تحفهٔ هر محفل رازش کنم
