زنده‌دلی از صف افسردگان	رفت به همسایگی مردگان
پشت ملالت به عمارات کرد	روی ارادت به مزارات کرد
حرف فنا خواند ز هر لوح خاک	روح بقا جست ز هر روح پاک
گشتی ازین سگ‌منشان، تیزتگ	همچو تک آهوی وحشی ز سگ
کارشناسی پی تفتیش حال	کرد از او بر سر راهی سؤال
کاینهمه از زنده رمیدن چراست؟	رخت سوی مرده کشیدن چراست؟
گفت: «بلندان به مغاک اندرند	پاک نهادان ته خاک اندرند
مرده دلان‌اند به روی زمین	بهر چه با مرده شوم همنشین؟
همدمی مرده، دهد مردگی	صحبت افسرده‌دل، افسردگی
زیر گل آنان که پراگنده‌اند	گرچه به تن مرده، به جان زنده‌اند»
جامی، از این مرده‌دلان گوشه‌گیر!	گوش به خود دار و، ز خود توشه‌گیر!
هر چه درین دایره بیرون توست	گام سعایت زده در خون توست
