مشاطهٔ این عروس طناز	مشاطگی اینچنین کند ساز
کان پی سپر سپاه اندوه	در سیل بلا فتاده چون کوه،
چون ماند برون ز کوی لیلی	جانی پر از آرزوی لیلی
شد حیله‌گر و وسیله‌اندیش	زد گام سوی قبیلهٔ خویش
ز اعیان قبیله جست یک تن	چون جان ز فروغ عقل روشن
گفت: «این به توام امید یاری!	دارم به تو این امیدواری
کز من به پدر بری سلامی	وز پی برسانی‌اش کلامی
کآخر طلب رضای من کن!	دردم بنگر، دوای من کن!
لیلی که مراد جان من اوست	فیروزی جاودان من اوست،
گو با پدرش که: کین نورزد	با من! که جهان بدین نیرزد
باشم به حریم احترامش	داماد نه، کمترین غلامش»
آن یار تمام بی‌کم و کاست	گریان ز حضور قیس برخاست
ز آن ملتمسی که از پدر کرد	اشراف قبیله را خبر کرد
با یکدگر اتفاق کردند	سوگند بر اتفاق خوردند
سوی پدرش قدم نهادند	و آن دفتر غم ز هم گشادند
با او سخنان قیس گفتند	هر مهره که سفته بود سفتند
دانست پدر که حال او چیست	بر روی نهاد دست و بگریست
محمل پی رهروی بیاراست	وز اهل قبیله همرهی خواست
راندند ز آب دیده سیلی	تا وادی خیمه گاه لیلی
آمد پدرش چنان که دانی	وافکند بساط میهمانی
چون خوان ز میانه برگرفتند	و افسون و فسانه درگرفتند،
هر کس سخنی دگر درانداخت	پرده ز ضمیر خود برانداخت
گفتند درین سراچهٔ پست	بالا نرود نوا ز یک دست
تا جفت نگرددش دو بازو،	خود گو که چسان شود ترازو؟
وآنگاه به صد زبان ثناگوی	کردند به سوی میزبان روی
کای دست تو بیخ ظلم کنده!	حی عرب از سخات زنده!
در پرده تو را خجسته ماهی‌ست	کز چشم دلت بدو نگاهی‌ست
بر ظلمتیان شب ببخشای!	وین میغ ز پیش ماه بگشای!
طاق است و، بود عطیه‌ای مفت	با طاق دگر گرش کنی جفت
قیس هنری‌ست دیگر آن طاق	چون بخت به بندگی‌ت مشتاق
در اصل و نسب یگانهٔ دهر	در فضل و ادب فسانهٔ شهر
محروم‌اش ازین مراد مپسند!	داماد گذاشتیم و فرزند،
بپذیر به دولت غلامی‌ش!	زین شهد رهان ز تلخکامی‌ش!
لایق به هم‌اند این دو گوهر	مشتاق هم‌اند این دو اختر
آیین وفا و مهربانی	گفتیم تو را، دگر تو دانی!
آن دور ز راه و رسم مردم	ره کرده ز رسم مردمی گم
مطموره‌نشین چاه غفلت	طیاره‌سوار راه غفلت
یعنی که کفیل کار لیلی	برهم‌زن روزگار لیلی
بر ابروی ناگشاده چین زد	صد عقدهٔ خشم بر جبین زد
گفت: «این چه خیال نادرست است؟	چون خانهٔ عنکبوت سست است
گر این طلب از نخست بودی	در کیش خرد درست بودی
امروز که حیز زمانه	پر شد ز نوای این ترانه،
یک گوش نماند در جهان باز	خالی ز سماع این سر آواز
طفلان که به هم فسانه گویند،	این قصه به کنج خانه گویند
رندان که به نای و نوش کوشند،	پیمانه بدین خروش نوشند
ناصح که نهد اساس تعلیم،	از صورت حال ما کند بیم
رسوایی ازین بتر چه باشد؟	باشد بتر این ز هرچه باشد!
شیشه که شود میان خاره	ز افتادن سخت پاره پاره،
کی ز آب دهان درست گردد؟	بر قاعدهٔ نخست گردد؟
خیزید و در طلب ببندید!	زین گفت و شنود لب ببندید!
عاری که به گردن من آید	آلایش دامن من آید
عاری دگرم به سر میارید!	من بعد مرا به من گذارید!
آن خس که به دیده خست خارم،	چون دیدهٔ خود بدو سپارم؟
ز آن کس که به دل نشاند تیرم،	چون دعوی دل‌دهی پذیرم؟
چون عامریان نشسته خاموش	پر گشت ازین محالشان گوش
مهر از لب بسته برگرفتند	آیین سخن ز سر گرفتند
گفتند: «حدیث عار تا چند؟	زین بیهده افتخار تا چند؟
قیس هنری بجز هنر نیست	وز دایرهٔ هنر به در نیست
عشقی که زده‌ست سر ز جیبش	هان! تا نکنی دلیل عیبش!
در پاکی طبع نیست عاری	بر چهرهٔ فخر از آن غباری
گفتی: لیلی ازین فسانه	رسوا گشته‌ست در زمانه،
رسوایی او بگو کدام است؟	کز عاشقی‌اش بلند نام است!
هر چند که قیس گفت و گو کرد،	دلالگی جمال او کرد
دلاله اگر هزار باشد،	زین‌سان نه سخن گزار باشد
دلالگی جمال دلدار	نه عیب بود در او و نی عار»
