سیاح حدود این ولایت	نظام عقود این حکایت
زین قصه روایت اینچنین کرد	کن خاک‌نشیمن زمین گرد
چون ماند ز طوف کوی لیلی	وز گام‌زدن به سوی لیلی
آشفته و بی‌قرار می‌گشت	شوریده به هر دیار می‌گشت
روزی که سموم نیم‌روزی	برخاست به کوه و دشت‌سوزی،
شد دشت ز ریگ و سنگ پاره	طشتی پر از اخگر و شراره
حلقه شده مار از او به هر سوی	ز آن سان که بر آتش اوفتد موی
گر گور به دشت رو نهادی	گامی به زمین او نهادی،
چون نعل ستور راه‌پیمای	پر آبله گشتی‌اش کف پای
گیتی ز هوای گرم ناخوش	تفسان چو تنوره‌ای ز آتش
هر چشمه به کوه زو خروشان	سنگین دیگی پر آب جوشان
کردی ماهی ز آب، لابه	با روغن داغ، روی تابه
هر تختهٔ سنگ داشت بر خوان	نخجیر کباب و کبک بریان
از سایه گوزن دل بریده	در سایهٔ شاخ خود خزیده
بی‌چاره پلنگ در تب و تاب	در پای درخت سایه نایاب
افتاده چو سایهٔ درختی	ظلمت لختی و نور لختی
گشته به گمان سایه، نخجیر	ز آسیمه‌سری به وی پنه گیر
مجنون رمیده در چنین روز	انگشت شده ز بس تف و سوز
زو شعلهٔ دل زبانه می‌زد	آتش به همه زمانه می‌زد
آرام نمی‌گرفت یک جای	می‌سوخت مگر بر آتش‌اش پای
ناگاه چو لاله داغ بر دل	بالای تلی گرفت منزل
انداخت به هر طرف نگاهی	از دور بدید خیمه‌گاهی
برجست و نفیر آه برداشت	ره جانب خیمه‌گاه برداشت
آنجا چو رسید از کناری	بیرون آمد شترسواری
بر وی سر ره گرفت مجنون	کای طلعت تو به فال، میمون!
این قافله روی در کجای‌اند؟	محمل به کجا همی گشایند؟
گفتا: «همه روی در حجازند	در نیت حج بسیج سازند»
پرسید: «در آن میان ز خیلی»	گفتا: «لیلی و آل لیلی!»
مسکین چو شنید از وی این نام	زین گفت و شنو گرفت آرام
از گرد وجود خویشتن پاک	افتاد بسان سایه بر خاک
بعد از چندی ز خاک برخاست	از هستی خویش پاک برخاست
لیلی می‌راند محمل خویش	مجنون از دور با دل ریش
می‌رفت رهی به آن درازی	با محمل او به عشقبازی
لیلی چو به عزم خانه برخاست	خانه به جمال خود بیاراست،
چشمش سوی آن رمیده افتاد	خون جگرش ز دیده افتاد
بگریست که: «ای فراق دیده!	درد و غم اشتیاق چونی
در کشمکش فراق چونی؟	در آتش اشتیاق دیده!
«من بی‌تو چه دم زنم که چونم؟	اینک ز دو دیده غرق خونم!
روزان و شبان در آرزویت	تنها منم و خیال رویت»
مجنون به زبان بی‌زبانی	هم زین سخنان چنانکه دانی،
می‌گفت و ز بیم ناکس و کس،	چشمی از پیش و چشمی از پس
غم بی حد و فرصتی چنین تنگ	کردند به طوف کعبه آهنگ
لیلی به طواف خانه در گرد،	مجنون ز قفاش سینه پر درد
آن، سنگ سیاه بوسه می‌داد،	وین یک، به خیال خال او شاد
آن برده دهان به آب زمزم،	وین کرده به گریه دیده پر نم
آن روی به مروه و صفا داشت،	وین جای به ذروهٔ وفا داشت
آن در عرفات گشته واقف،	وین واقف آن، در آن مواقف
آن روی به مشعر حرامش،	وین در غم شعر مشکفامش
آن تیغ به دست در منی تیز،	وین بانگ زده که: خون من ریز!
آن کرده به رمی سنگ آهنگ،	وین داشته سر به پیش آن سنگ
آن کرده وداع خانه بنیاد،	وین کرده ز بیم هجر فریاد
لیلی چو از آن وداع پرداخت	مسند به درون محمل انداخت
مجنون به میانه فرصتی جست	جا کرد به پیش محملش چست
هر دو به وداع هم ستادند	وز درد ز دیده خون گشادند
کردند وداع یکدگر را	چون تن که کند وداع، سر را
