نیرنگ‌زن بیاض این راز	صورتگری اینچنین کند ساز
کان کعبهٔ بی‌نظیر منظر	چون صورت چین بدیع‌پیکر
با شوهر خود چو سرکشی کرد،	پاداش خوشی‌ش ناخوشی کرد،
مسکین زین غم ز پا درافتاد	بیمار به روی بستر افتاد
آن وصل، بلای جان او شد	سوداندیشی، زیان او شد
می‌بود ز خاطر غم اندیش	بیماری او زمان زمان بیش
چون یک دو سه روز بود رنجه	مسکین به شکنج این شکنجه
ناگاه عنایت ازل دست	بگشاد و، بر او شکنجه بشکست
از کشمکش نفس رهاندش	وز تنگی این قفس جهاندش
جان داد به درد و جاودان زیست	آن کو ندهد به درد جان کیست
در بودن، درد و در سفر درد	آوخ ز جهان درد بر درد
لیلی که ز درد و داغ مجنون	می‌داشت دلی چو غنچه پر خون،
از مردن شو، بهانه برساخت	وز خون، دل خویشتن بپرداخت
عمری به لباس سوگواری	بنشست به رسم عده‌داری
عشقش به درون نه داشت خانه،	شد ماتم شوهرش بهانه
عمری به دراز، گریه و آه	می‌کرد و زبان خلق کوتاه!
