تاریخ‌نویس عشقبازان	شیرین‌رقم سخن ترازان
از سرور عاشقان چو دم زد	بر لوح بیان چنین رقم زد
کز «عامریان» بلند قدری	بر صدر شرف خجسته‌بدری
مقبول عرب به کارسازی	محبوب عجم به دلنوازی
از مال و منال بودش اسباب	افزون ز عمارت گل و آب
چون خیمه درین بساط غبرا	می‌بود مقیم کوه و صحرا
عرض رمه‌اش برون ز فرسنگ	بر آهوی دشت کرده جا تنگ
اشتر گله‌هاش کوه کوهان	چون کوه بلند، پر شکوهان
خیلش گذران به هر کناره	چون گلهٔ گور بی‌شماره
داده کف او شکست حاتم	بر بسته به جود، دست حاتم
سادات عرب به چاپلوسی	پیش در او به خاک‌بوسی
شاهان عجم ز بختیاری	با او به هوای دوستداری
از جاه هزار زیب و فر داشت	و آن از همه به، که ده پسر داشت
هر یک ز نهال عمر شاخی	وز شهر امل بلندکاخی
لیکن ز همه، کهینه فرزند	می‌داشت دلش به مهر خود بند
بر دست بود بلی ده‌انگشت	در قوت حمله، جمله یک مشت
باشد ز همه به سور و ماتم	انگشت کهین سزای خاتم
آری، بود او ز برج امید	فرخنده‌مهی تمام‌خورشید
فرخندگی مه تمامش	بیرون ز قیاس، و قیس نامش
سر تا قدم از ادب سرشته	بر دل رقم ادب نوشته
چون لعل لبش خموش بودی	بر روزن راز، گوش بودی
چون غنچهٔ تنگ او شکفتی	سنجیده هزار نکته گفتی
بینا، نظر پدر به حالش	خرم، دل مادر از جمالش
حالی‌ست عجب، که آدمیزاد	آسوده زید درین غم‌آباد
غافل که چه بر سرش نوشته‌ند	در آب و گلش چه تخم کشته‌ند
آن را که به عشق، گل سرشتند	وین حرف به لوح دل نوشتند،
شسته نشود ز لوحش این حرف	ور عمر کند به شست و شو صرف
قیس آن ز قیاس عقل بیرون	نامش به گمان خلق مجنون
ناگشته هنوز اسیر لیلی	می‌داشت به هر جمیله میلی
یک ناقهٔ رهگذار بودش	کرنده به هر دیار بودش
هر روز بر او سوار گشتی	پوینده به هر دیار گشتی
آهنگ به هر قبیله کردی	جویایی هر جمیله کردی
جمعی به دیار وی رسیدند	و آن میل و شعف ز وی بدیدند
گفتند که در فلان قبیله	ماهی‌ست چو حور عین جمیله
لیلی آمد به نام و، خیلی	هر سو به هواش کرده میلی
حسن رخش از صف برون است	هم خود برو و ببین که چون است!
از گوش مجوی کار دیده!	فرق است ز دیده تا شنیده
این قصه شنید قیس برخاست	خود را به لباس دیگر آراست
از شوق درون فغان برآورد	و آن ناقه به زیر ران درآورد
می‌راند در آرزوی لیلی	تا سر برود به کوی لیلی
چون مردم لیلی‌اش بدیدند	بر وی دم مردمی دمیدند
گفتند به نیکویی ثنایش	کردند به صدر خانه جایش
لیک از هر سو نظر همی تافت	از مقصد خود اثر نمی‌یافت
خون گشت ز ناامیدی‌اش دل	ناگاه برآمد از مقابل
آواز حلی و بانگ خلخال	گرداند سماع آن بر او حال
در حلهٔ ناز دید سروی	چون کبک دری روان‌تذروی
رویی ز حساب وصف بیرون	گلگونه نکرده، لیک گلگون
آهو چشمی که گویی آهو	چشمش به نظاره دوخت بر رو
هر موی ز زلف او کمندی	بر پای دلی نهاده بندی
گشتند به روی یکدگر خوش	در خرمن هم زدند آتش
آن پرده ز رخ گشاد می‌داشت	وین صبر و خرد به باد می‌داشت
آن ناوک زهردار می‌زد	وین زمزمهٔ هلاک می‌زد
آن از نم خوی جبین همی شست	وین دفتر عقل و دین همی شست
آن بر سر حسن و ناز می‌بود	وین سربه ره نیاز می‌بود
چون غنچه به هم دو سرو گلرنگ	کردند آغاز صحبتی تنگ
شد دیده چو بهره‌ور ز دیدار	گشتند شکرشکن به گفتار
هر یک به بهانه‌ای ز جایی	می‌گفت نبوده ماجرایی
نی شرح غم نو و کهن بود	مقصود سخن هم این سخن بود
غافل ز فریب این غم‌آباد	بودند ز بند هر غم آزاد
الا غم آن که چون سرآید	این روز وصال و، شب درآید،
دور از دلبر چگونه باشند	بی‌یکدیگر چگونه باشند
زرین علمی که مشرق افراخت	دور فلک‌اش به مغرب انداخت
قیس و لیلی ز هم بریدند	دیدند ز فرقت آنچه دیدند
آن ناقه به جای خویشتن راند	وین پای‌شکسته در وطن ماند
