دبیر خردمند دانش‌پژوه	نویسندهٔ قصهٔ هر گروه
نوشت از سکندر شه نامدار	که چون سلطنت یافت بر وی قرار،
چو نور خرد بودش اندر سرشت	خردنامه‌های حکیمان نوشت
گرفتی به دستور آن، کار پیش	به آن راست کردی همه کار خویش
نخست از ارسطو که‌ش استاد بود	به شاگردی او دلش شاد بود،
خردنامه‌ای نغز عنوان گرفت	که مغز از قبول دل و جان گرفت
ز نام خدای‌اش سرآغاز کرد	وز آن پس نوای دعا ساز کرد
که: «شاها! دلت چشمهٔ راز باد!	به روی تو چشم رضا باز باد!
میفکن به کار رعیت گره!	خدا آنچه دادت، به ایشان بده!
ترحم کن و، عفو و بخشش نمای!	که اینها رسیدت ز فضل خدای
اگر واگذاری به او کار خویش،	نیاید تو را هیچ دشوار، پیش
وگر جز بدو افکنی کار را،	نشانه شوی تیر ادبار را
گر اصلاح خلق جهان بایدت،	دل از هر بدی بر کران بایدت
مشو غرهٔ حسن گفتار خویش!	نکو کن چو گفتار، کردار خویش!
بزن شیشهٔ خشم را سنگ حلم!	بشو ظلمت جهل را ز آب علم!
مبادا شود سخت‌تر کار تو	به پشت تو گردد فزون بار تو
