الصبوح الصبوح کامد کار	النثار النثار کامد یار
کاری از روشنی چو آب خزان	یاری از خرمی چو باد بهار
چرخ بر کار و یار ما به صبوح	می‌کند لعبتان دیده نثار
جام فرعونی اندرآر که صبح	دست موسی برآرد از کهسار
در سفال خم آتشی است که هست	عقل حراق او و روح شرار
در کف از جام خنگ بت بنگر	بر رخ از باده سرخ بت بنگار
خاصه کایام بست پردهٔ کام	خاصه دوران گشاد رشتهٔ کار
مرغ دل یافت دانهٔ سلوت	برق می سوخت کشتهٔ تیمار
بار مشک است و زعفران در جام	پس خط جام چون خط طیار
کو تذوران بزم و کوثر جام	کز سمن زار بشکفد گل زار
این این الکؤس والا قداح	این این الشموس و الاقمار
به مغان آی تا مرا بینی	که ز حبل المتین کنم زنار
عقل اگر دم زند به دست میش	چون زره بر دهان زنم مسمار
خوانچه کن سنت مغان می‌آر	وز بلورین رکاب می‌بگسار
عجب است این رکاب و می‌گویی	کآمد از ماه نو شفق دیدار
می‌کشد عقل را به زیر رکاب	چون رکاب گران کشند احرار
آفتاب ار سوار شد بر شیر	هست می شیر آفتاب سوار
جرعه‌ای گر به آسمان بخشی	شود از خفتگی زمین کردار
ور زمین را دهی ز می جرعه	گردد از مستی آسمان رفتار
می‌کند در طبایع اربع	ظلمات ثلاث را انوار
ساقی آرد گه خمار شکن	فقع شکرین ز دانهٔ نار
نار به نقل چون شراب خوریم	نقل ما نار بینی از لب یار
تیغ خونین کشد می کافر	زخمه گوید که جاهد الکفار
گر به مستی رسی و می نرسد	نرسد دست بر می بازار
بر فلک شو ز تیغ صبح مترس	که نترسد ز تیغ و سر عیار
بر فلک خوانچه کن به دولت می	ز اختران خواه نز خم خمار
ماه نو کن قدح چو هست توان	وز شفق گیر می چو هست یسار
ها ثریا نه خوشهٔ عنب است	دست برکن ز خوشه می بفشار
مار کز روی زهد خاک خورد	ریزد از کام زهر جان او بار
نحل کاب عنب خورد بر تاک	آرد از لب شراب نوش گوار
مثل جام و پارسایان هست	لب دریا و مرغ بوتیمار
پارسا را چه لذت از عشرت	خنفسا را چه کار با عطار
هر که جوید محال ناممکن	هست ممکن که نیست زیرک سار
لیکن ار کس حریف پنداری	عقل طعن آورد بر این پندار
یا اگر گوئی اهل دل کس هست	گویدت دل خطاست این گفتار
گر تو در وهم همدمی جویی	در ره جست گم کنی هنجار
به خطائی که بگذرد در وهم	عاقلان را سزاست استغفار
دوستکانی به هفت مردان بخش	سر به مهرش کن و به خضر سپار
از زکات سر قدح گاهی	جرعه‌ای کن به خاکیان ایثار
بس بس ای دل ز کار آب که عقل	هست از آب کار او بیزار
مدت لهو را غم است انجام	بادهٔ نیک را بد است خمار
هر طرب را مقابل است کرب	هر یمین را برابر است یسار
سنگ را آب بردمد ز شکم	آب را سنگ درفتد به زهار
یک فرح را هزار غم ز پس است	که پس هر فرح غم است هزار
هر چه زین روی کعبتین یک و دوست	بر دگر روی او شش است و چهار
گاو عنبر فکن برهنه تن است	خر بربط بریشمین افسار
دل تصاویر خانهٔ نظر است	شهد الله نبشته گرد عذار
حرز عقل است مرهم دل ریش	تیغ روز است صیقل شب تار
چون رباب است دست بر سر عقل	از دم وصل تو تظلم دار
همچو دف کاغذینش پیراهن	همچو چنگش پلاس بین شلوار
باده را بر خرد مکن غالب	دیو را بر فلک مکن سالار
چند خواهی ز آهوی سیمین	گاو زرین که می‌خورد گلنار
گر بود ز آن می چو زهرهٔ گاو	خاطر گاو زهره شیر شکار
هم ز می دان که شاه باز خرد	کبک زهره شود به سیرت سار
از من آموز دم زدن به صبوح	دم مسغفرین بالاسحار
جام کیخسرو است خاطر من	که کند راز کائنات اظهار
سلسبیل حلال خور زین جام	وز حمیم حرام شو بیزار
فیض ابن السحاب خور چو صدف	حیض ابن العنب بجا بگذار
شیر پستان شیر خوردستی	حیض خرگوش پس مخور زنهار
ز آب رنگین حجاب عقل مساز	شعلهٔ نار پیش شیر میار
بول شیطان مکن به قاروره	پیش چشم طبیب عقل مدار
عیش اسلاف در سفال مدان	گل سیراب در سراب مکار
لهو و لذت دو مار ضحاکند	هر دو خون خوار و بی‌گناه آزار
عقل و دین لشکر فریدونند	که برآرند از دو مار، دمار
گر چه خاقانی اهل حضرت نیست	یاد دربانش هست دست افزار
نیست چون پیل مست معرکه لیک	عنکبوتی است روی بر دیوار
سار مسکین که نیست چون بلبل	رومی ارغنون زن گلزار
لاجرم شاید ار به رستهٔ بید	زنگی چار پاره زن شد سار
