حضرت ستر معلا دیده‌ام	ذات سیمرغ آشکارا دیده‌ام
قاف تا قافم تفاخر می‌رسد	کز حجاب قاف عنقا دیده‌ام
در صدف در است و در حوت آفتاب	حضرتی کز پرده پیدا دیده‌ام
در مدینه قدس مریم یافتم	در حظیرهٔ انس حوا دیده‌ام
حضرت بلقیس بانوی سبا	بر سر عرش معلا دیده‌ام
چشم زرقا را کشیده کحل غیب	هم به نور غیب بینا دیده‌ام
انیت بلقیسی که بر درگاه او	هدهد دین را تولا دیده‌ام
اینت زرقائی که چشم خضر ازو	محرم کحل مسیحا دیده‌ام
من کیم خواه از یمن خواه از عرب	کاین چنین بلقیس و زرقا دیده‌ام
قیصر از روم و نجاشی از حبش	بر درش بهروز و لالا دیده‌ام
روز جوهر نام و شب عنبر لقب	پیش صفه‌اش خادم آسا دیده‌ام
جوهر و عنبر سپید است و سیاه	هر دو را محکوم دریا دیده‌ام
آب دست و خاک پایش را ز قدر	نشرهٔ رضوان و حورا دیده‌ام
پیشگاه حضرتش را پیش کار	از بنات‌النعش و جوزا دیده‌ام
آن سه دختر و آن سه خواهر پنج وقت	در پرستاری به یک جا دیده‌ام
هفت خاتون را در این خرگاه سبز	داه این درگاه والا دیده‌ام
بر درش بسته میان خرگاه‌وار	شاه این خرگاه مینا دیده‌ام
بر لب بحر کفش خورشید و ابر	قربهٔ زرین و سقا دیده‌ام
در کف بخت بلندش ز اختران	هفت دستنبوی زیبا دیده‌ام
میوهٔ شاخ فریبرز ملک	هم به باغ ملک آبا دیده‌ام
گوهر کان فریدون شهید	بر فراز تاج دارا دیده‌ام
عصمة الدین صفوة الاسلام را	افتخار دین و دنیا دیده‌ام
بارگاه عصمة الدین روز بار	خسروان را جان و ملجا دیده‌ام
مصر و بغداد است شروان تا در او	هم زبیده هم زلیخا دیده‌ام
از سر زهد و صفا در شخص او	هم خدیجه هم حمیرا دیده‌ام
آن خدیجه همتی کز نسبتش	بانوان را قدر زهرا دیده‌ام
آستان حضرتش را از شرف	صخره و محراب اقصی دیده‌ام
رابعه زهدی که پیشش پنج وقت	هفت مردان را مجارا دیده‌ام
خوان آگاه دلش را از صفا	خانقاه از چرخ اعلی دیده‌ام
بر دل مومین و جان مؤمنش	مهر و مهر دین مهیا دیده‌ام
آسیه توفیق و سارا سیرت است	ساره را سیاره سیما دیده‌ام
چشم دزدیدم ز نور حضرتش	تا نه‌پنداری که عمدا دیده‌ام
موسیم، کانی انا الله یافتم	نور پاک و طور سینا دیده‌ام
هر که در من دید چشمش خیره ماند	ز آنکه من نور تجلی دیده‌ام
حضرتش را هم به نور حضرتش	بر چهارم چرخ خضرا دیده‌ام
نور عرش حق تعالی را به چشم	هم به فضل حق تعالی دیده‌ام
کعبه است ایوان خسرو کاندر او	ستر عالی را هویدا دیده‌ام
کعبه را باشد کبوتر در حرم	در حرم شهباز بیضا دیده‌ام
هر زمان این شاه‌باز ملک را	ساعد اقبال ماوا دیده‌ام
گر کند شه‌باز مرغان را شکار	من شکارش جان دانا دیده‌ام
دوش دیدار منوچهر ملک	زنده در خواب آشکارا دیده‌ام
چند بارش دیده‌ام در خواب لیک	طلعتش این باره زیبا دیده‌ام
هم در این ایوان نو برتخت خویش	تاجدار و مجلس آرا دیده‌ام
لوح پیشانیش را از خط نور	چون ستارهٔ صبح رخشا دیده‌ام
اندر ایوانش روان یک چشمه آب	با درخت سبز برنا دیده‌ام
چشمه پنهان در حجاب و بر درخت	دست دولت شاخ پیرا دیده‌ام
یک جهان دل زین‌درخت و چشمه شاد	جمله را عیش مهنا دیده‌ام
گفتم ای شاه این درخت و چشمه چیست	کین دو را نور موفا دیده‌ام
گفت نشناسی درخت و چشمه‌ای	کز کرمشان بر تو نعما دیده‌ام
چشمه بانوی و درخت است اخستان	هر دو با هم سعد و اسما دیده‌ام
اصلها ثابت صفات آن درخت	فرعها فوق الثریا دیده‌ام
گفت شادم کز درخت و چشمه سار	دیده را جای تماشا دیده‌ام
شکر کز بانو و فرزند اخستان	چهرهٔ ملکت مطرا دیده‌ام
نیز چون هم‌شیره تا شروان رسید	کار شروان دست بالا دیده‌ام
آسمان سترا! ستاره همتا!	من تو را قیدافه همتا دیده‌ام
کعبه را ماند در عالیت و من	محرم این کعبه‌ام تا دیده‌ام
گرچه اخبار زنان تاجدار	خوانده‌ام وندر کتب‌ها دیده‌ام
از فرنگیس و کتایون و همای	باستان را نام و آوا دیده‌ام
از سخا وصف زبیده خوانده‌ام	وز کفایت رای زبا دیده‌ام
کافرم گر چون تو در اسلام و کفر	هیچ بانو خوانده‌ام یا دیده‌ام
گر به بوی طمع گفتم مدح تو	کعبه را دیر چلیپا دیده‌ام
مدح تو حق است و حق را با دلت	قاب قوسین او ادنی دیده‌ام
پیش آرم ذات یزدان را شفیع	کش عطا بخش و توانا دیده‌ام
پیشت آرم نظم قرآن را شفیع	کز همه عیبش مبرا دیده‌ام
پیشت آرم کعبهٔ حق را شفیع	کاسمانش خاک بطحا دیده‌ام
پیشت آرم مصطفائی را شفیع	کاسم او یاسین و طه دیده‌ام
پیشت آرم چار یارش را شفیع	کز هدی‌شان عز والا دیده‌ام
پیشت آرم هفت مردان را شفیع	کز دو عالمشان تبرا دیده‌ام
پیشت آرم جان افریدون شفیع	کز جهان‌داریش طغرا دیده‌ام
پشت آرم جان فخر الدین شفیع	کز شرف کسریش مولا دیده‌ام
کز پی حج رخصتم خواهی ز شاه	کاین سفر دل را تمنا دیده‌ام
دل درین سوداست یک لفظ تو را	چون مفرح دفع سودا دیده‌ام
دولتت جاوید بادا کز جلال	جاه تو جان سوز اعدا دیده‌ام
تا ابد بادت بقا کاعدات را	بستهٔ مرگ مفاجا دیده‌ام
بهترین نوروزی درگاه را	تحفه این ابیات غرا دیده‌ام
