عافیت را نشان نمی‌یابم	وز بلاها امان نمی‌یابم
می‌پرم مرغ وار گرد جهان	هیچ جا آشیان نمی‌یابم
نیست شب کز رخ و سرشک بهم	صد بهار و خزان نمی‌یابم
دل گم گشته را همی جویم	سالها شد نشان نمی‌یابم
خوارش افکند می به خاک چه سود	راه بر آسمان نمی‌یابم
دولت اندر هنر بسی جستم	هر دو در یک مکان نمی‌یابم
گوئیا آب و آتشند این دو	که به هم صلحشان نمی‌یابم
زین گرانمایه نقد کیسهٔ عمر	حاصل الا زیان نمی‌یابم
بخت اگر آسمانی است چرا	بر خودش پاسبان نمی‌یابم
بهر نوزادگان خاطر خویش	بخت را دایگان نمی‌یابم
خوان جان ساختن چه سود که من	به سزا میهمان نمی‌یابم
زاغ حرص و همای همت را	ریزه و استخوان نمی‌یابم
خویشتن خوار کرده‌ام چو مور	چه توان کرد نان نمی‌یابم
چون نترسم که در نشیمن دیو	هیچ تعویذ جان نمی‌یابم
بس سبع خانه‌اس است کاندر وی	همدمی ایرمان نمی‌یابم
یک جهان آدمی همی بینم	مردمی در میان نمی‌یابم
دشمنان دست کین برآوردند	دوستی مهربان نمی‌یابم
هم به دشمن درون گریزم از آنک	یاری از دوستان نمی‌یابم
عهد یاران باستانی را	تازه چون بوستان نمی‌یابم
همه فرعون و گرگ پیشه شدند	من عصا و شبان نمی‌یابم
ز آن نمط کارزوی خاقانی است	جای جز بر کران نمی‌یابم
در زمانه پناه خویش الا	در شاه جهان نمی‌یابم
