یعقوب دلم، ندیم احزان	یوسف صفتم، مقیم زندان
او در چه آب بد ز اخوت	من در چه آتشم ز اخوان
چون صفر و الف تهی و تنها	چون تیر و قلم نحیف و عریان
صد رزمهٔ فضل بار بسته	یک مشتریم نه پیش دکان
از دل سوی دیده می‌برم سیل	آری ز تنور خاست طوفان
شنگرف ز اشک من ستاند	صورتگر این کبود ایوان
یارب چه شکسته دل شدستم	از ننگ شکسته نام اران
الحق چه فسانه شد غم من	از شر فسانه گوی شروان
گاه از سگ ابترم به فریاد	گاه از خر اعورم به افغان
این خیره کشی است مار سیرت	وان زیر بری است موش دندان
من جسته چو باغبان پس این	بنشسته چو گربه در پی آن
هم صورت من نیند و این به	چون نیستم از صفت چو ایشان
نسبت دارند تا قیامت	ایشان ز بهمیه من ز انسان
جز دعوت شب مرا چه چاره	هان ای دعوات نیم شب، هان
خاقانی امید را مکن قطع	از فضل خدای حال گردان
از دیدهٔ روزگار بی‌نور	در سایهٔ صدر باش پنهان
بگزیدهٔ حق موفق الدین	کز باطل شد سپید دیوان
عبد الغفار کز سر کلک	در خلد ممالک اوست رضوان
عمان و محیط و نیل و جیحون	جودی و حری و قاف و ثهلان
هر هشت، بر سخا و حلمش	با جدول و خردلند یکسان
ای کرده جلال تو چو تقدیر	وافکنده کمال تو چو یزدان
در گوش زمانه حلقهٔ حکم	بر دوش جهان ردای فرمان
خورشید دلی و مشتری زهد	احمد سیری و حیدر احسان
شد لاجرم از برای مدحت	کهتر چو عطارد و چو حسان
با پشت و دل شکسته آمد	در خدمت تو درست پیمان
هم بر در مصطفی نکوتر	انس انس و سلوک سلمان
گر مدح تو دیرتر ادا کرد	سری است دراین میان نه طغیان
یعنی تو محمدی به صورت	گر چند نه‌ای به وحی و برهان
او خاتم انبیاست لیکن	آمد پس از انبیا به کیهان
مقصود طبیعت آدمی بود	از حیوان و نبات و ارکان
بعد از سه مراتب آدمی‌زاد	بعد از سه کتب رسید فرقان
اندیک عمل بود به آخر	از اول فکرت فراوان
گل با همه خرمی که دارد	از بعد گیا رسد به بستان
بس شاخ که بشکفد به خرداد	میوه‌اش نخورند جز به آبان
افزار ز بس کنند در دیگ	حلوا ز پس آورند بر خوان
ای آنکه صریر خامهٔ تو	زد خنجر شاه را به افسان
غرید پلنگ دولت تو	بر شیر دلان درید خفتان
آن کس که تو را نداشت طاعت	در عصبهٔ تو نمود عصیان
آن خواهد دید از شه شرق	کز پور قباد دید نعمان
یعنی فکند به پای پیلش	تا پخچ شود میان میدان
تو صاحب کار جبرئیلی	بد گوی تو نیم کار شیطان
پروردهٔ نان توست و از کفر	در نعمت تو نموده کفران
نانش مفرست پیش کز تو	واخواست کند به حشر حنان
نان تو چو قطرهٔ ربیع است	احرار صدف مثال عطشان
قطره که ودیعت صدف شد	لؤلؤ گردد به بحر عمان
باز ار به دهان افعی افتد	زهری گردد هلاک حیوان
بیمار دل است و دارد از کبر	سرسام خلاف و درد خذلان
مشنو ترهات او که بیمار	پرگوید و هرزه روز بحران
ای دیدهٔ عقل در تو شاخص	اوهام ز رتبت تو حیران
بی‌یاری چون تویی نگردد	کار چو منی به برگ و سامان
بی‌امر خدا و کف موسی	نتوان کردن ز چوب ثعبان
من صد رهیم تو را ز یک دل	تو صد سپهی به یک قلمران
از نکتهٔ بکر و نوک خامه	من موی شکافم و تو سندان
بسپرده شدم به پای اعدا	مسپار مرا به دست نسیان
برهان داری، مرا به یک لفظ	از پنجهٔ روزگار برهان
تو خورشیدی و من در این عصر	افسرده به سرد سیر حرمان
در من نظری بکن که خورشید	بسیار نظر کند به ویران
گیرم که دل تو بی‌نیاز است	از شاعر فاضل و سخندان
هم هندوکی بباید آخر	بر درگه تو غلام و دربان
هنگام سخن مکن قیاسم	ز آن دشمن روی نامسلمان
آن کو ز دهان رید همه سال	کی شکر خاید او بدین سان
تصنیف نهاده بر من از جهل	الحق اولی است آن به بهتان
گفتا ز برای عشق‌بازی	ببرید سپید موی بهمان
لیکن جائی که باشد آنجا	از خانه خدائیش پشیمان
من دادم پاسخ اینت نکته	او جسته خلافم اینت نادان
وین طرفه که مؤبدی گرفته است	با یک دو کشیش رنگ کشخان
معنی نه و نقش ریش و دستار	حکمت نه و دین اهل یونان
اقلیم گرفته در حماقت	تعلیم نکرده در دبستان
کرده ز برای خربطی چند	از باد بروت ریش پالان
یزدانش ز لعنت آفریده	وز تربیتش جهان پشیمان
در طفلی بوده راکع و جلد	و امروز به سجده گشته کسلان
از مسخرگی گذشت و برخاست	پیغامبری ز مکر و دستان
صد لعنت باد بر وجودش	بر امت او هزار چندان
سبحان الله کاین سگک را	چون سست فرو گذاشت سبحان
ای در کنف تو عالم ایمن	از حیف زمان و صرف دوران
آن را که غلامی تو دادند	او را چه عم از هزار سلطان
هرکس که نیوشد این قصیده	از حد عراق تا خراسان
داند که تو نیک پایمردی	خاقانی را به صدر خاقان
زین به سخن آورم به فرت	لیک از پی نام نز پی نان
عید آمدو من مصحف عید	این نقد بسخته‌ام به میزان
دارم دلکی کبوترآسا	پیش تو کنم به عید قربان
بادی به چهار فصل خرم	بادی به هزار عید شادان
رای تو و رای هفت طارم	خصم تو فرود هفت بنیان
