بیدقی مدح شاه می‌گوید	کوکبی وصف ماه می‌گوید
بلکه مزدور دار خانهٔ نحل	صفت عدل شاه می‌گوید
ذره در بارگاه خورشید است	سخن از بارگاه می‌گوید
مور در پایگاه جمشید است	قصه از پیشگاه می‌گوید
خاطرم وصف او نداند گفت	گر چه هر چند گاه می‌گوید
باز پرسید تا مناقب او	مویه‌گر بر چه راه می‌گوید
نور پیغمبرش همی خواند	یاش سایهٔ الاه می‌گوید
مفتی مطلقش همی خواند	داور دین پناه می‌گوید
امتش دین فزای می‌خواند	ملتش کفرگاه می‌گوید
آفتابش به صد هزار زبان	سایهٔ پادشاه می‌گوید
پشت دنیا ز مرگ او بشکست	روی دین ترک جاه می‌گوید
از سر دین کلاه عزت رفت	سر دریغا کلاه می‌گوید
چشم بیدار شرع شد در خواب	راز با خوابگاه می‌گوید
والله ار کس ثناش داند گفت	هر که گوید تباه می‌گوید
خاطرم نیز عذر می‌خواهد	که نه بر جایگاه می‌گوید
هر حدیثی گناه می‌شمرد	پس حدیث از گناه می‌گوید
اشک من چون زبان خونین هم	حیلت عذرخواه می‌گوید
مرثیت‌های او مگر دل خاک	بر زبان گیاه می‌گوید
غم آن صبح صادق ملت	آسمان شام گاه می‌گوید
گر سوار از جگر سپه سازد	غم دل با سپاه می‌گوید
چشم خور اشک ران به خون شفق	راز با قعر چاه می‌گوید
دانش من گواه عصمت اوست	بشنو آنچ این گواه می‌گوید
آه کز فرقت امام جهان	جان خاقانی آه می‌گوید
تا شد از عالم اسعد بو عمرو	عالونم وا اسعداه می‌گوید
