فروغ جمالت نظر برنتابد	صفات خیالت خبر برنتابد
به کوی تو از زحمت عاشقانت	نسیم سحرگه گذر برنتابد
به بازار تو مشتری بی‌بصر به	که جانان خریدن بصر برنتابد
بلائی که از عشقت آمد به رویم	قضا برنگیرد قدر برنتابد
به هر زشتی از عشق تو برنگردم	که از عشق خوبان حذر برنتابد
برآنی که خونم بریزی و سهل است	چه عاشق بود کاینقدر برنتابد
مکن هیچ تقصیر در کشتن من	که کار عزیزان خطر برنتابد
به بوسه لبت را کند رنجه نی‌نی	که درد سر او نظر برنتابد
به کامت ز تنگی سخن در نگنجد	میان تو جان را کمر برنتابد
به جان و سر تو که خاقانی از تو	به جان گر کنی حکم سر برنتابد
سگ توست خاقانی اینک به داغت	چنان دان که داغ دگر برنتابد
