علم دین کیمیاست خاقانی	کیمیائی سزای گنج ضمیر
مس زنگار خورده داری نفس	از چنین کیمیات نیست گزیر
جز از این هرچه کیمیا گویند	آن سخن مشنو و مکن تصویر
عمل اژدهات پیش آرند	کاب هست اژدهای حلقه پذیر
اژدها سر به دم رساند و باز	سر دم اژدها خورد بر خیر
مپذیر این هوس که نپذیرند	بهرج قلب ناقدان بصیر
به چنین جهل علم دین بشناس	که شناسند نافه مشک به سیر
اول این امتحان سکندر کرد	از ارسطو که بود خاص وزیر
برنیاورد کام تا خوردند	هم سکندر هم ارسطو تشویر
بدعت فاضلان منحوس است	این صناعت برای میره و میر
تا ز خامان خام طبع کنند	مال میر اثیافته تبذیر
مدبری را که قاطع ره توست	واصلی خوانی از پی توفیر
کید قاطع مگو که واصل ماست	کید چون گردد آفتاب منیر
که کند زر چو افتاب از خاک	زحلی کاهنی کند به زحیر
کافتاب از پیام خاکی زر	نکند بی‌هزار ساله مسیر
آفتاب است کیمیاگر و پس	واصلی صانعی قوی تاثیر
کی کند زر میان بوتهٔ خاک	دم او آسمان و بوته اثیر
این همه درد سر ز عشق زر است	ورنه روزی ضمان کند تقدیر
زر که بیند قراضه چون مه نو	حرص دیوانه بگسلد زنجیر
زر خرد بزرگ قیمت را	هست جرمی عظیم و جرم حقیر
یکنزون الذهب نکردی درس	یوم یحمی نخواندی از تفسیر
بر زمین هر کجا فلک زده‌ای است	بینوائی به دست فقر اسیر
شغل او شاعری است یا تنجیم	هوسش فلسفه است یا اکسیر
چیست تنجیم و فسفه تعطیل	چیست اکسیر و شاعری تزویر
کفر و کذب این دو راست خرمن کوب	نحس و فقر آن دو راست دامنگیر
در ترازوی شرع و رستهٔ عقل	فلسفه فلس دان و شعر شعیر
