حبذا قصر شمسهٔ ملکات	کآسمان ظل آسمانهٔ اوست
مادر تاجدار کیخسرو	بردهٔ بزم خسروانه اوست
قصر بلقیس دهر بین که پری	حارس بام بالکانهٔ اوست
صفوة الدین زیبدهٔ عجم آنک	دهر هارون آستانهٔ اوست
شاه جبریل جان مریم نفس	که مسیح کرم زمانهٔ اوست
دهم نه زن نبی که به قدر	هشت جنت نعیم خانهٔ اوست
حاصل شش جهات هفت اقلیم	عشر انعام بی‌بهانهٔ اوست
این جهان قلزم سخاش گرفت	خندق آن جهان کرانهٔ اوست
تا بقا شد کبوتر حرمش	نقطهٔ شین عرش دانهٔ اوست
جاه خاتون عالم است چنانک	پر صدا عالم از فسانهٔ اوست
آسمان را دوال گاو زمین	از پی شیب تازیانهٔ اوست
شمع بختش جهان چنان افروخت	که فک دودی از زبانهٔ اوست
قاصد بخت اوست ماه و نجوم	زنگل قاصد روانهٔ اوست
مست خون حسود اوست قضا	هم ز قحف سرش چمانهٔ اوست
نسل شروان شهان مهین عقدی است	صفوة الدین بهین میانهٔ اوست
باد شروان به فر فرزندش	که سعود ابد نشانهٔ اوست
بخت نقش سعادتش بندد	بر ششم چرخ کان خزانهٔ اوست
دانهٔ گوسفند چرخ نگر	کاین معانی نشان شانهٔ اوست
بلبل مدح اوست خاقانی	هم در شکرش آشیانهٔ اوست
نه فلک در ثنای او بگریخت	که فلک بندهٔ یگانهٔ اوست
جاودان باد کاعتماد جهان	همه به عمر جاودانهٔ اوست
