ای گشایندهٔ خزاین جود	نقش پیوند کارگاه وجود
همه هستی ز ملک تا ملکوت	یک رقم زان جریدهٔ جبروت
هست بی نیست آشکار و نهفت	توئی و جز ترا نشاید گفت
ای به صد لطف کارسازنده	بنده را از کرم نوازنده
آمدم بر در تو بی‌خودوار	با خودم دار بی خودم مگذار
به کرم رخت خواجگیم بسوز	بنده‌ام خوان و بندگی آموز
دور کن باد خسروی ز سرم	پر کن از خاک بندگی بصرم
آن چنان ره به خویش کن بازم	کز تو با دیگری نپردازم
سخن آن به که بعد حمد خدای	بود از نعمت خواجهٔ دو سرای
بهترین نقطهٔ رسل بشمار	آسمان دایره است او پرگار
چار یارش بچار سوی یقین	چهار رکن و چهار صفهٔ دین
آن بزرگان که همنشین ویند	روشن از پرتو یقین ویند
گویم افسانه‌های طبع فزای	از لب لعبت فسانه سرای
هر فسانه صراحیئی ز شراب	دور مستی و بلک داروی خواب
هر یکی را بهشت نام کنم	حور و کوثر درو تمام کنم
پس نویسم به کلک مشک سرشت	نام این هشت خانه هشت بهشت
تا کسی کاندرو گذر یابد	بی قیامت بهشت دریابد
گنج پیمای این خزینهٔ پر	از خزینه چنین گشاید در
کافتاب جمال بهرامی	چو شد از نور در جهان نامی
پدرش رخت زندگانی بست	او به جای پدر به تخت نشست
هر کرا دید در خود پیشی	داد با شغل دولتش خویشی
کاردارش نشد به روی زمین	جز خردمند و راستکار و امین
عهدهٔ ملک چو بر ایشان بست	خود بفارغدلی به باده نشست
عیش می کرد و کام دل می راند	باده می خورد و گنج می افشاند
جستی از مطربان چابک دست	آنچه بی می توان شد از وی مست
حاضر خدمتش غلامی چند	گشته همتاش در کمان و کمند
خاص‌تر ز آن همه کنیزی بود	افتی در ته سپهر کبود
بس که کردی بهر دلی آرام	به دلارا میش برآمده نام
قامتی در خوشی چو عمر دراز	هوس انگیزتر ز عشق مجاز
بر چو نارنج نو به شاخ درخت	سخت رسته ز صحبت دل سخت
چو به دنبال چشم کرده نگاه	برده صد ره رونده را از راه
نیم دزدیده خنده زیر لبش	کرده تعلیم دزدی عجبش
سختی تلخ در لبی چو نبات	مرگ را داده چاشنی ز حیات
گیسوی پیچ پیچش از سرناز	داده بر دست فتنه رشته دراز
تنی از نازکی درونه فریب	پای تا سر همه لطافت و زیب
در تماشاش روز و شب بهرام	همچو جمشید در نظارهٔ جام
ره سوی صیدگاه بی گاهش	آهوی شیر گیر همراهش
داشت میلی تمام در نخچیر	گور صد شیر کنده بود به تیر
رغبتش جز به صید گور نبود	با دگر وحشیانش زور نبود
گور چندان فکندی از سر شور	که شدی پشته‌ها چون گنبد گور
با مدادان که این غزالهٔ نور	مشک شب را نهفت در کافور
شاه بهرام هم به عادت خویش	توسنان شکار جست به پیش
اشقر خاص زیر ران آورد	لرزه در باد مهرگان آورد
نازنین را به همرکیبی خویش	کرد همراه ناشکیبی خویش
شاه بهرام و ترک بهرامی	کرده صیدش بصد دلارامی
هر دو پویه زنان به راه شدند	صید جویان به صیدگاه شدند
زین میان ناگه از کرانهٔ دشت	آهوئی چند پیش شاه گذشت
گفت با شه غزال شیر انداز	کاهو آمد به سوی شیر فراز
هر یکی را ز تو چنان جویم	کانچنان افگنی که من گویم
ناوکی زن بر آهوی ساده	که شود ماده نر نرش ماده
شاه دریافت خورده دانی او	تاخت مرکب به هم عنانی او
به خدنگی دو شاخ از آهوی نر	برد زانگونه کو نداشت خبر
ضربه فرق او از انسان راند	که ازو تا به ماده فرق نماند
کار نر چو به مادگی پرداخت	سوی ماده که نر کند در تاخت
دو یک انداز را بهم پیوست	بس بر آهو روانه کرد ز شست
هر دو در سر چنان نشاندش غرق	که دو شاخ پدید کرد ز فرق
زان دو شرط هنر که در خورد کرد	کرد نر ماده ماده را نر کرد
کرد چون خواهش صنم همه راست	از وی انصاف آن هنر درخواست
پاسخش داد ماه نوش لبان	کی کمال تو عقده بند زبان
