آغاز صحیفهٔ معانی	بر نام خدای جاودانی
آن را که هدایتی رساند	اندازه کرا، که واستاند
وآن را که کند ز روشنی دور	آن کیست که باز بخشدش نور
وآنگه ز خراش سینهٔ خویش	خونابه فشانده از دل ریش
کاین نامه که هست چون نگاری	از دلشده‌ای، به بی‌قراری
یعنی ز من ستم رسیده	نزدیک تو ای رسن بریده
ای عاشق دور مانده، چونی؟	وی شمع ز نور مانده، چونی؟
چونست سرت به بالش خاک؟	خون از رخ تو که می‌کند پاک؟
روزت دانم که شب نشانست	شبهای سیاه بر چه سانست؟
از من به که می‌بری حکایت؟	یا خود ز که می‌کنی شکایت؟
تکیه بدر که می‌کنی خواست؟	بالین گه تو که می‌کند راست؟
دردت ز منست گر چه حالی	من نیز نیم ز درد خالی
شمعی که بر آتش است تا روز	پروانه کش است و خویشتن سوز
چون ز آتش تیز پرنیان سوخت	از سوزن و رشته کی توان دوخت
بگداخت، ز سوز دل، وجودم	وز اوج فلک، گذشت دودم
تو گر چه ز عشق تنگ باری	باری قدمی فراخ داری
گر پیشروان شوی و گر پس	دستی نزند به دامنت کس
مسکین، من مستمند بندی	موقوف سرای دردمندی
خو کرده به گوشهٔ ندامت	زندانی درد، تا قیامت
پروردهٔ غم شدست جانم	فرسود محنت استخوانم
تا بستر تو زمین شنیدم	من نیز همان زمین گزیدم
گشتم به یگانگی چنان چست	کاین هستی من ز هستی تست
هر خاری که پای تو کند ریش	من از دل خود برون کشم نیش
هر تاب که بر تو زآفتاب است	سوزش همه بر من خراب است
هر آبله کافتدت به رفتار	از دیدهٔ من تراود آزار
هر سنگ که پهلوی توخسته‌ست	اینک تن من از آن شکسته‌ست
هر باد که از ره تو خیزد	در سینهٔ من غبار بیزد
من بی تو، چنین به غم نشسته	از هر که به جز تو، روی بسته
ای خار، چو پهلویش کنی ریش	از آتش آه من بیندیش
ای گرد، چو بر تنش نشینی	باران سرشک من ببینی
رو، ای دم سرد من، به راهش	خاشاک به چین ز تکیه‌گاهش
اینم نه گمان که یار دلسوز	شبها به وصال می‌کند روز
در کیو دگر همی‌زند گام	با یار دگر همی‌کشد جام
گر یار نو آمدت در آغوش	از یار کهن مکن فراموش
بیگانه مشو چنین به یکبار	آخر حق صحبتی نگه‌دار
گر باده و گر خمار بودیم،	روزی، نه من و تو یار بودیم؟
گر لاله و سرو در شمار است،	آخر خس و خار هم به کارست!
گیرم که تراست لعل در چنگ	مفگن به دکان شیشه‌گر سنگ
دیدی که به معرض هلاکم	چون باد برون شدی ز خاکم
بیگانه صفت خرام کردی	بیگانگی تمام کردی
بسیار می جفا چشیدی	بی‌خوابی و بی‌دلی کشیدی
اکنون که به وصل خفته‌ای شاد،	هم خوابهٔ نو مبارکت باد!
با این همه دوستدار و یاریم	با یار تو نیز دوستداریم
بخت من، اگر ز من شد آزاد	آنرا که رسید، یار او باد
او گر چه که دشمنیست در پوست	از دوستیت گرفتمش دوست
آن یار که دوست داشت یارم	دشمن بوم ار نه، دوست دارم
درد تو رفیق جان من باد	هم خوابهٔ خاکدان من باد
چون خوانده شد این ورق تمامی	دل سوخته پخته شد ز خامی
غلتید میان خاک لختی	چون باد زده کهن درختی
پس قاصد نامه را بفرمود	کآرد قلمی و کاغذی، زود
قاصد بسوی قبیله شد راست	و آورد و سپردش آنچه درخواست
دیوانه ز راز پرده برداشت	می‌ریخت غمی که در جگر داشت
اول بگهٔ قلم گزاری	کرد از سر خستگی و زاری
