ای عذر پذیر عذرخواهان	عفو تو شفیع پرگناهان
خسرو که کمینه بندهٔ تست	در هر چه فتد افگندهٔ تست
آنرا که تو افگنی بهر زیست	بر داشتنش به بازوی کیست
بدار ز خاک ره که پستم	از دست رها مکن که مستم
هر چند تن گناه پرورد	در حضرت قرب نیست در خورد
با این همه گر پذیری این خاک	نقصان چه بود به عالم پاک
از یاد خودم کن آن چنان شاد	کز هستی خود نیایدم یاد
تا جان بودم امیدوارم	کز شکر تو دل تهی ندارم
خواهم به ستایش تو بودن	من خود چه توانمت ستودن
هم تو دل پاک ده زبان هم	در مدحت خویش و بلکه جان هم
به گر ندهی، بهیچ سانم	آن جان، که به خویش زنده مانم
جانیم ده، از خزینهٔ بیش	کم زنده به تو کند، نه از خویش
گیرم که نه‌ام به لطف در خور،	آخر، نه که بنده‌ام برین در؟
گر رحمت تست بر نکو زیست،	رحمت کن بندگان بد کیست؟
آخر نه گلم سرشتهٔ تست؟	نیک و بد من نبشهٔ تست؟
جرمم منگر، که چاره‌سازی	طاعت مطلب، که بی نیازی
گر عون تو رحمتی نریزد،	از طاعت چو منی چه خیزد؟
فردا که ز بنده راز پرسی	ناکرده و کرده باز پرسی
چون می دانی، بکارسستم	شرمنده مکن، بساز جستم
از رحمت خویش کن درم باز	بی آنکه ز کرده پرسی‌ام باز
زان گونه به خویش ده پناهم	کز گنج تو خواهم آنچه خواهم
زینسان که امیدوارم از تو	خواهش، به جز این، ندارم از تو
کان دم که دمم ز تن بر آید	با نام تو جان من برآید
در حجلهٔ قدس بخش جایم	تا با تو به جانب تو آیم
آن راه نما به من نهائی	کاندر تو رسم، دگر تو دانی
در قربت حضرت مقدس	پیغمبر پاک رهبرم بس
