روزگاری است سخت بی‌بنیاد	کس گرفتار روزگار مباد
شیر بینم شده متابع رنگ	باز بینم شده مطاوع خاد
نه به جز سوسن ایچ آزادست	نه به جز ابرهست یک تن راد
نه نگفتم نکو معاذالله	این سخن را قوی نیامد لاد
مهترانند مفضل و هر یک	اندر افضال جاودانه زیاد
نیست گیتی به جز شگفتی و نیز	کار من بین که چون شگفت افتاد
صد در افزون زدم به دست هنر	که به من بر فلک یکی نگشاد
در زمان گردد آتش و انگشت	گر بگیرم به کف گل و شمشاد
بار انده مرا شکست آری	بشکند چون دوتا کنی پولاد
نشنود دل اگر بوم خاموش	نکند سود اگر کنم فریاد
گرچه اسلاف من بزرگانند	هر یک اندر همه هنر استاد،
نسبت از خویشتن کنم چو گهر	نه چو خاکسترم کز آتش زاد
چون بد و نیک زود می‌گذرد	این چو آب آن یکی دگر چون باد
نز بد او به دل شوم غمگین	نه ز نیکش به طبع گردم شاد
این جهان پایدار نیست از آن	که بر آبش نهاده شد بنیاد
