پادشاه بزرگ دین پرور	شهریار کریم حق گستر
خسرو کامگار مسعودست	کش زمانه ست بنده و چاکر
شاه شاهان علاء دولت و دین	آن فلک منظر ملک مخبر
تاجداری که رفعت نامش	بر فلک برد پایه منبر
کامگاری که بسطت دستش	بر زمین ریخت مایه کوثر
صحن ملکش به دهر هفت اقلیم	خیل بختش ز چرخ هفت اختر
راعی امن او به شرق و به غرب	داعی جود او به بحر و به بر
تارک رتبت بلندش را	زیبد اکلیل آسمان افسر
گردن همت بزرگش را	عقد گردون سزا بود زیور
بر در امر او به روز و به شب	بسته دارد فلک چو کوه کمر
در صف کین او ز چپ و ز راست	کند باشد درخش را خنجر
در برکه ز حرص افسر او	همچو لاله ست چهره گوهر
در دل کان ز بیم بخشش او	چون زریرست باز گونه زر
چون برانگیخت عزم نافذ او	زیبدش صبح و مهر تیغ و سپر
چون فرو داشت عزم ثابت او	برنداردش عاصف و صرصر
عدل او بانگ زد چنان بر ظلم	که ز گوگرد بازجست آذر
بر او بار لطف چندان کرد	که بر آذر شکوفه گشت شرر
داد پر پر امیدواران را	ساقی جود او شراب بطر
برد خوش خوش ضعیف حالان را	ساقی داد او خمار ز سر
حمله ای کرد سطوتش چونانک	فتنه را شد مصاف زیر و زبر
در سر و در شکم ز شور و بلا	آب و خون شد ز هول مغز و جگر
ای جهان از کمال تو پیدا	وی فلک در خصال تو مضمر
مملکت را مناقب تو مثل	مفخرت را مکارم تو سمر
از پی سازهای تاج تو را	قطره در می شود به بحر اندر
وز پی رودهای بزم تو را	سر به گردون همی کشد عرعر
بر لب نیک خواه دولت تو	آب حیوان شود می ساغر
در کف بدسگال دولت تو	بوی نفط سیه دهد عنبر
گر نباشد به طبع همت تو	چنگ بگذارد از عرض جوهر
گر بگردد ز حال فکرت تو	چرخ بگشاید از فلک چنبر
تو ولی گویی و به هیچ مهم	لفظ تدبیر تو نبوده مگر
جزم فرمانی و به هیچ مثال	شرط فرمان تو نبوده اگر
همه شادی شهی نهاد کزو	شد شکفته بهار دولت و فر
چون تف کارزار برزد جوش	قرص خورشید شد چو خاکستر
چهره را خاک بیخت گونه پوست	دیده را خار زاد نور بصر
تیره دیدند رنگ های امید	تیز دیدند چنگ های خطر
گردها کرده چشم گیتی کور	کوس ها کرده گوش گردون کر
تیغ چون مورد گشت چون لاله	روی چون لاله شد چو نیلوفر
سینه چون کوره تفته در جوشن	مغز چون کفته غنچه در مغفر
بر بساط بسیط خوف و رجا	برکشیده قضا حشر به حشر
در طریق مضیق عمر و فنا	برفکنده بلا نفر به نفر
در مصاف و مجال هر سردار	در شتاب و درنگ هر صفدر
آتش و آب و باد و خاک شده	ابرش و خنگ و بور و جم زیور
چون سر سنگ پشت و روی امل	گشته پنهان ز بیم تیغ و تبر
خارپشتی شده ز نیزه و تیر	اجل جان شکار عمر شکر
آن زمان لا اله الا الله	وهم نادرست کرد بر تو گذر
موی بشکافتی به طعن و به ضرب	کوه برداشتی به کر و به فر
نور شد حربه تو از بس خون	که زدش بر برخش و پهلو و بر
بازوی عون تو گرفته قضا	خنجر فتح تو کشیده قدر
در خوی و خون شده زران و کفت	باره نصرت و عنان و ظفر
وان همه صاعقه به یک ذره	در دل بأس تو نکرده اثر
ملک جویان سهم کام روا	دهر گیران گرد نام آور
همه از هول گرز مسعودی	بر سرافکنده چون زنان معجر
یکی افتاده در میانه شور	دیگری خسته بر کرانه شر
این رها کرده همچو ماران پوست	وان برآورده همچو موران پر
یک جهان را به بازوی معروف	بر کشفتی به حمله منکر
بازگشتی به قطب شاهی شاد	عون یزدان و سعی چرخ نگر
تارک تاج را به صد دامن	پایه تخت را به صد زیور
در بپاشید بخت نیک چو ابر	زرد پراکند نجم سعد چو خور
هر سویی زان ظفر به هر ساعت	برسانید جبرئیل خبر
آفرینش مزاج کرد بدل	زود از آن مژده در جهان یکسر
