ملک ملک ارسلان	ساکن روض الجنان
شاه زمانه فروز	خسرو صاحبقران
رایت و رایش بلند	دولت و بختش جوان
همت او آفتاب	رتبت او آسمان
مطرب راهی بزن	راوی بیتی بخوان
فی ملک عدله	یخدمها النیران
ای بدل اردشیر	وی عوض اردوان
بنده امرت سپهر	بسته حکمت جهان
ای ملک کامران	خسرو صاحبقران
دوش به خواب اندرون	وقت سپیده دمان
آمد نزد رهی	روان نوشیروان
گفت که مسعود سعد	شاعر چیره زبان
دیدی عدلی که خلق	یاد ندارد چنان
دید کآباد کرد	جمله زمین و زمان
عدل ملک بوالملوک	شاه ملک ارسلان
در صفت عدل او	مدح به گردون رسان
ورچه امروز هست	تنت چنین ناتوان
چو گرددت تن درست	و ایمن گردی به جان
تو وصف این عدل کن	به وصف نیکو بیان
درین معانی به شعر	بساز ده داستان
ای ملک مال ده	خسرو گیتی ستان
سیاست ملک را	پیش تو در یک زمان
جمع شد از هر سویی	دویست کوه روان
جمله بر آن هر یکی	یک اژدهای دمان
بر سر هر پیل مست	نشسته یک پیلبان
برین سیاست که رفت	ای ملک کامران
قحط چو باران نشاند	رحمت تو از جهان
احسنت ای پادشاه	شاد به گیتی بمان
داشتن ملک و دین	جز که چنین کی توان
خلق جهان را همه	کودک و پیر و جوان
به جود کردی غنی	به عدل دادی امان
زایل کردی شها	ز خلق نرخ گران
جانشان دادی همه	که اصل جانست نان
خلق به گیتی ندید	چون تو شهی مهربان
زین پس دزدان شوند	بدرقه کاروان
بیش نترسد ز گرگ	بر رمه مرد شبان
ز جود خالی نه ای	حظی داری از آن
عدل تو بر ملک و دین	جود تو بر گنج و کان
چون تو نبودست و نیست	خسرو فرمان روان
عادلی و عدل تو	رسید در هر مکان
شاها با عدل و ملک	زنده بمان جاودان
