زیور آسمان چو بگشایند	کله های هوا بیارایند
کوه را سر به سیم درگیرند	دشت را رخ به زر بیندایند
زنگ ظلمت به صیقل خورشید	همچو آئینه پاک بزدایند
صبر از اندوه من فرار کند	این بکاهند و آن بیفزایند
اختران نور مهر دزدیدند	زان بدو هیچ روی ننمایند
مهر چون روز نور مه بستد	اختران شب همی پدید آیند
بینی اندر سپیده دم به نهیب	که ز لرزه همی نیاسایند
ایستاده همه ز بهر گریز	رایت آفتاب را پایند
در هزیمت ز نور و تابش او	هر چه دریافتند بربایند
ای عجب گوهران نیک و بدند	نه به یک طبع و نه به یک رایند
مهترند آنچه زان گران دستند	کهترند آنچه زان سبکپایند
طالع از ارتفاع شب گیرند	همه را همچو شب همی زایند
پدر عقل و مادر هنرند	پس چرا سوی هر دو نگرایند
همه پالوده نقره را مانند	نقره ضر و نفع پالایند
چون سنان ها زدوده اند و ازین	بر دل و بر جگر نبخشایند
در نظر دیده های مارانند	خلق را زان چو مار بفسایند
گر چه ما را چو مار حله دهند	روزی آخر چو مار بگزایند
نتوان جست از آنچه پیش آرند	کرد باید هر آنچه فرمایند
زندگانند و جان زنده خورند	تازگانند و عمر فرسایند
هر چه پیراستند بگشودند	دل مبند اندر آنچه پیرایند
گاه در روی این همی خندند	گاه دندان بر آن همی خایند
از پی این عبیر می بیزند	وز پی آن حنوط می سایند
دورها چرخ را بپیمودند	قرن ها نیز هم بپیمایند
نکنند آنچه رای و کام کسی است	زانکه خود کامگار و خود رایند
قطره ای آب و خاک را ندهند	تا به خون روی گل نیالایند
گنه و عذرشان خردمندان	نه بگویند و هیچ نستایند
خلق را پاره پاره در بندند	پس از آن بندبند بگشایند
خیز مسعود سعد رنجه مباش	همچنینند و همچنین بایند
همه فرمان بران یزدانند	تا ندانی که کار فرمایند
