ای کتاب مبارک میمون	ای دلفروز دلکش دلخواه
کاغذ و حبر تو به حسن و به زیب	همچو روی سپید و زلف سیاه
بر کمال تو وقف کردم عقل	تا شدی بر کمال عقل گواه
در تو جمعست نظم ها که به لفظ	سوی هر خرمی نماید راه
از خردها نتیجه هاست در آن	کز هنرها همی کنند آگاه
در تو بینیم نعت قد چو سرو	وز تو یابیم وصف روی چو ماه
تو کنی مدح چشم های دژم	تو کنی وصف زلف های سیاه
نام شاه زمانه بر تو چنانک	مهر بر زر و نقش بر دیباه
خبری کن مرا که شاه جهان	هیچ در تو نگه کند گه گاه
یا تو هم طالع من آمده ای	حرمتی نیست به مجلس شاه
پادشاه جهان ملک مسعود	ملک ملک بخش داد پناه
فر پر همای گسترده ست	در زمانه به فر پر کلاه
آنگه گشت از نهیب سطوت او	صولت شیر ذلت روباه
آسمانیست نور رایش مهر	آفتابیست او و چرخش گاه
جود او در جهان نفر نفرست	عدل او بر زمین سپاه سپاه
بحر و ابرست روز پاداشن	چرخ و دهرست گاه باد افراه
حرص دستش همه به بذل و عطا	میل طبعش همه به عفو گناه
جز به چشم جلالت و تعظیم	نکند سوی او سپهر نگاه
همه عین صواب ملک بود	هر چه گوید علیه عین الله
جاه او تاج فرق دولت شد	که بر افزونش باد نعمت و جاه
باد دایم معین و ناصر او	دانش پیر و دولت برناه
دوستش سرفراز باد چو سرو	دشمنش باد پی سپهر چو گیاه
دولتی بادش از جهان هر روز	نصرتی بادش از فلک هر ماه
