از خواجه مظفر کریوه	امروز هزار شکر دارم
غافل نیم و یکان یکان من	بر خود شب و روز می شمارم
سر جمله آن به طبع و خاطر	من بر دل و جان همی نگارم
چون ایزدم از بلا برآرد	آن از دل و جان همی برآرم
چون باد به مدح و شکر کوشم	چون ابر بر او ثنا ببارم
امروز چو عاجزم ز حقش	بعضی به دعا همی گزارم
روزی ز ثنا برآرد او را	این تخم که من همی بکارم
بی اصل و حرامزاده باشم	گر من حق او فرو گزارم
دانم که بدین که من بگفتم	دارد چو بخواند استوارم
و او هم نکند مرا فراموش	تا بسته به حبس این حصارم
فرزند سعادتم که او را	بنده ست بدو همی سپارم
در دولت طاهری زدم چنگ	زو روشنیی گرفت کارم
والله که به خدمتش نه بس دیر	گلها شکفد ز خشک خارم
در دولت او به دولت تو	از بخت همی امیدوارم
