لحن نای محمد نایی	ارغنونی بود به تنهایی
چون به سر نای او درافتد دم	شاد گردد دلی که دارد غم
نغمه او چو جان بیفزاید	گر نثارش کنند جان شاید
راحت آن ساعتست کو از خشم	مهره بازی کند به پلک دو چشم
امر و نهی از امارتش خیزد	زر و در از عبارتش ریزد
مطربان را به جمله گرد آرد	پرده از پیش صفه بردارد
ناصر کل دوان شود هر سو	لت و سیلی روان شود هر سو
آن خر کون دریده بیرو را	بزند . . . خواره بانو را
زین همه زخم و چوب بند و جرس	غرض او بر آش باشد و بس
گر نه زین روسبی و آن گنده	نبود حاصلی مگر خنده
قلتبان چون گرفت خشم و لجاج	زود گردد روان ز هر سو کاج
چون ببیند ز خره دانگانه	جمله دارد فدای او خانه
در همه حال سیم دارد دوست	قلتبانی از آتش عادت و خوست
