اغدوا علی فی السّحر	و اتوا جمیعا بسفر
اخبرکم بذا الخبر	امّا بخیر او ضرر
ثمّ امسک طویلا و طفق یقول:	من اجل مبعوث عظیم الشّان
یا لهب یا لهب بنی قحطان	اخبرکم بالحقّ و البیان‌
اقسمت بالکعبة و الارکان	و البلد المؤمن ذی السکّان‌
و المنع للسمع عتاة الجان	بثاقب فی کفّه سلطان‌
اری لهم ما قد اری لنفسی	ان یتبعوا خیر قبیل الانس‌
برهانه مثل شعاع الشّمس	یبعث من مکّة دار الحمس‌
بالموت اقسمت لکم و العیش	انّ النّبیّ ذا لمن قریش‌
لیس یری فی حکمه من طیش	نعم و لا فی خلقه من هیش‌
یکون فی جیش و ایّ جیش	من آل قحطان و آل البیش‌
