تعالیت معبودا، تعالیت قاهرا	تعالیت قدّوسا، تعالیت خالقا
تعالیت من ربّ رفیع مکانه	تعالیت رزّاقا وسعت الخلائقا
تعالیت اوسعت البریّة برّها	و فاجرها رزقا تعالیت رازقا
ای زهر غم تو در دلم آب حیات	و ای عشوه عشق تو مرا راه نجات‌
گفتی: ببرم جان تو ای حور صفات؟	جان از تو مرا دریغ باشد؟ هیهات!
ای نفس خسیس همّت سودایی	بر هر سنگی که بر زنم قلب آیی!
سوف تری اذا انجلی الغبار	أ فرس تحتک ام حمار
تا کی از دار الغروری سوختن دار السّرور	تا کی از دار الفراری ساختن دار القرار
باش تا از صدمه صور سرافیلی شود	صورت خوبت نهان و سیرت زشت آشکار
یک تپانچه شیر و، زین مردار خواران یک جهان	ک صدای صور و، زین فرعون طبعان صد هزار.
خون صدّیقان بپالودند و زان ره ساختند	جز بدل رفتن در آن ره یک قدم را بار نیست.
