بحمدالله که قیوم توانا	قدیم واجب التعظیم دانا
بساط استراحت گسترنده	جهان آرای گیتی پرورنده
ریاض سلطنت را تازگی داد	امارت را بلند آوازگی برآورد
همایون طایر توفیق و اقبال	به صبر آورد جنبش در پر و بال
جهان را کوری چشم اعادی	بجست از حسن طالع چشم شادی
خبرهای جدید اهل زمین را	طربهای نهان دنیا و دین را
اشارت گرم ایمای بشارت	بشارت کار فرمای بشارت
که عالم روی در آبادی آورد	نوید آور نوید و شادی آورد
قضا رایات عدل تازه افراخت	قدر طرح ولی سلطانی انداخت
برآمد گوهری از معدن ملک	سری پیدا شد از بهر تن ملک
چه گوهر درة التاج سلاطین	چه سر سرمایه فخر خواقین
برای او ز اسماء گشته نازل	ولی سلطان ولی سلطان عادل
گران است آن قدرها سایهٔ او	بلند است آن قدرها پایهٔ او
که پیش مالکان ملک ادراک	به میزان قیاس عقل دراک
یکی هم پایهٔ کوه حدید است	یکی همسایهٔ عرش مجید است
بود در خلقت آن عرش درگاه	ز خلقش تا نشانش آن قدر آه
که عقل دور بین راهست تفسیر	به بعد المشرقینش کرده تعبیر
مجد سکه سلطانی از وی	روان حکم محمد خانی از وی
بود گر صولت سلطانی او	دو روزی پیشکار خانی او
نگردد شانش از گیتی ستانی	به خانی قانع و مافوق خانی
ایا تابان مه برج ایالت	ایا رخشان در درج جلالت
به عدلت عالمی امیدوارند	نظر بر شاه راه انتظارند
که در تازی به میدان عدالت	برآمد بانک کوس استمالت
فتد هم رخنه در بنیاد بیداد	شود هم مملکت از داد آباد
سیاست را شود تیغ آن چنان تیز	که باشد در نیام از سهم خونریز
تو جبر ظلم برخود کرده لازم	ستانی داد مظلومان ز ظالم
شود خوش زبان شکوه خاموش	کشد دوران فلک را پنبه از گوش
که بشنو شکر از اهل شکایت	ببین راه شکایت را نهایت
همین چشم از تو دارند ای جهاندار	جهان گردان پا افتاده از کار
وطن آوارگی غربت آهنگ	تجارت پیشه‌گان صخرهٔ اورنگ
که از طول امل زان فرقه اکثر	به آهنگ حصول خورده زر
در آن وادی که وحشش ماهیانند	طیورش سر به سر مرغابیانند
سوار اسب چو بینند یک سر	عنان در دست طوفانهای صرصر
سکندر خوردنی زان اسب بی‌قوت	سوارش را برد تا سینهٔ حوت
غرض کان را کبان مرکب فلک	به استدعای آبادانی ملک
بسان ماهیان غافل از شست	سر سودا نهاده بر کف دست
یکی سنگین متاع از شکر و نیل	یک رنگین بساط از لون مندیل
یکی از اقمشه بیرام اندوز	که نامش عید اتراکست امروز
یکی را عقد مروارید دربار	که باید در بهایش زر بخروار
یکی با وی غلامان و کنیزان	به آن رنگ از عداد حور و غلمان
دگر اشیا که هریک بهر کاری است	یکایک را درین ملک اعتباریست
سخن را مابقی اینست کایشان	نباشند این زمان خاطر پریشان
کنند از صیت عدلت رو درین بوم	نگردند از تو و ملک تو محروم
به خانها در کشند اسباب چندان	کزان گردد لب آمال خندان
دکاکین را بیارایند اجناس	ز حفظ حارست مستغنی از پاس
اگر ترکی به ایشان برخورد گرم	به سودا نبودش پشت کمان نرم
خورد از شست عدلت ناوک قهر	به آیینی که گردد عبرت شهر
چو گردد دفع ظلم از دولت تو	کند رفع تعدی صولت تو
شود زورین کمان ظلم بی‌زور	نیاید از سلیمان زور برمور
ز دنیا کشور خزم تو داری	ز عالم بندر اعظم تو داری
ولی بندر ز تجار جهانگرد	همانا می‌تواند بندری کرد
ولی این وحشیان را صید خود ساز	یکایک را اسیر قید خود ساز
که با فرمانبری گردند سر راست	به پایت نقد جان ریزند بی‌خواست
الا ای نوجوان سلطان عادل	زبانها متفق گردیده با دل
که خواهی زد در ایام جوانی	به دولت نوبت نو شیروانی
بهر ملکیست سلطانی طرب کوش	بهر جانیست جانانی هم‌آغوش
خوشا ملکی که سلطانش تو باشی	خوشا جانی که جانانش تو باشی
خوشا چشمی که بیند طلعت تو	نباشد بی‌نصیب از صحبت تو
من عزلت گزین چون بی‌نصیبم	همانا در دیار خود غریبم
به پیغامیم گه گه شاد میکن	ز قید محنتم آزاد میکن
که دوران محتشم زان کرده نامم	که ادنی بندگانت را غلامم
الهی تا بود بر لوح ایام	ز نام نامی نوشیروان نام
بهر کشور که نام عدل دانند	تو را نوشیروان عصر خوانند
