آن جنگی مرد شایگانی	معروف شده به پاسبانی
در گردنش از عقیق تعویذ	بر سرش کلاه ارغوانی
بر روی نکوش چشم رنگین	چون بر گل زرد خون چکانی
بر پشت فگنده چون عروسان	زربفت ردای پرنیانی
بسیار نکوتر از عروسان	مردی است به پیری و جوانی
بی‌زن نخورد طعام هرگز	از بس لطف و ز مهربانی
تا زنده همیشه چون سواری	با بانگ و نشاط و شادمانی
واندر پس خویش دو علامت	کرده است به پای، خسروانی
آلوده به خون کلاه و طوقش	این است ز پردلی نشانی
نه لشکری است این مبارز	بل حجرگی است و شایگانی
از گوشهٔ بام دوش رازی	با من بگشاد بس نهانی
گفتا که «به شب چرا نخسپی؟	وز خواب و قرار چون رمانی؟
یا چون نکنی طلب چو یاران	داد خود از این جهان فانی؟
نوروز ببین که روی بستان	شسته است به آب زندگانی
واراسته شد چون نقش مانی	آن خاک سیاه باستانی
بر سر بنهاد بار دیگر	نو نرگس تاج اردوانی
درویش و ضعیف شاخ بادام	کرده است کنار پر شیانی
گیتی به مثل بهشت گشته است	هرچند که نیست جاودانی
چون شاد نه‌ای چو مردمان تو؟	یا تو نه ز جنس مردمانی؟
آن می‌طلبد همی و آن گل	چون تو نه چنین و نه چنانی؟
چون کار تو کس ندید کاری	امروز تو نادرالزمانی
تو زاهدی و سوی گروهی	بتر ز جهود و زندخوانی
بر دین حقی و سوی جاهل	بر سیرت و کیش هندوانی
سودت نکند وفا چو دشمن	از تو به جفا برد گمانی
سنگ است و سفال بردل او	گر بر سر او شکر فشانی
زین رنج تو را رها نیارد	جز حکم و قضای آسمانی»
گفتم که: به هر سخن که گفتی	زی مرد خرد ز راستانی
خوابم نبرد همی که زیرا	شد راز فلک مرا عیانی
بشنودم راز او چو ایزد	برداشت زگوش من گرانی
گیتی بشنو که می چه گوید	با بی‌دهنی و بی‌زبانی
گوید که «مخسپ خوش ازیرا	من منزلم و تو کاروانی»
هرکو سخن جهان شنوده است	خوار است به سوی او اغانی
غره چه شوی به دانش خویش؟	چون خط خدای بر نخوانی؟
زیرا که دگر کسان بدانند	آن چیز که تو همی بدانی
واکنون که شنودم از جهان من	آن نکتهٔ خوب رایگانی
کی غره شود دل حزینم	زین پس به بهار بوستانی؟
خوش باد شب کسی که او را	کرده است زمانه میزبانی
من دین ندهم ز بهر دنیا	فرشم نه بکار و نه اوانی
الفنجم خیر تا توانم	از بیم زمان ناتوانی
ای آنکه همی به لعنت من	آواز بر آسمان رسانی
از تو بکشم عقاب دنیا	از بهر ثواب آن جهانی
دل خوش چه بوی بدانکه ناصر	مانده است غریب و مندخانی
آگاه نه‌ای کز این تصرف	بر سود منم تو بر زیانی
من همچو نبی به غارم و تو	چون دشمن او به خان و مانی
روزی بچشی جزای فعلت	رنجی که همی مرا چشانی
جائی که خطر ندارد آنجا	نه سیم زده نه زر کانی
وانجا نرود مگر که طاعت	نه مهتری و نه با فلانی
پیش آر قران و بررس از من	از مشکل و شرحش و معانی
بنکوه مرا اگر ندانم	به زانکه تو بی‌خرد برآنی
لیکن تو نه‌ای به علم مشغول	مشغول به طاق و طیلسانی
ای مسکین حجت خراسان	بر خوگ رمه مکن شبانی
کی گیرد پند جاهل از تو؟	در شوره نهال چون نشانی؟
