نقطه خط اولین پرگار	خاتم آخر آفرینش کار
نوبر باغ هفت چرخ کهن	دره‌التاج عقل و تاج سخن
کیست جز خواجه مؤید رای	احمد مرسل آن رسول خدای
شاه پیغمبران به تیغ و به تاج	تیغ او شرع و تاج او معراج
امی و امهات را مایه	فرش را نور و عرش را سایه
پنج نوبت زن شریعت پاک	چار بالش نه ولایت خاک
همه هستی طفیل و او مقصود	او محمد رسالتش محمود
ز اولین گل که آدمش بفشرد	صافی او بود و دیگران همه درد
و آخرین دور کاسمان راند	خطبه خاتمت هم او خواند
امر و نهیش به راستی موقوف	نهی او منکر امر او معروف
آنکه از فقر فخر داشت نه رنج	چه حدیثیست فقر و چندان گنج؟
وانک ازو سایه گشت روی سپید	چه سخن سایه وانگهی خورشید؟
ملک را قایم الهی بود	قایم انداز پادشاهی بود
هرکه برخاست می‌فکندش پست	وانکه افتاد می‌گرفتش دست
با نکو گوهران نکو می‌کرد	قهر بد گوهران هم او می‌کرد
تیغ از اینسو به قهر خونریزی	رفق از آنسو به مرهم‌آمیزی
مرهمش دل نواز تنگ دلان	آهنش پای‌بند سنگدلان
آنک با او بر اسب زین بستند	بر کمرها دوال کین بستند
اینک امروز بعد چندین سال	همه بر کوس او زنند دوال
گرچه ایزد گزید از دهرش	وین جهان آفرید از بهرش
چشم او را که مهر ما زاغست	روضه گاهی برون ازین باغست
حکم هفصد هزار ساله شمار	تابع حکم او به هفت هزار
حلقه‌داران چرخ کحلی پوش	در ره بندگیش حلقه به گوش
چار یارش گزین به اصل و به فرع	چار دیوار گنج خانه شرع
ز آفرین بود نور بینش او	کافرینها بر آفرینش او
با چنان جان که هر دمش مددیست	از زمین تا به آسمان جسدیست
آن جسد را حیات ازین جانست	همه تختند و او سلیمانست
نفسش بر هوا چو مشک افشاند	رطب‌تر ز نخل خشک افشاند
معجزش خار خشک را رطبست	رطبش خار دشمن این عجبست
کرده ناخن برای انگشتش	سیب مه را دو نیم در مشتش
سیب را گر ز قطع بیم کند	ناخنه روشنان دو نیم کند
آفرین کردش آفریننده	کین گزین بود و او گزیننده
باد بیش از مدار چرخ کبود	بر گزیننده و گزیده درود
