چون اشارت رسید پنهانی	از سرا پرده سلیمانی
پر گرفتم چو مرغ بال گشای	تا کنم بر در سلیمان جای
در اشارت چنان نمود برید	که هلالی برآورد از شب عید
آنچنان کز حجاب تاریکی	کس نبیند در او ز باریکی
تا کند صید سحرسازی تو	جاودان را خیال بازی تو
پلپلی چند را بر آتش ریز	غلغلی در فکن به آتش تیز
مومی افسرده را در این گرمی	نرم گردان ز بهر دل نرمی
مهد بیرون جهان ازین ره تنگ	پای کوبی بس است بر خر لنگ
عطسه‌ای ده ز کلک نافه گشای	تا شود باد صبح غالیه سای
باد گو رقص بر عبیر کند	سبزه را مشک در حریر کند
رنج بر وقت رنج بردن تست	گنج شه در ورق شمردن تست
رنج برد تو ره به گنج برد	ببرد گنج هر که رنج برد
تاک انگور تا نگرید زار	خنده خوش نیارد آخر کار
مغز بی‌استخوان ندید کسی	انگبینی کجاست بی‌مگسی
ابر بی آب چند باشی چند	گرم داری تنور نان در بند
پرده بر بند و چابکی بنمای	روی بکران پردگی بگشای
چون برید از من این غرض درخواست	شادمانی نشست و غم برخاست
جستم از نامه‌های نغز نورد	آنچه دل را گشاده داند گرد
هرچه تاریخ شهر یاران بود	در یکی نامه اختیار آن بود
چابک اندیشه رسیده نخست	همه را نظم داده بود درست
مانده زان لعل ریزه لختی گرد	هر یکی زان قراضه چیزی کرد
من از آن خرده چو گهر سنجی	بر تراشیدم این چنین گنجی
تا بزرگان چو نقد کار کنند	از همه نقدش اختیار کنند
آنچ ازو نیم گفته بد گفتم	گوهر نیم سفته را سفتم
وانچ دیدم که راست بود و درست	ماندمش هم برآن قرار نخست
جهد کردم که در چنین ترکیب	باشد آرایشی ز نقش غریب
بازجستم ز نامه‌های نهان	که پراکنده بود گرد جهان
زان سخنها که تازیست و دری	در سواد بخاری و طبری
وز دگر نسخها پراکنده	هر دری در دفینی آکنده
هر ورق کاوفتاد در دستم	همه را در خریطه‌ای بستم
چون از آن جمله در سواد قلم	گشت سر جمله‌ام گزیده بهم
گفتمش گفتنی که بپسندند	نه که خود زیرکان بر او خندند
دیر این نامه را چو زند مجوس	جلوه زان داده‌ام به هفت عروس
تا عروسان چرخ اگر یک راه	در عروسان من کنند نگاه
از هم آرایشی و هم کاری	هر یکی را یکی کند یاری
آخر از هفت خط که یار شود	نقطه‌ای بر نشان کار شود
نقشبند ارچه نقش ده دارد	سر یک رشته را نگهدارد
یک سر رشته گر ز خط گردد	همه سررشته‌ها غلط گردد
کس برین رشته گرچه راست نرفت	راستی در میان ماست نرفت
من چو رسام رشته پیمایم	از سر رشته نگذرد پایم
رشته یکتاست ترسم از خطرش	خاصه ز اندازه برده‌ام گهرش
در هزار آب غسل باید کرد	تا به آبی رسی که شاید خورد
آبی انداختند و مردم شد	آب انداخته بسی گم شد
من کزان آب در کنم چو صدف	ارزم آخر به مشتی آب و علف
سخنی خوشتر از نواله نوش	کی سخاسوی من ندارد گوش
در سخاو سخن چه می‌پیچم	کار بر طالع است و من هیچم
نسبت عقربی است با قوسی	بخل محمود بذل فردوسی
اسدی را که بودلف بنواخت	طالع و طالعی بهم در ساخت
من چه می‌گویم این چه گفت منست	کبم از ابر و درم از عدنست
صدف از ابر گر سخا بیند	ابر نیز از صدف وفا بیند
کابر آنچ از هوا نثار کند	صدفش در شاهوار کند
این سخن را که جاه می‌خواهم	مدد از فیض شاه می‌خواهم
هرچه او را عیار یا عددیست	سبب استقامتش مددیست
ور مدد پیش بارگه باشد	چار در چار شانزده باشد
جبرئیلم به جنی قلمم	بر صحیفه چنین کشد رقمم
کین فسون را که جنی آموز است	جامه نو کن که فصل نوروز است
آنچنان کن ز دیو پنهانش	که نبیند مگر سلیمانش
زو طلب کن مرا که فخر من اوست	من کیم بازمانده لختی پوست
موم سادم ز مهر خاتم دور	خالی از انگبین و از زنبور
تا سلیمان ز نقش خاتم خویش	مهر من بر چه صورت آرد بیش
روی اگر سرخ و گر سیاه بود	نقشبندش دبیر شاه بود
بر من آن شد که در سخن سنجی	ده دهی زر دهم نه ده پنجی
نخرد گر کسی عبیر مرا	مشک من مایه بس حریر مرا
زان نمطها که رفت پیش از ما	نوبری کس نداد بیش از ما
نغز گویان که گفتنی گفتند	مانده گشتند و عاقبت خفتند
ما که اجری تراش آن گرهیم	پند واگیر داهیان دهیم
گرچه ز الفاظ خود به تقصیریم	در معانی تمام تدبیریم
پوست بی‌مغز دیده‌ایم چو خواب	مغز بی‌پوست داده‌ایم چو آب
با همه نادری و نو سخنی	برنتابیم روی از آن کهنی
حاصلی نیست زین در آمودن	جز به پیمانه باد پیمودن
چیست کانرا من جواهرسنج	بر نسنجیدم از جواهر و گنج
برگشادم بسی خزانه خاص	هم کلیدی نیافتم به خلاص
با همه نزلهای صبح نزول	هم به استغفر اللهم مشغول
ای نظامی مسیح تو دم تست	دانش تو درخت مریم تست
چون رطب ریز این درخت شدی	نیک بادت که نیک‌بخت شدی
