مغنی ره باستانی بزن	مغانه نوای مغانی بزن
من بینوا را به آن یک نوا	گرامی کن و گرمتر کن هوا
گزین فیلسوف جهان آزمای	سخن را چنین کرد برقع گشای
که قبطی زنی بود در ملک شام	زمیری پدر ماریه‌ش کرده نام
بسی قلعهٔ نامور داشته	ز بیداد بد خواه بگذاشته
بدو گشته بدخواه او چیره دست	به کارش درآورده گیتی شکست
چو کارش ز دشمن به جان آمده	به درگاه شاه جهان آمده
بدان تا بخواهد ز شه داد خویش	شود خرم از ملک آباد خویش
به دستور شه برد خود را پناه	بدان داوری گشت ازو دادخواه
چو دیدش که دستور دانش پژوه	دهد درس دانش به چندین گروه
از آن دادخواهی هراسان شده	بر او دانش‌آموزی آسان شده
دل از قصه داد و بیداد شست	به تعلیم دانش کمر بست چست
به خدمتگری پیش دانای دهر	پرستنده‌ای گشت گستاخ بهر
ز دیگر کنیزان پائین پرست	جز او کس نشد محرم آب دست
ز پرهیزگاری که بود استاد	نظر بست هر گه که او رخ گشاد
ز دستی چنان کاب از او می‌چکید	جز آبی که بر دستش آمد ندید
چو زن دید کاستاد پرهیزگار	ز کافور او گشت کافور خوار
ز میلی که باشد زنان را به مرد	هوای دلش گشت یکباره سرد
منش داد در دانش آموختن	به سامان شد از دانش اندوختن
ارسطوی دانا بدان دلنواز	در دانش خویش بگشاد باز
بسی در بران در ناسفته سفت	بسی گفتنیهای ناگفته گفت
از آن علم کاسان نیاید بدست	یکایک خبردادش از هر چه هست
زن دانش‌آموز دانش سرشت	چو لوحی ز هر دانشی در نبشت
سوی کشور خویشتن کرد رای	که رسم نیا را بیارد بجای
بدان داوری دستگاهی نداشت	به آیین خود برگ راهی نداشت
چو دستور دانا چنین دید کار	که بی گنج نتوان شدن شهریار
بران جوهر انداخت اکسیر زر	به اکسیر خود کردش اکسیر گر
بدان کیمیا ماریه میر گشت	لقب نامه علم اکسیر گشت
چو از دانش خویش دستور شاه	به گنجی چنان دادش آن دستگاه
به دستوری شه سوی کشورش	فرستاد با گنج و با لشگرش
شتابنده چون سوی کشور شتافت	به آهستگی مملکت بازیافت
چنان گشت مستغنی از ساو و باج	که برداشت از کشور خود خراج
به اکسیر کاری چنان شد تمام	که کردی زر پخته از سیم خام
ز بس زر که آن سیم تن ساز کرد	در گنج برخاکیان باز کرد
چه زر در ترازوی آن کس چه سنگ	که آرد زر بی ترازو به چنگ
ز لشگر گهش کس نیامد بدست	که بر بارگی نعلی از زر نبست
به درگاه او هر که سر داشتی	اگر خر بدی زین زر داشتی
ز بس زر که بر زیور انباشتند	سگان را به زنجیر زر داشتند
گروهی حکیمان دانش پرست	ز اسباب دنیا شده تنگدست
از آن گنج پنهان خبر یافتند	به دیدار گنجینه بشتافتند
نمودند خواهش بدان کان گنج	که درویشی آورد ما را به رنج
ندانیم چون دیگران پیشه‌ای	مگر در جهان کردن اندیشه‌ای
ز کسب جهان دامن افشانده‌ایم	به قوت یکی روز درمانده‌ایم
تواند که بانوی عاجز نواز	گشاید به ما بر در گنج باز
درآموزد از رای و تدبیر خویش	به ما چیزی از علم اکسیر خویش
جهان را چنین گنج گوهر بسیست	کلید در گنج با هر کسیست
مگر قوت را چاره سازی کنیم	ز خلق جهان بی نیازی کنیم
زن کار پیرای روشن ضمیر	بدان خواسته گشت خواهش پذیر
یکی منظری بود با آب و رنگ	مقرنس برآورده از خاره سنگ
عروسانه بر شد بران جلوه‌گاه	پرندی سیه بسته بر گرد ماه
برآموده چون نرگس و مشک و بید	به موی سیه مهره‌های سپید
صلیبی دو گیسوی مشگین کمند	در آن مهره آورده با پیچ و بند
به نظارگان گفت گیسوی من	ببینید در طاق ابروی من
نمودار اکسیر پنهانیم	ببینید در صبح پیشانیم
نیوشندگان را در آن داوری	غلط شد زبان زان زبان آوری
یکی گفت اشارت بدان مهره بود	که شفاف و تابنده چون زهره بود
یکی راز پوشیده از موی جست	که آن مهره با موی دید از نخست
گرفتند هر یک پی آن پیشه را	خلافی پدید آمد اندیشه را
از آن قصه هر یک دمی می‌شمرد	به فرهنگ دانا کسی پی نبرد
دگر روز خواهش برآراستند	در آن باب فصلی دگر خواستند
پری‌روی بر طاق منظر نشست	نشاند آن تنی چند را زیر دست
سخن راند از گنج درخواسته	چو سربسته گنجی برآراسته
حدیث سر کوه و مردم گیا	که سازند از او زیرکان کیمیا
همان سنگ اعظم که کان زرست	سخن بین که چون کیمیا پرورست
به پوشیدگی کرد رمزی پدید	در او آهنین قفل زرین کلید
به دانا رسید این سخن گنج یافت	به نادان رسید انده و رنج یافت
گر آن کیمیا را گهر در گیاست	گیای قلم گوهر کیمیاست
از آن کیمیا با همه چربدست	دریغی نه چندانکه خواهند هست
کسی را بود کیمیا در نورد	که او عشوهٔ کیمیاگر نخورد
شنیدم خراسانیی بود چست	به بغداد شد چون شدش کار سست
دمی چند بر کار کردای شگفت	خراسانی آمد دمش در گرفت
از آن دم که اهل خراسان کنند	به بغدادیان بازی آسان کنند
هزارش عدد بود مصری چو موم	زری که آنچنان زر نباشد به روم
به سوهان یکایک همه خرد سود	بر آمیختش با گل سرخ زود
وزان سرخ گل مهره‌ای چند ساخت	به آن مهره‌ها بین که چون مهره باخت
به عطاری آن مهره‌ها بر شمرد	به مهر خود آن مهره او را سپرد
که این مهره در حقه‌ای نه به راز	زهی مهره دزد و زهی مهره باز
به دیناری این بر تو بفروختم	وزو کیسه سود بردوختم
چو وقت آید این را که داری برنج	بده بازخرم زهی کان گنج
بپرسید عطار کاین را چه نام	بگفتا طبریک سخن شد تمام
ز دکان عطار چون بازگشت	به افسونگری کیمیا ساز گشت
به دارالخلافه خبر باز داد	که اکسیریی آمدست اوستاد
منم واصل کیمیا در نهفت	به گوهرشناسی کسم نیست جفت
عملهای من چون درآید به کار	یکی ده کند ده صد و صد هزار
درستی صدم داد باید نخست	که گردد هزار از من آن صد درست
همان استواران مردم شناس	به من برگمارند و دارند پاس
گرآید زمن دستکاری شگرف	نیارند با من در این کار حرف
وگر خواهم از راستی درگذشت	ز من خون و سر وز شما تیغ و طشت
خلیفه چو اکسیر سازی شنید	به عشوه زری داد و زرقی خرید
به افسون روباهی آن شیر مرد	زر پخته را بر می خام خورد
چو ده گانه‌ای ماند ازان زر بجای	دران دستکاری بیفشرد پای
یکی کوره‌ای ساخت چون زر گران	زهر داروئی کرد چیزی دران
فرستاد در شهر بالا و پست	طبریک طلب کرد و نامد بدست
هم آخر رقیبان آن کارگاه	به عطار پیشینه بردند راه
گل سرخ او را به دینار زرد	خریدند و بردند نزدیک مرد
خراسانی آن مهره‌ها کرد خرد	نمود آشکارا یکی دستبرد
به کوره درافکند و آتش دمید	بجا ماند زر وان دگرها رمید
سبیکه فرو ریخت درنای تنگ	برآمد زر سرخ یاقوت رنگ
به گوش خلیفه رسید این سخن	که نقد نو آمد ز کان کهن
زری دید با سود همره شده	دران کدخدائی یکی ده شده
به امید گنجی چنان گوهری	بسی کرد با او نوازش گری
از آن مغربی زر مصری عیار	فرستاد نزدیک او ده هزار
که این را به کار آورای نیک رای	که من حق آن با تو آرم بجای
کشند استواران ما از تو دست	که نزدیک ما استواریت هست
دران آزمایش چو چست آمدی	به میزان معنی درست آمدی
خراسانی آن گنج بستد به ناز	چو هندو کمر بست بر ترکتاز
گریزان ره خانه را پی گرفت	شبی چند با عاملان می گرفت
بخفت و به خفتن به خسباندشان	چو برخاست بر خاک بنشاندشان
ستوران تازی غلامان کار	به اندازه بخرید و بر بست بار
به راهی که دیده نشانش ندید	چنان شد که کس در جهانش ندید
خلیفه چو آگاه شد زین فریب	که برد آن خراسانی آن زر و زیب
حدیث طبریک به یاد آمدش	جز آن هر چه بشنید باد آمدش
خبر بازجست از طبریک فروش	بخندید کان طنزش آمد به گوش
طبریک چو تصحیف سازد دبیر	بیاموز معنی و معنیش گیر
هر افسون کز افسونگری بشنوی	نگر تا به افسون او نگروی
در این داوری هیچکس دم نزد	که در بازی کیمیا کم نزد
سکندر به یونان خبردار شد	که بر گنج زرماریه مار شد
به شه باز گفتند کان ماده شیر	به صید افکنی گشت خواهد دلیر
زنی کار دانست و سامان شناس	نداند کسی سیم او را قیاس
ز پوشیده گنجی خبر داشتست	به آن گنج گیتی بینباشتست
به افسونگری سنگ را زر کند	صدف ریزه را لؤلؤ تر کند
از آن بیشتر گنج زر ساختست	که قارون به خاک اندر انداختست
