زهی دارنده اورنگ شاهی	حوالت گاه تایید الهی
پناه سلطنت پشت خلافت	ز تیغت تا عدم موئی مسافت
فریدون دوم جمشید ثانی	غلط گفتم که حشواست این معانی
فریدون بود طفلی گاو پرورد	تو بالغ دولتی هم شیر و هم مرد
ستد جمشید را جان مار ضحاک	ترا جان بخشد اژدرهای افلاک
گر ایشان داشتندی تخت با تاج	تو تاج و تخت می‌بخشی به محتاج
کند هر پهلوی خسرونشانی	تو خود هم خسروی هم پهلوانی
سلیمان را نگین بود و ترا دین	سکندر داشت آیینه تو آیین
ندیدند آنچه تو دیدی ز ایام	سکندر ز اینه جمشید از جام
زهی ملک جوانی خرم از تو	اساس زندگانی محکم از تو
اگر صد تخت خود بر پشت پیلست	چوبی نقش تو باشد تخت نیلست
به تیغ آهنین عالم گرفتی	به زرین جام جای جم گرفتی
به آهن چون فراهم شد خزینه	از آهن وقف کن بر آبگینه
به دستوری حدیثی چند کوتاه	بخواهم گفت اگر فرمان دهد شاه
من از سحر سحر پیکان راهم	جرس جنبان هارورتان شاهم
نخستین مرغ بودم من درین باغ	گرم بلبل کنی کینت و گر زاغ
به عرض بندگی دیر آمدم دیر	و گر دیر آمدم شیر آمدم شیر
چه خوش گفت این سخن پیر جهانگرد	که دیر آی و درست آی ای جوانمرد
در این اندیشه بودم مدتی چند	که نزلی سازم از بهر خداوند
نبودم تحفه چیپال و فغفور	که پیش آرم زمین را بوسم از دور
بدین مشتی خیال فکرت انگیز	بساط بوسه را کردم شکر ریز
اگر چه مور قربان را نشاید	ملخ نزل سلیمان را نشاید
نبود آبی جز این در مغز میغم	و گر بودی نبودی جان دریغم
به ذره آفتابی را که گیرد	به گنجشکی عقابی را که گیرد
چه سود افسوس من کز کدخدائی	جز این موئی ندارم در کیائی
حدیث آنکه چون دل گاه و بیگاه	ملازم نیستم در حضرت شاه
نباشد بر ملک پوشیده رازم	که من جز با دعا باکس نسازم
نظامی اکدشی خلوت نشینست	که نیمی سرکه نیمی انگبینست
ز طبع‌تر گشاده چشمه نوش	بزهد خشک بسته بار بر دوش
دهان زهدم ار چه خشک خانیست	لسان رطبم آب زندگانیست
چو مشک از ناف عزلت بو گرفتم	به تنهائی چو عنقا خو گرفتم
گل بزم از چو من خاری نیاید	ز من غیر از دعا کاری نیاید
ندانم کرد خدمتهای شاهی	مگر لختی سجود صبحگاهی
رعونت در دماغ از دام ترسم	طمع در دل ز کار خام ترسم
طمع را خرقه بر خواهم کشیدن	رعونت را قبا خواهم دریدن
من و عشقی مجرد باشم آنگاه	بیاسایم چو مفرد باشم آنگاه
سر خود را به فتراکت سپارم	ز فتراکت چو دولت سر بر آرم
گرم دور افکنی در بوسم از دور	و گر بنوازیم نور علی نور
به یک خنده گرت باید چو مهتاب	شب افروزی کنم چون کرم شبتاب
چو دولت هر که را دادی به خود راه	نبشتی بر سرش یامیر یا شاه
چو چشم صبح در هر کس که دیدی	پلاس ظلمت ازوی در کشیدی
به هر کشور که چون خورشید راندی	زمین را بدره بدره زر فشاندی
زر افشانت همه ساله چنین باد	چو تیغت حصن جانت آهنین باد
جهان بیرون مباد از حکم و رایت	زمین خالی مباد از خاک پایت
سرت زیر کلاه خسروی باد	به خسرو زادگان پشتت قوی باد
به هر منزل که مشک افشان کنی راه	منور باش چون خورشید و چون ماه
به هر جانب که روی آری به تقدیر	رکابت باد چون دولت جهانگیر
جنابت بر همه آفاق منصور	سپاهت قاهر و اعدات مقهور
