سر دفتر آیت نکوئی	شاهنشه ملک خوبروئی
فهرست جمال هفت پرگار	از هفت خلیفه جامگی خوار
رشک رخ ماه آسمانی	رنج دل سرو بوستانی
منصوبه گشای بیم و امید	میراث ستان ماه و خورشید
محراب نماز بت‌پرستان	قندیل سرای و سرو بستان
هم خوابه عشق و هم سرناز	هم خازن و هم خزینه پرداز
پیرایه گر پرند پوشان	سرمایه ده شکر فروشان
دل‌بند هزار در مکنون	زنجیر بر هزار مجنون
لیلی که بخوبی آیتی بود	وانگشت کش ولایتی بود
سیراب گلشن پیاله در دست	از غنچه نوبری برون جست
سرو سهیش کشیده‌تر شد	میگون رطبش رسیده‌تر شد
می‌رست به باغ دل فروزی	می‌کرد به غمزه خلق سوزی
از جادوئی که در نظر داشت	صد ملک بنیم غمزه برداشت
می‌کرد بوقت غمزه سازی	برتازی و ترک ترکتازی
صیدی ز کمند او نمی‌رست	غمزش بگرفت و زلف می‌بست
از آهوی چشم نافه‌وارش	هم نافه هم آهوان شکارش
وز حلقه زلف وقت نخجیر	بر گردن شیر بست زنجیر
از چهره گل از لب انگبین کرد	کان دید طبرزد آفرین کرد
دلداده هزار نازنینش	در آرزوی گل انگبینش
زلفش ره بوسه خواه می‌رفت	مژگانش خدادهاد می‌گفت
زلفش به کمند پیش می‌خواند	مژگانش به دور باش می‌راند
برده بدو رخ ز ماه بیشی	گل را دو پیاده داده پیشی
قدش چو کشیده زاد سروی	رویش چو به سرو بر تذروی
لبهاش که خنده بر شکرزد	انگشت کشیده بر طبرزد
لعلش که حدیث بوس می‌کرد	بر تنگ شکر فسوس می‌کرد
چاه زنخش که سر گشاده	صد دل به غلط در او فتاده
زلفش رسنی فکنده در راه	تا هر که فتد برآرد از چاه
با اینهمه ناز و دلستانی	خون شد جگرش ز مهربانی
در پرده که راه بود بسته	می‌بود چو پرده بر شکسته
می‌رفت نهفته بر سر بام	نظاره‌کنان ز صبح تا شام
تا مجنون را چگونه بیند	با او نفسی کجا نشیند
او را به کدام دیده جوید	با او غم دل چگونه گوید
از بیم رقیب و ترس بدخواه	پوشیده بنیم شب زدی آه
چون شمع به زهر خنده می‌زیست	شیرین خندید و تلخ بگریست
گل را به سرشک می‌خراشید	وز چوب رفیق می‌تراشید
می‌سوخت به آتش جدائی	نه دود در او نه روشنائی
آیینه درد پیش می‌داشت	مونس ز خیال خویش می‌داشت
پیدا شغبی چو باد می‌کرد	پنهان جگری چو خاک می‌خورد
جز سایه نبود پرده‌دارش	جز پرده کسی نه غمگسارش
از بس که به سایه راز می‌گفت	همسایه او به شب نمی‌خفت
می‌ساخت میان آب و آتش	گفتی که پریست آن پریوش
خنیاگر زن صریر دوک است	تیر آلت جعبه ملوکست
او دوک دو سرفکنده از چنگ	برداشته تیر یکسر آهنگ
از یک سر تیر کارگر شد	سرگردان دوک از آن دو سر شد
دریا دریا گهر بر آهیخت	کشتی کشتی زدیده می‌ریخت
می‌خورد غمی به زیر پرده	غم خورده ورا و غم نخورده
در گوش نهاده به زیر پرده	چون حلقه نهاده گوش بر در
با حلقه گوش خویش می‌ساخت	وان حلقه به گوش کس نینداخت
در جستن نور چشمه ماه	چون چشمه بمانده چشم بر راه
تا خود که بدو پیامی آرد	زآرام دلش سلامی آرد
بادی که ز نجد بردمیدی	جز بوی وفا در او ندیدی
وابری که از آن طرف گشادی	جز آب لطف بدو ندادی
هرجا که ز کنج خانه می‌دید	بر خود غزلی روانه می‌دید
هر طفل که آمدی ز بازار	بیتی گفتی نشانده‌بر کار
هرکس که گذشت زیر بامش	می‌داد به بیتکی پیامش
لیلی که چنان ملاحتی داشت	در نظم سخن فصاحتی داشت
ناسفته دری و در همی سفت	چون خود همه بیت بکر می‌گفت
بیتی که ز حسب حال مجنون	خواندی به مثل چو در مکنون
آنرا دگری جواب گفتی	آتش بشنیدی آب گفتی
پنهان ورقی به خون سرشتی	وان بیتک را بر او نوشتی
بر راهگذر فکندی از بام	دادی ز سمن به سرو پیغام
آن رقعه کسی که بر گرفتی	برخواندی و رقص در گرفتی
بردی و بدان غریب دادی	کز وی سخن غریب زادی
او نیز بدیهه‌ای روانه	گفتی به نشان آن نشانه
زین گونه میان آن دو دلبند	می‌رفت پیام گونه‌ای چند
زاوازه آن دو بلبل مست	هر بلبله‌ای که بود بشکست
زان هردو بریشم خوش آواز	بر ساز بسی بریشم ساز
بر رورد رباب و ناله چنگ	یک رنگ نوای آن دو آهنگ
زایشان سخنی به نکته راندن	وز چنگ زدن ز نای خواندن
از نغمه آن دو هم ترانه	مطرب شده کودکان خانه
خصمان در طعنه باز کردند	در هر دو زبان دراز کردند
وایشان ز بد گزاف گویان	خود را به سرشک دیده شویان
بودند بر این طریق سالی	قانع به خیال و چون خیالی
چون پرده کشید گل به صحرا	شد خاک به روی گل مطرا
خندید شکوفه بر درختان	چون سکه روی نیکبختان
از لاله سرخ و از گل زرد	گیتی علم دو رنگ بر کرد
از برگ و نوا به باغ و بستان	با برگ و نوا هزار دستان
سیرابی سبزه‌های نوخیز	از لولو تر زمرد انگیز
لاله ز ورق فشانده شنگرف	کافتاده سیاهیش بر آن حرف
زلفین بنفشه از درازی	در پای فتاده وقت بازی
غنچه کمر استوار می‌کرد	پیکان کشیی ز خار می‌کرد
گل یافت ستبرق حریری	شد باد به گوشواره‌گیری
نیلوفر از آفتاب گلرنگ	بر آب سپر فکند بی جنگ
سنبل سر نافه باز کرده	گل دست بدو دراز کرده
شمشاد به جعد شانه کردن	گلنار به نار دانه کردن
نرگس ز دماغ آتشین تاب	چون تب زدگان بجسته از خواب
خورشید ز قطره‌های باده	خون از رگ ارغوان گشاده
زان چشمه سیم کز سمن رست	نسرین ورقی که داشت می‌شست
گل دیده ببوس باز می‌کرد	چون مثل ندید ناز می‌کرد
سوسن نه زبان که تیغ در بر	نی نی غلطم که تیغ بر سر
مرغان زبان گرفته چون زاغ	بگشاده زبان مرغ در باغ
دراج زدل کبابی انگیخت	قمری نمکی ز سینه می‌ریخت
هر فاخته بر سر چناری	در زمزمه حدیث یاری
بلبل ز درخت سرکشیده	مجنون صفت آه برکشیدی
گل چون رخ لیلی از عماری	بیرون زده سر به تاجداری
در فصل گلی چنین همایون	لیلی ز وثاق رفت بیرون
بند سر زلف تاب داده	گلراز بنفشه آب داده
از نوش لبان آن قبیله	گردش چو گهر یکی طویله
ترکان عرب نشینشان نام	خوش باشد ترک‌تازی اندام
در حلقه آن بتان چون حور	می‌رفت چنانکه چشم به دور
تا سبزه باغ را به بیند	در سایه سرخ گل نشیند
با نرگس تازه جام گیرد	با لاله نبید خام گیرد
از زلف دهد بنفشه را تاب	وز چهره گل شکفته را آب
آموزد سرو را سواری	شوید ز سمن سپید کاری
از نافه غنچه باج خواهد	وز ملک چمن خراج خواهد
بر سبزه ز سایه نخل بندد	بر صورت سرو و گل بخندد
نه‌نه غرضش نه این سخن بود	نه سرو و گل و نه نسترن بود
بودس غرض آنکه در پناهی	چون سوختگان برآرد آهی
با بلبل مست راز گوید	غمهای گذشته باز گوید
یابد ز نسیم گلستانی	از یار غریب خود نشانی
باشد که دلش گشاده گردد	باری ز دلش فتاده گردد
نخلستانی بدان زمین بود	کارایش نقشبند چین بود
از حله به حله نخل گاهش	در باغ ارم گشاده راهش
نزهت گاهی چنان گزیده	در بادیه چشم کس ندیده
لیلی و دگر عروس نامان	رفتند بدان چمن خرامان
چون گل به میان سبزه بنشست	بر سبزه ز سایه گل همی‌بست
هرجا که نسیم او درآمد	سوسن بشکفت و گل برآمد
بر هر چمنی که دست می‌شست	شمشاد دمید و سرو می‌رست
با سرو بنان لاله رخسار	آمد به نشاط و خنده در کار
تا یک چندی نشاط می‌ساخت	آخر ز نشاطگه برون تاخت
تنها بنشست زیر سروی	چون بر پر طوطیی تذروی
بر سبزه نشسته خرمن گل	نالید چو در بهار بلبل
نالید و بناله در نهانی	می‌گفت ز روی مهربانی
کای یار موافق وفادار	وی چون من وهم به من سزاوار
ای سرو جوانه جوانمرد	وی با دل گرم و با دم سرد
آی از در آنکه در چنین باغ	آیی و زدائی از دلم داغ
با من به مراد دل نشینی	من نارون و تو سرو بینی
گیرم ز منت فراغ من نیست	پروای سرای و باغ من نیست
آخر به زبان نیکنامی	کم زآنکه فرستیم پیامی؟
ناکرده سخن هنوز پرواز	کز رهگذری برآمد آواز
شخصی غزلی چو در مکنون	می‌خواند ز گفتهای مجنون
کی پرده در صلاح کارم	امید تو باد پرده دارم
مجنون به میان موج خونست	لیلی به حساب کار چونست
مجنون جگری همی‌خراشد	ثلیلی نمک از که می‌تراشد
مجنون به خدنگ خار سفته است	لیلی به کدام ناز خفته است
مجنون به هزار نوحه نالد	لیلی چه نشاط می‌سکالد
مجنون همه درد و داغ دارد	لیلی چه بهار و باغ دارد
مجنون کمر نیاز بندد	لیلی به رخ که باز خندد
مجنون ز فراق دل رمیداست	لیلی به چه راحت آرمید است
لیلی چو سماع این غزل کرد	بگریست وز گریه سنگ حل کرد
زانسرو بنان بوستانی	می‌دید در او یکی نهانی
کز دوری دوست بر چه سانست	بر دوست چگونه مهربانست
چون باز شدند سوی خانه	شد در صدف آن در یگانه
داننده راز راز ننهفت	با مادرش آنچه دید بر گفت
تا مادر مشفقش نوازد	در چاره گریش چاره سازد
مادر ز پی عروس ناکام	سرگشته شده چو مرغ در دام
می‌گفت گرش گذارم از دست	آن شیفته گشت و این شود مست
ور صابریی بدو نمایم	بر ناید ازو وزو برآیم
بر حسرت او دریغ می‌خورد	می‌خورد دریغ و صبر می‌کرد
لیلی که چو گنج شد حصاری	می‌بود چو ماه در عماری
می‌زد نفسی گرفته چون میغ	می‌خورد غمی نهفته چون تیغ
دلتنگ چنانکه بود می‌زیست	بی‌تنگ دلی به عشق در کیست
