شبگیر که چرخ لاجوردی	آراست کبودیی به زردی
خندیدن قرص آن گل زرد	آفاق به رنگ سرخ گل کرد
مجنون چو گل خزان رسیده	می‌گشت میان آب دیده
زان آب که بر وی آتش افشاند	کشتی چو صبا به خشک می‌راند
از گرمی آفتاب سوزان	تفسید به وقت نیم روزان
چون سایه نداشت هیچ رختی	بنشست به سایه درختی
در سایه آن درخت عالی	گرد آمده آبی از حوالی
حوضی شده چون فلک مدور	پاکیزه و خوش چو حوض کوثر
پیرامن آب سبزه رسته	هم سبزه هم آب روی شسته
آن تشنه ز گرمی جگر تاب	زان آب چو سبزه گشت سیراب
آسود زمانی از دویدن	وز گفتن و هیچ ناشنیدن
زان مفرش همچو سبز دیبا	می‌دید در آن درخت زیبا
بر شاخ نشسته دید زاغی	چشمی و چه چشم چون چراغی
چون زلف بتان سیاه و دلبند	با دل چو جگر گرفته پیوند
صالح مرغی چو ناقه خاموش	چون صالحیان شده سیه‌پوش
بر شاخ نشسته چست و بینا	همچون شبه در میان مینا
مجنون چو مسافری چنان دید	با او دل خویش هم عنان دید
گفت ای سیه سپید نامه	از دست که‌ای سیاه جامه
شبرنگ چرائی ای شب افروز	روزت ز چه شد سیه بدین روز
بر آتش غم منم تو جوشی؟	من سوگ زده سیه تو پوشی؟
گر سوخته دل نه خام رائی	چون سوختگان سیه چراغی
ور سوخته‌وار گرم خیزی	از سوختگان چرا گریزی
شاید که خطیب خطبه خوانی	پوشیده سیه لباس از آنی
زنگی بچه کدام سازی	هندوی کدام ترک تازی
من شاه مگر تو چتر شاهی؟	گر چتر نه‌ای چرا سیاهی
روزی که رسی به نزد یارم	گو بی تو ز دست رفت کارم
دریاب که گر تو در نیابی	ناچیز شوم در این خرابی
گفتی که مترس دستگیرم	ترسم که در این هوس بمیرم
روزی آیی که مرده باشم	مهر تو به خاک برده باشم
بینائی دیده چون بریزد	از دادن توتیا چه خیزد
چون گرگ بره ز میش بربود	فریاد شبان کجا کند سود
چون سیل خراب کرد بنیاد	دیوار چه کاهگل چه پولاد
چون کشته خشک ماند بی‌بر	خواه ابر به بار و خواه بگذر
این تیر زبان گشاده گستاخ	وان زاغ پریده شاخ بر شاخ
او پر سخن دراز کرده	پرنده رحیل ساز کرده
چون گفت بسی فسانه با زاغ	شد زاغ و نهاد بر دلش داغ
شب چون پر زاغ بر سرآورد	شبپره ز خواب سر برآورد
گفتی که ستارگان چراغند	یا در پر زاغ چشم زاغند
مجنون چو شب چراغ مرده	افتاده و دیده زاغ برده
می‌ریخت سرشک دیده تا روز	ماننده شمع خویشتن سوز
