شرطست که وقت برگ‌ریزان	خونابه شود ز برگ‌ریزان
خونی که بود درون هر شاخ	بیرون چکد از مسام سوراخ
قاروره آب سرد گردد	رخساره باغ زرد گردد
شاخ آبله هلاک یابد	زر جوید برگ و خاک یابد
نرگس به جمازه بر نهد رخت	شمشاد در افتد از سر تخت
سیمای سمن شکست گیرد	گل نامه غم به دست گیرد
بر فرق چمن کلاله خاک	پیچیده شود چو مار ضحاک
چون باد مخالف آید از دور	افتادن برگ هست معذور
کانان که ز غرقگه گریزند	ز اندیشه باد رخت ریزند
نازک جگران باغ رنجور	شیرین نمکان تاک مخمور
انداخته هندوی کدیور	زنگی بچگان تاک را سر
سرهای تهی ز طره کاخ	آویخته هم به طره شاخ
سیب از زنخی بدان نگونی	بر نار زنخ زنان که چونی
نار از جگر کفیده خویش	خونابه چکانده بر دل ریش
بر پسته که شد دهن دریده	عناب ز دور لب گزیده
در معرکه چنین خزانی	شد زخم رسیده گلستانی
لیلی ز سریر سر بلندی	افتاد به چاه دردمندی
شد چشم زده بهار باغش	زد باد تپانچه بر چراغش
آن سر که عصابهای زر بست	خود را به عصا به دگر بست
گشت آن تن نازک قصب پوش	چون تار قصب ضعیف و بی‌توش
شد بدر مهیش چون هلالی	وان سرو سهیش چون خیالی
سودای دلش به سر درآمد	سرسام سرش به دل برآمد
گرمای تموز ژاله را برد	باد آمد و برگ لاله را برد
تب لرزه شکست پیکرش را	تبخاله گزید شکرش را
بالین طلبید زاد سروش	وز سرو فتاده شد تذروش
افتاد چنانکه دانه از کشت	سر بند قصب به رخ فرو هشت
بر مادر خویش راز بگشاد	یکباره در نیاز بگشاد
کای مادر مهربان چه تدبیر	کاهو بره زهر خورد با شیر
در کوچگه اوفتاد رختم	چون سست شدم مگیر سختم
خون می‌خورم این چه مهربانیست	جان می‌کنم این چه زندگانیست
چندان جگر نهفته خوردم	کز دل به دهن رسید دردم
چون جان ز لبم نفس گشاید	گر راز گشاده گشت شاید
چون پرده ز راز بر گرفتم	بدرود که راه در گرفتم
در گردنم آر دست یکبار	خون من و گردن تو زنهار
کان لحظه که جان سپرده باشم	وز دوری دوست مرده باشم
سرمم ز غبار دوست درکش	نیلم ز نیاز دوست برکش
فرقم ز گلاب اشک تر کن	عطرم ز شمامه جگر کن
بر بند حنوطم از گل زرد	کافور فشانم از دم سرد
خون کن کفنم که من شهیدم	تا باشد رنگ روز عیدم
آراسته کن عروس‌وارم	بسپار به خاک پرده دارم
آواره من چو گردد آگاه	کاواره شدم من از وطن گاه
دانم که ز راه سوگواری	آید به سلام این عماری
چون بر سر خاک من نشیند	مه جوید لیک خاک بیند
بر خاک من آن غریب خاکی	نالد به دریغ و دردناکی
یاراست و عجب عزیز یاراست	از من به بر تو یادگار است
از بهر خدا نکوش داری	در وی نکنی نظر به خواری
آن دل که نیابیش بجوئی	وان قصه که دانیش بگوئی
من داشته‌ام عزیزوارش	تو نیز چو من عزیز دارش
گو لیلی ازین سرای دلگیر	آن لحظه که می‌برید زنجیر
در مهر تو تن به خاک می‌داد	بر یاد تو جان پاک می‌داد
در عاشقی تو صادقی کرد	جان در سر کار عاشقی کرد
احوال چه پرسیم که چون رفت	با عشق تو از جهان برون رفت
تا داشت در این جهان شماری	جز با غم تو نداشت کاری
وان لحظه که در غم تو می‌مرد	غمهای تو راه توشه می‌برد
وامروز که در نقاب خاکست	هم در هوس تو دردناکست
چون منتظران درین گذرگاه	هست از قبل تو چشم بر راه
می‌پاید تا تو در پی آیی	سرباز پس است تا کی آیی
یک ره برهان از انتظارش	در خز به خزینه کنارش
این گفت و به گریه دیده‌تر کرد	وآهنگ ولایت دگر کرد
چون راز نهفته بر زبان داد	جانان طلبید و زود جان داد
مادر که عروس را چنان دید	آیا که قیامت آن زمان دید
معجز ز سر سپید بگشاد	موی چو سمن به باد برداد
در حسرت روی و موی فرزند	برمیزد و موی و روی می‌کند
هر مویه که بود خواندش از بر	هر موی که داشت کندش از سر
پیرانه گریست بر جوانیش	خون ریخت بر آب زندگانیش
گه ریخت سرشک بر سرینش	گه روی نهاد بر جبینش
چندان ز سرشگهاش خون رست	کان چشمه آب را به خون شست
چندان ز غمش به مهر نالید	کز ناله او سپهر نالید
آن نوحه که خون شود بدو سنگ	می‌کرد بران عقیق گلرنگ
مه را ز ستاره طوق بربست	صندوق جگر هم از جگر بست
آراستش آنچنان که فرمود	گل را به گلاب و عنبرآلود
بسپرد به خاک و نامدش باک	کاسایش خاک هست در خاک
خاتون حصار شد حصاری	آسود غم از خزینه‌داری
طغرا کش این مثال مشهور	بر شقه چنان نبشت منشور
کز حادثه وفات آن ماه	چون قیس شکسته دل شد آگاه
گریان شد و تلخ تلخ بگریست	بی گریه تلخ در جهان کیست
آمد سوی آن حظیره جوشان	چون ابر شد از درون خروشان
بر مشهد او که موج خون بود	آن سوخته دل مپرس چون بود
از دیده چو خون سرشک ریزان	مردم ز نفیر او گریزان
در شوشه تربتش به صد رنج	پیچید چنانکه مار بر گنج
از بس که سرشک لاله‌گون ریخت	لاله ز گیاه گورش انگیخت
خوناب جگر چو شمع پالود	بگشاد زبان آتش آلود
وانگاه به دخمه سر فرو کرد	می‌گفت و همی گریست از درد
کای تازه گل خزان رسیده	رفته ز جهان جهان ندیده
چونی ز گزند خاک چونی	در ظلمت این مغاک چونی
آن خال چو مشک دانه چونست	وان چشمک آهوانه چونست
چونست عقیق آبدارت	وآن غالیه‌های تابدارت
نقشت به چه رنگ می‌طرازند	شمعت به چه طشت می‌گدازند
بر چشم که جلوه می‌نمائی	در مغز که نافه می‌گشائی
سروت به کدام جویبار است	بزمت به کدام لاله زاراست
چونی ز گزندهای این خار	چون می‌گذرانی اندر این غار
در غار همیشه جای ماراست	ای ماه ترا چه جای غاراست
بر غار تو غم خورم که یاری	چون غم نخورم که یار غاری
هم گنج شدی که در زمینی	گر گنج نه‌ای چرا چنینی
هر گنج که درون غاریست	بر دامن او نشسته ماریست
من مار کز آشیان برنجم	بر خاک تو پاسبان گنجم
شوریده بدی چو ریگ در راه	آسوده شدی چو آب در چاه
چون ماه غریبیت نصیب است	از مه نه غریب اگر غریب است
در صورت اگر ز من نهانی	از راه صفت درون جانی
گر دور شدی ز چشم رنجور	یک چشم زد از دلم نه‌ای دور
گر نقش تو از میانه برخاست	اندوه تو جاودانه برجاست
این گفت و نهاد دست بر دست	چرخی زد و دستبند بشکست
برداشت ره ولایت خویش	مشتی ددگانش از پس و پیش
در رقص رحیل ناقه می‌راند	بر حسب فراق بیت می‌خواند
در گفتن حالت فراقی	حرفی ز وفا نماند باقی
می‌داد به گریه ریگ را رنگ	می‌زد سری از دریغ بر سنگ
بر رهگذری نماند خاری	کز ناله نزد بر او شراری
در هیچ رهی نماند سنگی	کز خون خودش نداد رنگی
چون سخت شدی ز گریه کارش	برخاستی آرزوی یارش
از کوه درآمدی چو سیلی	رفتی سوی روضه گاه لیلی
سر بر سر خاک او نهادی	برخاک هزار بوسه دادی
با تربت آن بت وفا دار	گفتی غم دل به زاری زار
او بر سر شغل و محنت خویش	وان دام و دد ایستاده در پیش
او زمزم گشته ز آب دیده	وایشان حرمی در او کشیده
چشم از ره او جدا نکردند	کس را بر او رها نکردند
از بیم ددان بدان گذرگاه	بر جمله خلق بسته شد راه
تا او نشدی ز مرغ تا مور	کس پی ننهاد گرد آن گور
زینسان ورقی سیاه می‌کرد	عمری به هوس تباه می‌کرد
روزی دو سه با سگان آن ده	می‌زیست چنانکه مرگ از او به
گه قبله ز گور یار می‌ساخت	گاه از پس گور دشت می‌تاخت
در دیده مور بود جایش	وز گور به گور بود پایش
وآخر چو به کار خویش درماند	او نیز رحیل نامه برخواند
