سر خیل سپاه تاجداران	سر جمله جمله شهریاران
خاقان جهان ملک معظم	مطلق ملک الملوک عالم
دارنده تخت پادشاهی	دارای سپیدی و سیاهی
صاحب جهت جلال و تمکین	یعنی که جلال دولت و دین
تاج ملکان ابوالمظفر	زیبنده ملک هفت کشور
شروانشه آفتاب سایه	کیخسرو کیقباد پایه
شاه سخن اختسان که نامش	مهریست که مهر شد غلامش
سلطان به ترک چتر گفته	پیدا نه خلیفه نهفته
بهرام نژاد و مشتری چهر	در صدف ملک منوچهر
زین طایفه تا به دور اول	شاهیش به نسل دل مسلسل
نطفه‌اش که رسیده گاه بر گاه	تا آدم هست شاه بر شاه
در ملک جهان که باد تا دیر	کوته قلم و دراز شمشیر
اورنگ نشین ملک بی‌نقل	فرمانده بی‌نقیصه چون عقل
گردنکش هفت چرخ گردان	محراب دعای هفت مردان
رزاق نه کاسمان ارزاق	سردار و سریر دار آفاق
فیاضه چشمه معانی	دانای رموز آسمانی
اسرار دوازده علومش	نرمست چنانکه مهر مومش
این هفت قواره شش انگشت	یک دیده چهار دست و نه پشت
تا بر نکشد ز چنبرش سر	مانده است چو حلقه سر به چنبر
دریای خوشاب نام دارد	زو آب حیات وام دارد
کان از کف او خراب گشته	بحر از کرمش سرای گشته
زین سو ظفرش جهان ستاند	زان سو کرمش جهان فشاند
گیرد به بلا رک روانه	بخشد به جناح تازیانه
کوثر چکد از مشام بختش	دوزخ جهد از دماغ لختش
خورشید ممالک جهانست	شایسته بزم و رزم از آنست
مریخ به تیغ و زهره با جام	بر راست و چپش گرفته آرام
زهره دهدش به جام یاری	مریخ کند سلیح داری
از تیغش کوه لعل خیزد	وز جام چو کوه لعل ریزد
چون بنگری آن دو لعل خونخوار	خونی و مییست لعل کردار
لطفش بگه صبوح ساقی	لطفیست چنانکه باد باقی
زخمش که عدو به دوست مقهور	زخمیست که چشم زخم ازو دور
در لطف چو باد صبح تازد	هرجا که رسد جگر نوازد
در زخم چو صاعقه است قتال	بر هر که فتاد سوخت در حال
لطف از دم صبح جان فشان‌تر	زخم از شب هجر جانستان‌تر
چون سنجق شاهیش بجنبد	پولادین صخره را بسنبد
چون طره پرچمش بلرزد	غوغای زمین جوی نیرزد
در گردش روزگار دیر است	کاتش زبر است و آب زیر است
تا او شده شهسوار ابرش	بگذشت محیط آب از آتش
قیصر به درش جنیبه داری	فغفور گدای کیست باری
خورشید بدان گشاده‌روئی	یک عطسه بزم اوست گوئی
وان بدر که نام او منیر است	در غاشیه داریش حقیر است
گویند که بود تیر آرش	چون نیزه عادیان سنان کش
با تیر و کمان آن جهانگیر	در مجری ناوک افتد آن تیر
گویند که داشت شخص پرویز	شکلی و شمایلی دلاویز
با گرد رکابش ار ستیزد	پرویز به قایمی بریزد
بر هر که رسید تیغ تیزش	بربست اجل ره گریزش
بر هر زرهی که نیزه رانده	یک حلقه در آن زره نمانده
زوبینش به زخم نیم خورده	شخص دو جهان دو نیم کرده
در مهر چو آفتاب ظاهر	در کینه چو روزگارقاهر
چون صبح به مهر بی‌نظیر است	چون مهر به کینه شیر گیر است
بربست به نام خود به شش حرف	گرد کمر زمانه شش طرف
از شش زدن حروف نامش	بر نرد شده ندب تمامش
گر دشمن او چو پشه جو شد	با صرصر قهر او نکو شد
چون موکب آفتاب خیزد	سایه به طلایه خود گریزد
آنجا که سمند او زند سم	شیر از نمط زمین شود گم
تیرش چو برات مرگ راند	کس نامه زندگی نخواند
چون خنجر جزع گون برآرد	لعل از دل سنگ خون برآرد
چون تیغ دو رویه بر گشاید	ده ده سر دشمنان رباید
بر دشمن اگر فراسیابست	تنها زدنش چو آفتابست
لشگر گره کمر نبسته	کو باشد خصم را شکسته
چون لشگر او بدو رسیده	از لشگر خصم کس ندیده
صد رستمش ارچه در رکابست	لشکر شکنیش ازین حسابست
چون بزم نهد به شهر یاری	پیدا شود ابر نو بهاری
چندان که وجوه ساز بیند	بخشد نه چنانکه باز بیند
چندان که به روزی او کند خرج	دوران نکند به سالها درج
بخشیدن گوهرش به کیل است	تحریر غلام خیل خیل است
زان جام که جم به خود نبخشید	روزی نبود که صد نبخشید
سفتی جسد جهان ندارد	کز خلعت او نشان ندارد
یا جودش مشک قیر باشد	چینی نه که چین حقیر باشد
گیرد به جریده حصاری	بخشید به قصیده دیاری
آن فیض که ریزد او به یک جوش	دریاش نیاورد در آغوش
زر با دل او که بس فراخست	گوئی نه زر است سنگلاخست
گر هر شه را خزینه خیزد	شاه اوست گر او خزینه ریزد
با پشه‌ای آن چنان کند جود	کافزون کندش ز پیل محمود
در سایه تخت پیل سایش	پیلان نکشند پیل پایش
دریای فرات شد ولیکن	دریای روان فرات ساکن
آن روز که روز بار باشد	نوروز بزرگوار باشد
نادیه بگویم از جد و بخت	کو چون بود از شکوه بر تخت
چون بدر که سر برآرد از کوه	صف بسته ستاره گردش انبوه
یا چشمه آفتاب روشن	کاید به نظاره گاه گلشن
یا پرتو رحمت الهی	کاید به نزول صبحگاهی
هر چشم که بیند آنچنان نور	چشم بد خلق ازو شود دور
یارب تو مرا کاویس نامم	در عشق محمدی تمامم
زان شه که محمدی جمالست	روزیم کن آنچه در خیالست
