ای چارده ساله قرة‌العین	بالغ نظر علوم کونین
آن روز که هفت ساله بودی	چون گل به چمن حواله بودی
و اکنون که به چارده رسیدی	چون سرو بر اوج سرکشیدی
غافل منشین نه وقت بازیست	وقت هنر است و سرفرازیست
دانش طلب و بزرگی آموز	تا به نگرند روزت از روز
نام و نسبت به خردسالی است	نسل از شجر بزرگ خالی است
جایی که بزرگ بایدت بود	فرزندی من ندارت سود
چون شیر به خود سپه‌شکن باش	فرزند خصال خویشتن باش
دولت‌طلبی سبب نگه‌دار	با خلق خدا ادب نگه‌دار
آنجا که فسانه‌ای سکالی	از ترس خدا مباش خالی
وان شغل طلب ز روی حالت	کز کرده نباشدت خجالت
گر دل دهی ای پسر بدین پند	از پند پدر شوی برومند
گرچه سر سروریت بینم	و آیین سخنوریت بینم
در شعر مپیچ و در فن او	چون اکذب اوست احسن او
زین فن مطلب بلند نامی	کان ختم شده‌ست بر نظامی
نظم ار چه به مرتبت بلند است	آن علم طلب که سودمند است
در جدول این خط قیاسی	می‌کوش به خویشتن‌شناسی
تشریح نهاد خود درآموز	کاین معرفتی است خاطر افروز
پیغمبر گفت علم علمان	علم الادیان و علم الابدان
در ناف دو علم بوی طیب است	وان هر دو فقیه یا طبیب است
می‌باش طبیب عیسوی هش	اما نه طبیب آدمی کش
می‌باش فقیه طاعت اندوز	اما نه فقیه حیلت آموز
گر هر دو شوی بلند گردی	پیش همه ارجمند گردی
صاحب طرفین عهد باشی	صاحب طرف دو مهد باشی
می‌کوش به هر ورق که خوانی	کان دانش را تمام دانی
پالان گریی به غایت خود	بهتر ز کلاه‌دوزی بد
گفتن ز من از تو کار بستن	بی کار نمی‌توان نشستن
با این که سخن به لطف آب است	کم گفتن هر سخن صواب است
آب ار چه همه زلال خیزد	از خوردن پر ملال خیزد
کم گوی و گزیده گوی چون در	تا ز اندک تو جهان شود پر
لاف از سخن چو در توان زد	آن خشت بود که پر توان زد
مرواریدی کز اصل پاکست	آرایش بخش آب و خاکست
تا هست درست گنج و کانهاست	چون خرد شود دوای جانهاست
یک دسته گل دماغ پرور	از خرمن صد گیاه بهتر
گر باشد صد ستاره در پیش	تعظیم یک آفتاب ازو بیش
گرچه همه کوکبی به تاب است	افروختگی در آفتاب است
