منکه سراینده این نوگلم	باغ ترا نغمه‌سرا بلبلم
در ره عشقت نفسی میزنم	بر سر کویت جرسی میزنم
عاریت کس نپذیرفته‌ام	آنچه دلم گفت بگو گفته‌ام
شعبده تازه برانگیختم	هیکلی از قالب نو ریختم
صبح روی چند ادب آموخته	پرده ز سحر سحری دوخته
مایه درویشی و شاهی درو	مخزن اسرار الهی درو
بر شکر او ننشسته مگس	نی مگس او شکر آلود کس
نوح درین بحر سپر بفکند	خضر درین چشمه سبو بشکند
بر همه شاهان ز پی این جمال	قرعه زدم نام تو آمد به فال
نامه دو آمد ز دو ناموسگاه	هر دو مسجل به دو بهرامشاه
آن زری از کان کهن ریخته	وین دری از بحر نو انگیخته
آن بدر آورده ز غزنی علم	وین زده بر سکه رومی رقم
گرچه در آن سکه سخن چون زرست	سکه زر من از آن بهترست
گر کم ازان شد بنه و بار من	بهتر از آنست خریدار من
شیوه غریبست مشو نامجیب	گر بنوازش نباشد غریب
کاین سخن رسته پر از نقش باغ	عاریت افروز نشد چون چراغ
اوست در این ده زده آبادتر	تازه‌تر از چرخ و کهن زادتر
رنگ ندارد ز نشانی که هست	راست نیاید به زبانی که هست
خوان ترا این دو نواله سخن	دست نکردست برو دستکن
گر نمکش هست بخور نوش باد	ورنه ز یاد تو فراموش باد
با فلک آنشب که نشینی بخوان	پیش من افکن قدری استخوان
کاخر لاف سگیت می‌زنم	دبدبه بندگیت می‌زنم
از ملکانی که وفا دیده‌ام	بستن خود بر تو پسندیده‌ام
خدمتم آخر به وفائی کشد	هم سر این رشته به جائی کشد
گرچه بدین درگه پایندگان	روی نهادند ستایندگان
پیش نظامی به حساب ایستند	او دگرست این دگران کیستند
من که درین منزلشان مانده‌ام	مرحله پیش ترک رانده‌ام
تیغ ز الماس زبان ساختم	هر که پس آمد سرش انداختم
تیغ نظامی که سر انداز شد	کند نشد گرچه کهن ساز شد
گرچه خود این پایه بیهمسریست	پای مرا هم سر بالاتریست
اوج بلندست در او می‌پرم	باشد کز همت خود برخورم
تا مگر از روشنی رای تو	سر نهم آنجا که بود پای تو
گرد تو گیرم که به گردون رسم	تا نرسانی تو مرا چون رسم
بود بسیجم که در این یک دو ماه	تازه کنم عهد زمین بوس شاه
گرچه درین حلقه که پیوسته‌اند	راه برون آمدنم بسته‌اند
پیش تو از بهر فزون آمدن	خواستم از پوست برون آمدن
باز چو دیدم همه ره شیر بود	پیش و پسم دشنه و شمشیر بود
لیک درین خطه شمشیر بند	بر تو کنم خطبه به بانگ بلند
آب سخن بر درت افشانده‌ام	ریگ منم این که به جا مانده‌ام
ذره صفت پیش تو ای آفتاب	باد دعای سحرم مستجاب
گشته دلم بحر گهر ریز تو	گوهر جانم کمر آویز تو
تا شب و روزست شبت روز باد	گوهر شاهیت شب افروز باد
این سریت باد به نیک اختری	بهتر باد آن سریت زین سری
