مسجدیئی بسته آفات شد	معتکف کوی خرابات شد
می به دهن برد و چو می می‌گریست	کای من بیچاره مرا چاره چیست
مرغ هوا در دلم آرام گرد	دانه تسبیح مرا دام کرد
کعبه مرا رهزن اوقات بود	خانه اصلیم خرابات بود
طالع بد بود و بد اختر شدم	نامزد کوی قلندر شدم
چشم ادب زیر نقاب از منست	کوی خرابات خراب از منست
تنگ جهان بر من مهجور باد	گرد من ازدامن من دور باد
گر نه قضا بود من و لات کی	مسجدی و کوی خرابات کی
همت از آنجا که نظر کرده بود	گفت جوابی که در آن پرده بود
کاین روش از راه قضا دور دار	چون تو قضا را بجوی صد هزار
بر در عذر آی و گنه را بشوی	آنگه ازین شیوه حدیثی بگوی
چون تو روی عذر پذیرت برند	ورنه خود آیند و اسیرت برند
سبزه چریدن ز سر خاک بس	نیشکر سبز تو افلاک بس
تا نبرد خوابت ازو گوشه کن	اندکی از بهر عدم توشه کن
خوش نبود دیده به خوناب در	زنده و مرده به یکی خواب در
دین که ترا دید چنین مست خواب	چهره نهان کرد به زیر نقاب
خیز نظامی که ملک بر نشست	همسر اینجا چه شوی پای بست
