ای بنسیمی علم افراخته	پیش غباری علم انداخته
ده نه و دروازه دهقان زده	ملک نه و تخت سلیمان زده
تیغ نه‌ای زخم بی اندازه چیست	کوس نه‌ای اینهمه آوازه چیست
چون دهن تیغ درم ریز باش	چون شکم کوس تهی خیز باش
میکشدت دیو نه افکنده	دست مده مرده نه زنده
پیش مغی پشت صلیبی مکن	دعوی شمشیر خطیبی مکن
خطبه دولت به فصیحی رسد	عطسه آدم به مسیحی رسد
هرکه چو پروانه دمی خوش زند	یک تنه بر لشگر آتش زند
یکدو نفس خوش زن و جانی بگیر	خرقه درانداز و جهانی بگیر
بخشش تو چرب ربائی که هست	نیست فدائی به جدائی که هست
شیر شو از گربه مطبخ مترس	طلق شو از آتش دوزخ مترس
گر دغلی باش بر آتش حلال	ور زر و یاقوتی از آتش منال
چند غرور ای دغل خاکدان	چند منی ای دو سه من استخوان
پیشتر از ما دگران بوده‌اند	کز طلب جاه نیاسوده‌اند
حاصل آن جاه ببین تا چه بود	سود بد اما بزیان شد چه سود
گر تو زمین ریزه چو خورشید و ماه	پای نهی بر فلک از قدر و جاه
گرچه ازان دایره دیر اوفتی	چونکه زمینی نه به زیر اوفتی ؟
تا سر خود را نبری طره‌وار	پای درین طره منه زینهار
مرغ نه‌ای بر نتوانی پرید	تا نکنی جان نتوانی رسد
با فلک از راه شگرفی درای	تات شگرفانه درافتد به پای
باده تو خوردی گنه زهر چیست	جرم تو کردی خلل دهر چیست
دهر نکوهی مکن ای نیک‌مرد	دهر بجای من و تو بد نکرد
جهد بسی کرد و شگرفی بسی	تا کند از ما به تکلیف کسی
چون من و تو هیچ کسان دهیم	بیهده بر دهر چه تاوان نهیم
تا نبود جوهر لعل آبدار	مهر قبولش ننهد شهریار
سنگ بسی در طرف عالمست	آنچه ازو لعل شود آن کمست
خار و سمن هردو بنسبت گیاست	این خسک دیده و آن توتیاست
گرچه نیابد مدد از آب جوی	از گل اصلی نرود رنگ و بوی
آب گرفتم لطف افزون کند	خار و خسک را به سمن چون کند
گرنه بدین قاعده بودی قرار	قلب شدی قاعده روزگار
کار به دولت نه به تدبیر ماست	تا به جهان دولت روزی کراست
مرد ز بیدولتی افتد به خاک	دولتیان را به جهان در چه باک
زنده بود طالع دولت پرست	بنده دولت شو هرجا که هست
ملک به دولت نه مجازی دهند	دولت کس را نه به بازی دهند
گرد سر دولتیان چرخ ساز	تا شوی از چرخ زدن بی‌نیاز
با دو سه کم زن مشو آرام گیر	مقبل ایام شو و نام گیر
بختور از طالع جوزا برآی	جوز شکن آنگه و بخت آزمای
گر در دولت زنی افتاده شو	از گره کار جهان ساده شو
ساده دلست آب که دلخوش رسید	وز گرهی عود بر آتش رسید
پیرو دل باش و مده دل به کس	خود تن تو زحمت راه تو بس
چند زنی دست به شاخ دگر	که مرا دولت ازین بیشتر
جمله عالم تو گرفتی رواست	چون بگذاری طلبیدن چراست
حرص بهل کو ره طاعت زند	گردن حرص تو قناعت زند
مرکز این گنبد فیروزه رنگ	بر تو فراخست و بر اندیشه تنگ
یا مکن اندیشه به جنگ آورش	یا به یک اندیشه به تنگ آورش
معرفتی در گل آدم نماند	اهل دلی در همه عالم نماند
در دو هنر نامه این نه دبیر	نیست یکی صورت معنی‌پذیر
دوستی از دشمن معنی مجوی	آب حیات از دم افعی مجوی
دشمن دانا که غم جان بود	بهتر از آن دوست که نادان بود
