ای گهر تاج فرستادگان	تاج ده گوهر آزادگان
هر چه زبیگانه وخیل تواند	جمله در این خانه طفیل تواند
اول بیت ار چه به نام تو بست	نام تو چون قافیه آخر نشست
این ده ویران چو اشارت رسید	از تو و آدم به عمارت رسید
آنچه بدو خانه نوآیین بود	خشت پسین دای نخستین بود
آدم و نوحی نه به از هر دوی	مرسله یک گره از هر دوی
آدم از آن دانه که شد هیضه‌دار	توبه شدش گلشکر خوشگوار
توبه دل در چمنش بوی تست	گلشکرش خاک سر کوی تست
دل ز تو چون گلشکر توبه خورد	گلشکر از گلشکری توبه کرد
گوی قبولی ز ازل ساختند	در صف میدان دل انداختند
آدم نو زخمه درآمد به پیش	تا برد آنگوی به چوگان خویش
بارگیش چون عقب خوشه رفت	گوی فرو ماند و فرا گوشه رفت
نوح که لب تشنه به حیوان رسید	چشمه غلط کرد و به طوفان رسید
مهد براهیم چو رای اوفتاد	نیم ره آمد دو سه جای اوفتاد
چون دل داود نفس تنگ داشت	در خور این زیر، بم آهنگ داشت
داشت سلیمان ادب خود نگاه	مملکت آلوده نجست آین کلاه
یوسف از آن چاه عیانی ندید	جز رسن و دلو نشانی ندید
خضر عنان زین سفر خشک تافت	دامن خود تر شدهٔ چشمه یافت
موسی از این جام تهی دید دست	شیشه به کهپایه «ارنی» شکست
عزم مسیحا نه به این دانه بود	کو ز درون تهمتی خانه بود
هم تو «فلک طرح» درانداختی	سایه بر این کار برانداختی
مهر شد این نامه به عنوان تو	ختم شد این خطبه به دوران تو
خیز و به از چرخ مداری بکن	او نکند کار تو کاری بکن
خط فلک خطه میدان تست	گوی زمین در خم چوگان تست
تا زعدم گرد فنا برنخاست	می‌تک و می‌تاز که میدان تراست
کیست فنا کاب ز جامت برد	یا عدم سفله که نامت برد
پای عدم در عدم آواره کن	دست فنا را به فنا پاره کن
ای نفست نطق زبان بستگان	مرهم سودای جگر خستگان
عقل به شرع تو ز دریای خون	کشتی جان برد به ساحل درون
قبله نه چرخ به کویت دراست	عبهر شش روزه به مویت دراست
ملک چو مویت همه درهم شود	گر سر موئی زسرت کم شود
بی قلم از پوست برون خوان توئی	بی سخن از مغز درون دان توئی
زان بزد انگشت تو بر حرف پای	تا نشود حرف تو انگشت سای
حرف همه خلق شد انگشت رس	حرف تویی زحمت انگش کس
پست شکر گشت غبار درت	پسته و عناب شده شکرت
یک کف پست تو به صحرای عشق	برگ چهل روزه تماشای عشق
تازه‌ترین صبح نجاتی مرا	خاک توام کاب حیاتی مرا
خاک تو خود روضه جان منست	روضه تو جان و جهان منست
خاک تو در چشم نظامی کشم	غاشیه بر دوش غلامی کشم
بر سر آنروضه چون جان پاک	خیزم چون باد و نشینم چو خاک
تا چو سران غالیهٔ تر کنند	خاک مرا غالیهٔ سر کنند
