سرنامه نام جهاندار پاک	برازنده رستنیها ز خاک
بلندی ده آسمان بلند	گشایندهٔ دیدهٔ هوشمند
جهان آفرین وز جهان بی نیاز	به هنگام بیچارگی چاره‌ساز
زمین را به مردم برآراست چهر	کمر بست گردش ز گردان سپهر
نیام زمین را به شمشیر آب	برافروخت چون چشمهٔ آفتاب
خداوند بی نسبت بندگی	نه پیری در او نه پراکندگی
یکی گونه ماننده هر یکیست	همه هستی از ملک او اندکیست
قوی حجت از هر چه‌گیری شمار	بری حاجت از هر چه آید به کار
مرا و تو را مایه باید نخست	که تا زو بسازیم چیزی درست
هر آنچ آفرید او به اسباب نیست	به دریافتن عقل را تاب نیست
خرد دانش‌آموز تعلیم اوست	دل از داغداران تسلیم اوست
پر از حکمت و حکم او شد جهان	به حکم آشکارا به حکمت نهان
فرشته پران را برین ساده دشت	ازو آمدن هم بدو بازگشت
دل و دیده را روشنائی ازوست	مرا و ترا پادشائی ازوست
ز فرمان او نیست کس را گزیر	خدای اوست ما بنده فرمان پذیر
مرا گر کند در جهان تاجدار	عجب نیست از بخشش کردگار
تو نیز ای جهاندار پیروز بخت	نه کز مادر آورده‌ای تاج و تخت
خدا دادت این چیره‌دستی که هست	مشو بر خدا دادگان چیره دست
سپاس خدا کن که بر ناسپاس	نگوید ثنا مرد مردم شناس
مبادا به هشیاری و بیهشی	کسی را ز فرمان او فرمشی
مرا گر خدوند یاری دهد	عجب نیست گر شهریاری دهد
توانم که گردن فرازی کنم	به شمشیر با شیر بازی کنم
به تیغ افسر و گاه خواهم گرفت	بدین اژدها ماه خواهم گرفت
نخواندی ز تاریخ جمشید شاه	که آن اژدها چون فرو برد ماه
فریدون بدان اژدها باره مرد	هم از قوت اژدهائی چه کرد
به دارندهٔ آسمان و زمین	کزو مایه دارد همان و همین
خدائی کزو هر که آگاه نیست	خرد را بدان بی خرد راه نیست
به راه نیاگان پیشین ما	که بودند پیغمبر دین ما
بصحف براهیم ایزد شناس	کزان دین کنم پیش یزدان سپاس
که گر دست یابم بر ایرانیان	برم دین زردشت را از میان
نه آتش گذارم نه آتشکده	شود آتش از دستم آتش زده
چنین رسم پاکیزه و راه راست	ره ما و رسم نیاکان ماست
برین مشک خاشاک نتوان فشاند	که بوی خوش مشک پنهان نماند
کسی راست خرما ز نخل بلند	که بر نخل خرما رساند کمند
به بستان گلی راست گردن فراز	که بوئی و رنگی دهد دلنواز
ز گوران سرافراز گوری بود	که با فحلیش دست زوری بود
ز شیران همان شیر خونریزتر	که دندان و چنگش بود تیزتر
دو شیر گرسنه است و یکران گور	کباب آن کسی راست کو راست زور
دو پیلند خرطوم درهم کشان	ز بردن یکی بود خواهد نشان
تو مردی و من مرد وقت نبرد	به مردی پدید آید از مرد مرد
من آنگه عنان باز پیچم ز راه	که یا سر نهم یا ستانم کلاه
چه پنداشتی در جهان نیست کس	جهاندار تنها تو باشی و بس
به هر زیر برگی شتابنده‌ایست	به هر منزلی راه یابنده ایست
به ماری چو من مهره بازی مکن	نبرد آر و نیرنگ سازی مکن
ز ملک من اقطاع من میدهی	برات سهیل از یمن میدهی
پنیراب دادن نشاید به میش	که یابد درو قطرهٔ خون خویش
مزن بیش از این لاف گردنکشی	که خاکی به گوهر نه از آتشی
بیارام و تندی رها کن ز دست	که الماس از ارزیز باید شکست
همان شیشه می‌که داری به چنگ	نگهدار و مستیز با خاره سنگ
جهانی چنین پرز نفط سپید	ز طوفان آتش نگهدار بید
به آسودگی عیش خوش میگذار	جهانجوی را با جزیت چه کار
یکی داد باغی به بی توشه‌ای	ندادش ز باغ آن دگر خوشه‌ای
زبونتر ز من صیدی آور به زیر	که چربی نخیزد ز پهلوی شیر
به شاخی چه باید درآویختن	که نتوان ازو میوه‌ای ریختن
تمنای شه آنگه آید به دست	که در روی دریا توان پول بست
چه باید غروری برآراستن	نه بر جای خویش آرزو خواستن
چو بهمن جوانی بران داردت	که تند اژدهائی بیو باردت
زند دیو راهت چو اسفندیار	که با رستم آیی سوی کارزار
چو با دیو دارد سلیمان نشست	کند یاوه انگشتری را ز دست
بترس از غلط کاری روزگار	که چون ما بسی را غلط کرد کار
حسابی که با خود برانداختی	چنان نیست بازی غلط باختی
عنان باز کش زین تمنای خام	که سیمرغ را کس نیارد به دام
ز زنگی نه‌ای آدمی خوارتر	نه از بربری مردم آزارتر
ببین تا به هنگام کین گستری	چه خون راندم از زنگی و بربری
مدارا کن از کین کشی باز گرد	که مردم نیازارد آزاد مرد
نه من بستم اول بدین کین کمر	تو افکندی از سله مارسر
به خونریز من لشگری ساختی	شبیخون کنان سوی من تاختی
بدان تا به‌هم‌بر زنی جای من	ستانی ز من ملک آبای من
مرا نیز بایست برخاستن	کمر بستن و لشگر آراستن
سپه راندن از ژرف دریا برون	گشادن به شمشیر دریای خون
تو گر هوشیاری نه من بی‌خودم	همان هوشیارم همان بخردم
گر افکند بر کار تو بخت نور	من از بختیاری نیم نیز دور
جهان گر تو را داد کاری بدست	مرا نیز دستی در این کار هست
تو را تاج یاور مرا تیغ یار	کنم تیغزن گر توئی تاجدار
مزن تکیه بر مسند و تخت خویش	که هر تخت را تخته‌ای هست پیش
مبین گنبد کوه را سنگ بست	مگو سنگ را کی درآید شکست
چو آرد زمین لرزه ناگه نبرد	برآرد به آسانی از کوه گرد
چو دوران ملکی به پایان رسد	بدو دست جوینده آسان رسد
جهان چون نباشد به جان آمده	منی و توئی در میان آمده
جز این از منت هیچ واخواست نیست	که در یک ترازو دو من را ست نیست
به هم سنگی خود مرا بر مسنج	که از اژدها بهمن آمد به رنج
گرم سنگ و آبی نهی در جواب	چو کوه افکنم سنگ خود را در آب
زره پوشم ار تیغ بازی کنی	کمر بندم ار صلح سازی کنی
به هر چه آن نمائی تو از گرم و سرد	پذیرنده‌ام ز آشتی و نبرد
بیا تا چه داری ز شمشیر و جام	که دارم درین هر دو دستی تمام
جهاندار چون نامه را کرد گوش	دماغش ز گرمی درآمد به جوش
