فرستاده خاص پروردگار	رساننده حجت استوار
گرانمایه‌تر تاج آزادگان	گرامی‌تر از آدمیزادگان
محمد کازل تا ابد هر چه هست	به آرایش نام او نقش بست
چراغی که پروانه بینش به دوست	فروغ همه آفرینش بدوست
ضمان دار عالم سیه تا سپید	شفاعت گر روز بیم و امید
درختی سهی سایه در باغ شرع	زمینی به اصل آسمانی به فرع
زیارتگه اصل داران پاک	ولی نعمت فرع خواران خاک
چراغی که تا او نیفروخت نور	ز چشم جهان روشنی بود دور
سیاهی ده خال عباسیان	سپیدی بر چشم شماسیان
لب از باد عیسی پر از نوش تر	تن از آب حیوان سیه پوش‌تر
فلک بر زمین چار طاق افکنش	زمین بر فلک پنج نوبت زنش
ستون خرد مسند پشت او	مه انگشت کش گشته ز انگشت او
خراج آورش حاکم روم و ری	خراجش فرستاده کری و کی
محیطی چه گویم چو بارنده میغ	به یک دست گوهر به یک دست تیغ
به گوهر جهان را بیاراسته	به تیغ از جهان داد دین خواسته
اگر شحنه‌ای تیغ بر سر برد	سر تیغ او تاج و افسر برد
به سر بردن خصم چون پی فشرد	به سر برد تیغی که بر سر نبرد
قبای دو عالم به‌هم دوختند	وزان هر دو یک زیور افروختند
چو گشت آن ملمع قبا جای او	به دستی کم آمد ز بالای او
به بالای او کایزد آراستست	هم آرایش ایزدی راستست
کلید کرم بوده در بند کار	گشاده بدو قفل چندین حصار
فراخی بدو دعوت تنگ را	گواهی بر اعجاز او سنگ او
تهی دست سلطان درویش پوش	غلامی خر و پادشاهی فروش
ز معراج او در شب ترکتاز	معرج گران فلک را طراز
شب از چتر معراج او سایه‌ای	وز آن نردبان آسمان پایه‌ای
