مخلصانی که در مراقبتند	در هراس خلاف عاقبتند
لهجهٔ خشم او نداند کس	مخلصان راست این هدایت و بس
هر کرا میکشد به خنجر خشم	اول او را زبان ببندد و چشم
روی مجرم بپوشد او به وفا	تیغ قهرش در آورد ز قفا
با تف خشم او چه کفر و چه دین؟	با عتابش چه آسمان، چه زمین؟
تا ز خشمش بجاست یک ذره	نتوان شد به عدل خود غره
چونکه با نیستی شدی دمساز	اگر آن نیستی ببینی باز
زان نظر در گناهت اندازد	خشم گیرد به چاهت اندازد
روز صلحت به دست مدح دهد	شب خشمت به تیغ قدح دهد
آنکه مدح تو گفت مجبورست	وآنکه قدح تو کرد معذورست
گر ستایش کنند شاد مشو	ور نکوهند از آن به باد مشو
تو چه دانی؟ که آزمایش اوست	غیر گوید ولی نمایش اوست
حسن او را لطیفه‌ها باشد	درد او را وظیفه‌ها باشد
زین دو وزن تو باز خواهد جست	تا ببیند که محکمی یا سست؟
تا ترا مدح دیگری ساقیست	از طبیعت هنوز پر باقیست
عارفی کونه از هوا شنود	این دو قول از یکی نوا شنود
بر گمارنده اوست ایشان را	جمع کن خاطر پریشان را
با کسی کو ازین شماره بود	هیچ دانی ترا چه چاره بود؟
کردن کار و کار نادیدن	جز رخ آن نگار نادیدن
یا در آن زلف پیچ پیچ مبین	یا نظرها ببند و هیچ مبین
اوحدی، غم چو ناگزیر تو شد	عشق آن چهره در ضمیر تو شد
یار نازک دلست، بارش بر	گل بچینی تو، رنج خارش بر
گر براند، برو چه درمانست؟	ور بخواند، بیا که فرمانست
گرت از چپ دواند و گر راست	آنچنان رو که خاطر او خواست
گر ز روی ادب دهد رنجت	به از آن کز غضب دهد گنجت
گه بود کز عضب کند شاهت	برد از تخت باز در چاهت
غضب او نهفته باشد و نرم	تا در آزارش افتی از آزرم
غضبش را بدان وزان به هراس	ادبش هم ببین، بدار سپاس
