بینش اوست غایت عرفان	دانش او سرایت عرفان
نرسد کس به کنه معرفتش	مگر از باز جستن صفتش
احدیت نشان ذاتش دان	صمدیت در صفاتش دان
احدست او نه از طریق شمار	صمدست او ولی ندارد یار
صفت از ذات دور نتوان کرد	شرح این جز به نور نتوان کرد
او ازین، این ازو جدا نبود	گر نباشد چنین خدا نبود
ذات او از صفت بدر دیدن	کی توانی به چشم سر دیدن؟
صفتش را به دل نشاید یافت	در صفاتش خلل نشاید یافت
در صفاتش چو از صفا نگری	هر چه بود او بود چو وانگری
دوربینان رخش چنین دیدند	به صفت در شدند و این دیدند
هر کرا هست بویی از صفتش	بپرستند اهل معرفتش
از برای صفات او باشد	بر در هر که گفتگو باشد
صفت اوست جان و مردم جسم	صفت اوست گنج و خلق طلسم
ذات ما را صفات اوست حیات	چون حیات صفات خلق از ذات
هر که او زین صفات عور شود	همچو چشمی بود که کور شود
هر کجا قدرتست قادر هست	بی‌شرابی کجا توان شد مست؟
هر کجا حسن بیش، غوغا بیش	چون بدین جا رسی مرو زین پیش
عالمی زان جمال شیدا گشت	که نه پوشیده شد، نه پیدا گشت
گشت ظاهر که دل درو بندی	ماند باطن که در نپیوندی
دل به تحقیق حال او نرسد	جان به کنه جلال او نرسد
ذات او جز به نام نتوان دید	صفتش را تمام نتوان دید
گر چه با او به جان همی کوشند	بیشتر در گمان همی کوشند
صفت و ذات او قدیمانند	نه صفت را نه، ذات را، مانند
همه گیتی به ذات او قایم	ذات او با صفات او دایم
صفتش در هزار و یک پردست	وز حساب آن هزار و یک فردست
سالها زحمتست و کار ترا	تا یکی گردد آن هزار ترا
دانش ذات جز بدو نتوان	وان به تقلید و گفتگو نتوان
صفتش را به فکر داند مرد	وندرین باب فکر باید کرد
با قدم چون حدث ندیم شود	کی حدث پردهٔ قدیم شود؟
ذات را غیر چون بپوشاند؟	دیگ را آب چون بجوشاند؟
نور خورشید از آنکه شد چیره	دیدنش دیده را کند خیره
جستجویش به کو و کی نکنند	بکش این پای تات پی نکنند
احدست او نه از طریق عدد	احدی فارغ از تکلف حد
عقل و ادراک آفریدهٔ اوست	دیدن عقل هم به دیدهٔ اوست
نتوان دیدنش به آلت چشم	نیست بر دیدنش حوالت چشم
نور چون گردد از نهایت فرد	بکماهیش ضبط نتوان کرد
حال آن نور و دیدهٔ اوباش	آفتابست و دیدهٔ خفاش
نی، چه گفتم؟ چه جای این سازست؟	دوست پیدا و دیده‌ها بازست
در تو و دیدن تو خیری نیست	ورنه در کاینات غیری نیست
نیست، گر نیک بنگری، حالی	در جهان ذره‌ای ازو خالی
سخن عشق کم خریدارست	ورنه معشوق بس پدیدارست
حاصل این حروف و دمدمه اوست	همه محتاج او و خود همه اوست
تا ز توحید او نگردی مست	ندهد رتبت وصولت دست
زمره‌ای کین اصول میدانند	این نظرها وصول میخوانند
ورنه مخلوق چون خدا گردد؟	بجزین مایه کاشنا گردد
نور او قاهرست و سوزنده	زو دگر نورها فروزنده
آتشی کش تو بر فروخته‌ای	وندرو خشک و تر بسوخته‌ای
چونکه از نور داشت قوت و هنگ	کرد با خویش جمله را یکرنگ
تا تو همرنگ آن پری نشوی	از هلاک و فنا بری نشوی
زر خالص چو رنگ نوری داشت	تن او از هلاک دوری داشت
