چون مزاج جهان بدانستم	نشدم غره، تا توانستم
کار من گوشه و کناری بود	راستی را شگرف کاری بود
ماه را قدر من سها گفتی	زهره را خود ببین چها گفتی؟
آنکه مهرش نیاید اندر چشم	شاید ار گیرد از عطارد خشم
منزلم مکهٔ مبارک بود	نزلم از «عمه» و «تبارک» بود
دل من با ملک به راز شده	جانم از جسم بی‌نیاز شده
دیر در قدس و سیر در لاهوت	از «ابا» و «ابیت» ساخته قوت
بوقبیس و حری درون خطم	بولهلب در زبانهٔ سخطم
منکسر گشته قلب و یار شده	قالبم عنکبوت غار شده
دم عیسی دل مرا حاصل	کف موسی به ساعدم واصل
نفس من زبور خوان گشته	نفسم انجیل را زبان گشته
دامنم زان فتوح گرما گرم	داشت از آستین مریم شرم
هر زمانم نوازشی تازه	چرخ از آواز من پر آوازه
ماه طلعم کلف پذیر نبود	روز عیشم زوال گیر نبود
سایه بر مال کس نیفگندم	مالش کس نکرد در بندم
چشم زخمی به حال من برسید	تیر نقصی به بال من برسید
غیرت روزگار بادم داد	دادم آن روزگار نیک بباد
دو سه درویش را به من پیوست	رونق احتشام من بشکست
غم ایشان دلم به جان آورد	به ضروریم در میان آورد
تا شدم کفچه دست و کاسه شکم	بر در خلق میشدم که: درم
چند پرسی نشان من که کجاست؟	گم شدم، پی چه پویی از چپ و راست؟
مدتی شد که از وطن دورم	غربتم رنجه کرد و رنجورم
دل من تاب و سینه تنگی یافت	جانم از غصه بار سنگی یافت
رخت خود در خرابه‌ای بردم	زان دل افسردگان بیفسردم
سخنم را درو رواج نبود	وز خرابی برو خراج نبود
بر سر شعر جان همی دادم	گاهگاهش به نان همی دادم
با چنان قوم و دستگاهی سهل	سازگاریست کار مردم اهل
گر نبودی شکوه یک دو بزرگ	اندران فترتم بخوردی گرگ
در چنین فقر و نامرادی‌ها	« خضعت وجهتی لوادیها»
صدر مشروح و صدره چاک زده	سالها آه سوزناک زده
منتظر تا سحر شود شامم	رنگ روزی بتابد از بامم
خبر منعمی شنیده شود	هوشمندی ز دور دیده شود
تا که شد صیت رتبت خواجه	سروری را تراز دیباجه
مسندش سد ملک داری شد	فلکش حامل عماری شد
اختر طالعم بلندی یافت	کارم از بخت زورمندی یافت
غم دل روی در رمیدن کرد	فتنه آهنگ آرمیدن کرد
شب سروشی به صورت مردم	قال: «یا ایها المزل، قم»
ای کلیم سخن کلامت کو؟	جم جهانگیر گشت جامت کو؟
کرمش در گشود و خوان انداخت	لطفش آوازه در جهان انداخت
چه نشینی که وقت کار آمد؟	گل امیدها به بار آمد
مرد کاری، حدیث مردان کن	جام پر گشت، دور گردان کن
کارت از دست اگر چه رفت،بکوش	وین قدح را به یاد خواجه بنوش
