از ساحت پاک آشیانی	مرغی بپرید سوی گلزار
در فکرت توشی و توانی	افتاد بسی و جست بسیار
رفت از چمنی به بوستانی	بر هر گل و میوه سود منقار
تا خفت ز خستگی زمانی	یغماگر دهر گشت بیدار
تیری بجهید از کمانی	چون برق جهان ز ابر آذار
چون بال و پرش تپید در خون	از یاد برون شدش پریدن
افتاد ز گیرودار گردون	نومید ز آشیان رسیدن
از پر سر خویش کرد بیرون	نالید ز درد سر کشیدن
دانست که نیست دشت و هامون	شایستهٔ فارغ آرمیدن
شد چهرهٔ زندگی دگرگون	در دیده نماند تاب دیدن
مجروح ز رنج زندگی رست	از قلب بریده گشت شریان
آن بال و پر لطیف بشکست	وان سینهٔ خرد خست پیکان
صیاد سیه دل از کمین جست	تا صید ضعیف گشت بیجان
در پهلوی آن فتاده بنشست	آلوده بخون مرغ دامان
بنهاد به پشتواره و بست	آمد سوی خانه شامگاهان
چون صبح دمید، مرغکی خرد	افتاد ز آشیانه در جر
چون دانه نیافت، خون دل خورد	تقدیر، پرش بکند یکسر
شاهین حوادثش فرو برد	نشنید حدیث مهر مادر
دور فلکش بهیچ نشمرد	نفکند کسیش سایه بر سر
نادیده سپهر زندگی، مرد	پرواز نکرده، سوختش پر
آمد شب و تیره گشت لانه	وان رفته نیامد از سفر باز
کوشید فسونگر زمانه	کاز پرده برون نیفتد این راز
طفلان بخیال آب و دانه	خفتند و نخاست دیگر آواز
از بامک آن بلند خانه	کس روز عمل نکرد پرواز
یکباره برفت از میانه	آن شادی و شوق و نعمت و ناز
آن مسکن خرد پاک ایمن	خالی و خراب ماند فرجام
افتاد گلش ز سقف و روزن	خار و خسکش بریخت از بام
آرامگهی نه بهر خفتن	بامی نه برای سیر و آرام
بر باد شد آن بنای روشن	نابود شد آن نشانه و نام
از گردش روزگار توسن	وز بدسری سپهر و اجرام
شد ساقی چرخ پیر خرسند	پردید ز خون چو ساغری را
دستی سر راه دامی افکند	پیچانید به رشته‌ای سری را
جمعیت ایمنی پراکند	شیرازه درید دفتری را
با تیشهٔ ظلم ریشه‌ای کند	بر بست ز فتنه‌ای دری را
خون ریخت بکام کودکی چند	برچید بساط مادری را
