شنیدستم یکی چوپان نادان	بخفتی وقت گشت گوسفندان
در آن همسایگی، گرگی سیه کار	شدی همواره زان خفتن، خبردار
گرامی وقت را، فرصت شمردی	گهی از گله کشتی، گاه بردی
دراز آن خواب و عمر گله کوتاه	ز خون هر روز، رنگین آن چراگاه
ز پا افتادی، از زخم و گزندی	زمانی بره‌ای، گه گوسفندی
بغفلت رفت زینسان روزگاری	نشد در کار، تدبیر و شماری
شبان را دیو خواب افکنده در دام	بدام افتند مستان، کام ناکام
ز آغل گله را تا دشت بردی	بچنگ حیلهٔ گرگش سپردی
نه آگه بود از رسم شبانی	نه میدانست شرط پاسبانی
چو عمری گرگ بد دل، گله راند	دگر زان گله، چوپان را چه ماند
چو گرگ از گله هر شام و سحر کاست	شبان از خواب بی هنگام برخاست
بکردار عسس، کوشید یک چند	فکند آن دزد را، یکروز در بند
چنانش کوفت سخت و سخت بر بست	که پشت و گردن و پهلوش بشکست
بوقت کار، باید کرد تدبیر	چه تدبیری، چو وقت کار شد دیر
بگفت، ای تیره روز آزمندی	تو گرگ بس شبان و گوسفندی
بدینسان داد پاسخ، گرگ نالان	نه چوپانی تو، نام تست چوپان
نشاید وقت بیداری غنودن	شبان بودن، ز گرگ آگه نبودن
شبانی باید، ای مسکین، شبان را	توان شب نخفتن، پاسبان را
نه هر کو گله‌ای راند، شبان است	نه هر کو چشم دارد، پاسبان است
تو، عیب کار خویش از خود نهفتی	بهنگام چرای گله، خفتی
شدی پست، این نه آئین بزرگی است	ندانستی که کار گرگ، گرگی است
تو خفتی، کار از آن گردید دشوار	نشاید کرد با یکدست، ده کار
چرا امروز پشت من شکستی	کجا بود آن زمان این چوبدستی
شبانان نیستند از گرگ، ایمن	تو وارون بخت، ایمن بودی از من
نخسبد هیچ صاحب خانه آرام	چو در نامحکم و کوته بود بام
شبانان، آنقدر پرسند و پویند	که تا گمگشته‌ای را، باز جویند
من از تدبیر و رای خانمانسوز	در آغلها بسی شب کرده‌ام روز
چه غم گر شد مرا هنگام مردن	پس از صد گوسفند و بره خوردن
مرا چنگال، روزی خون بسی ریخت	به گردنها و شریانها در آویخت
بعمری شد ز خون آشامیم رنگ	بطرف مرغزاران، سبزه و سنگ
بسی گوساله را پهلو فشردم	بسی بزغاله را از گله بردم
اگر صد سال در زنجیر مانم	نخستین روز آزادی، همانم
شبان فارغ از گرگ بداندیش	بود فرجام، گرگ گلهٔ خویش
کنون دیگر نه وقت انتقام است	که کار گله و چوپان، تمام است
