نهفتن بعمری غم آشکاری	فکندن بکشت امیدی شراری
بپای نهالی که باری نیارد	جفا دیدن از آب و گل، روزگاری
ببزم فرومایگان ایستادن	نشستن بدریوزه در رهگذاری
ز بیم هژبران، پناهنده گشتن	بگرگی سیه دل، بتاریک غاری
ز سنگین دلی، خواهش لطف کردن	سوی ناکسی، بردن از عجز کاری
بجای گل آرزوئی و شوقی	نشاندن بدل، نوک جانسوز خاری
بدریا درافتادن و غوطه خوردن	نه جستن پناهی، نه دیدن کناری
زبون گشتن از درد و محروم ماندن	بهر جا برون بودن از هر شماری
شنیدن ز هر سفله، حرف درشتی	ز مردم کشی، خواستن زینهاری
بهی، پراکنده گشتن چو کاهی	ز بادی، پریشان شدن چون غباری
بسی خوشتر و نیک‌تر نزد دانا	ز دمسازی یار ناسازگاری
