ببام قلعه‌ای، باز شکاری	نمود از ماکیانی خواستگاری
که من زالایش ایام پاکم	ز تنهائی، بسی اندهناکم
ز بالا، صبحگاهی دیدمت روی	پسند آمد مرا آن خلقت و خوی
چه زیبائی بهنگام چمیدن	چه دانایی بوقت چینه چیدن
پذیره گر شوی، خدمت گذاریم	هوای صحبت و پیوند داریم
مرا انبارها پرتوش و برگ است	ولی این زندگی بیدوست، مرگ است
چه حاصل، زیستن در خار و خاشاک	زدن منقار و جستن ریگ از خاک
ز پر هدهدت پیراهن آرم	اگر کابینت باید، ارزن آرم
من از بازان خاص پادشاهم	تمام روز در نخجیرگاهم
بیا، هم عهد و هم سوگند باشیم	اگر آزاد و گر در بند باشیم
تو از جوی آوری روزی من از جر	تو آگه باشی از بام و من از در
تو فرزندان بزیر پر نشانی	مرا چون پاسبان، بر در نشانی
بروز عجز، دست هم بگیریم	چو گاه مرگ شد، با هم بمیریم
بگفتا، مغز را مگذار در پوست	نشد دشمن بدین افسانه‌ها دوست
خرابیهاست در این سست بنیان	بخون باید نوشت، این عهد و پیمان
مرا تا ضعف عادت شد، ترا زور	نخواهد بود این پیوند، مقدور
ازین معنی سخن گفتن، تباهی است	چنین پیوند را پایان، سیاهی است
مدار از زندگانی باز، ما را	مده سوی عدم پرواز، ما را
چو پر داریم، پیراهن نخواهیم	چو گندم میدهند، ارزن نخواهیم
نه هم خوئیم ما با هم، نه هم راز	نه انجام است این ره را، نه آغاز
کسی کاو رهزنی را ایمنی داد	بدست او طناب رهزنی داد
نه سوگند است، سوگند هریمن	نه دل میسوزدش بر کس، نه دامن
در دل را بروی دیو مگشای	چو بگشودی نداری خویشتن جای
دوروئی، راه شد نفس دو رو را	همان بهتر، نریزیم آبرو را
