الهی به مستان میخانه‌ات	بعقل آفرینان دیوانه‌ات
به دردی کش لجهٔ کبریا	که آمد به شأنش فرود انّما
به درّی که عرش است او را صدف	به ساقی کوثر، به شاه نجف
به نور دل صبح خیزان عشق	ز شادی به انده گریزان عشق
به رندان سر مست آگاه دل	که هرگز نرفتند جز راه دل
به انده‌پرستان بی پا و سر	به شادی فروشان بی شور و شر
کزان خوبرو، چشم بد دور باد	غلط دور گفتم که خود کور باد
به مستان افتاده در پای خم	به مخمور با مرگ با اشتلم
بشام غریبان، به جام صبوح	کز ایشانست شام و سحر را فتوح
که خاکم گل از آب انگور کن	سرا پای من آتش طور کن
خدا را بجان خراباتیان	کزین تهمت هستیم وارهان
به میخانهٔ وحدتم راه ده	دل زنده و جان آگاه ده
که از کثرت خلق تنگ آمدم	به هر جا شدم سر به سنگ آمدم
بیا ساقیا می بگردش در آر	که دلگیرم از گردش روزگار
مئی ده که چون ریزیش در سبو	بر ‌آرد سبو از دل آواز هو
از آن می که در دل چو منزل کند	بدن را فروزان‌تر از دل کند
از آن می که گر عکسش افتد بباغ	کند غنچه را گوهر شبچراغ
از آن می که گر شب ببیند بخواب	چو روز از دلش سر زند آفتاب
از آن می که گر عکسش افتد بجان	توانی بجان دید حق را عیان
از آن می که چون شیشه بر لب زند	لب شیشه تبخاله از تب زند
از آن می که گر عکسش افتد به آب	بر آن آب تبخاله افتد جباب
از آن می که چون ریزیش در سبو	بر آرد سبو از دل آواز هو
از آن می که در خم چو گیرد قرار	بر آرد خم آتش ز دل همچو نار
می صاف ز آلودگی بشر	مبدل به خیر اندر او جمله شر
می معنی افروز صورت گداز	مئی گشته معجون راز و نیاز
از آن آب، کاتش بجان افکند	اگر پیر باشد جوان افکند
مئی را کزو جسم جانی کند	بباده، زمین آسمانی کند
مئی از منی و توئی گشته پاک	شود جان، چکد قطره‌ای گر به خاک
به انوار میخانه ره پوی، آه	چه میخواهی از مسجد و خانقاه
بیا تا سری در سر خم کنیم	من و تو، تو و من، همه گم کنیم
بیک قطره می آبم از سر گذشت	به یک آه، بیمار ما درگذشت
بزن هر قدر خواهیم، پا به سر	سر مست از پا ندارد خبر
چشی گر از این باده، کو کو زنی	شوی چون ازو مست هو هو زنی
مئی سر بسر مایهٔ عقل و هوش	مئی بی خم و شیشه، در ذوق و جوش
دماغم ز میخانه بویی کشید	حذر کن که دیوانه، هویی کشید
بگیرید زنجیرم ای دوستان	که پیلم کند یاد هندوستان
دلا خیز و پائی به میخانه نه	صلائی به مستان دیوانه ده
خدا را ز میخانه گر آگهی	به مخمور بیچاره، بنما رَهی
دلم خون شد از کلفت مدرسه	خدا را خلاصم کن از وسوسه
چو ساقی همه چشم فتان نمود	به یک نازم، از خویش عریان نمود
پریشان دماغیم، ساقی کجاست	شراب ز شب مانده باقی کجاست
بیا ساقیا، می بگردش در آر	که می خوش بود خاصه در بزم یار
مئی بس فروزان‌تر از شمع و روز	می و ساقی و بادهٔ جام سوز
می صاف ز الایش ما سوی	ازو یک نفس تا بعرش خدا
مئی کو مرا وارهاند ز من	ز آئین و کیفیت ما و من
از آن می حلال است در کیش ما	که هستی وبال است در پیش ما
از آن می حرام است بر غیر ما	که خارج مقام است در سیر ما
مئی را که باشد در او این صفت	نباشد بغیر از می معرفت
به این عالم ار آشنائی کنی	ز خود بگذری و خدائی کنی
کنی خاک میخانه گر توتیا	خدا را ببینی بچشم خدا
به میخانه آی و صفا را ببین	ببین خویشتن را خدا را ببین
تودر حلقهٔ می‌پرستان در آ	که چیزی نبینی بغیر خدا
بگویم که از خود فنا چون شوی	ز یک قطره زین باده مجنون شوی
 بشوریدگان گر شبی سر کنی	از آن می که مستند لب تر کنی
جمال محالی که حاشا کنی	ببندی دو چشم و تماشا کنی
نیاری تو چون تاب دیدار او	ز دیدار رو کن به دیوار او
قمر درد نوش است از جام ما	سحر خوشه چین است از شام ما
مغنی نوای دگر ساز کن	دلم تنگ شد مطرب آواز کن
بگو زاهدان اینقدر تن زنند	که آهن ربائی بر آهن زنند
بس آلوده‌ام آتش می کجاست	پر آسوده‌ام نالهٔ نی کجاست
به پیمانه، پاک از پلیدم کنید	همه دانش و داد و دیدم کنید
چو پیمانه از باده خالی شود	مرا حالت مرگ حالی شود
همه مستی و شور و حالیم ما	نه چون تو همه قیل و قالیم ما
خرابات را گر زیارت کنی	تجلی بخروار غارت کنی
چه افسرده‌ای رنگ رندان بگیر	چرا مرده‌ای آب حیوان بگیر
زنی در سماعی، ز می سرخوشی	سزد گر ازین غصه خود را کشی
توانی اگر دل، دریا کنی	تو آن دُر یکتای پیدا کنی
ندوزی چو حیوان نظر بر گیاه	بیابی اگر لذت اشک و آه
بیا تا بساقی کنیم اتفاق	درونها مصفا کنیم از نفاق
بیائید تا جمله مستان شویم	ز مجموع هستی پریشان شویم
چو مستان بهم مهربانی کنیم	دمی بی‌ریا زندگانی کنیم
بگرییم یکدم چو باران بهم	که اینک فتادیم یاران زهم
جهان منزل راحت اندیش نیست	ازل تا ابد، یکنفس بیش نیست
سراسر جهان گیرم از توست بس	چه میخواهی آخر از این یکنفس
فلک بین که با ما جفا میکند	چها کرده است و چها میکند
برآورد از خاک ما گرد و دود	چه میخواهد از ما سپهر کبود
نمیگردد این آسیا جز بخون	الهی که برگردد این سرنگون
من آن بینوایم که تا بوده‌ام	نیاسایم ار یکدم آسوده‌ام
رسد هر دم از همدمانم غمی	نبودم غمی گر بدم همدمی
در این عالم تنگ‌تر از قفس	به آسودگی کس نزد یک نفس
مرا چشم ساقی چو از هوش برد	چه کارم به صاف و چه کارم به درد
نه در مسجدم ره، نه در خانقاه	از آن هر دو در هر دو، رویم سیاه
نمانده است در هیچکس مردمی	گریزان شده آدم از آدمی
گروهی همه مکر و زرق و حیل	همه مهربان، بهر جنگ و جدل
همه متفق با هم اندر نفاق	به بدخوئی اندر جهان جمله طاق
همه گرگ مانا همه میش پوست	همه دشمنی کرده در کار دوست
شب آلودگی، روز شرمندگی	معاذ الله از اینچنین زندگی
اگر مرد راهی؟ ز دانش مگو	که او را نداند کسی غیر او
برو کفر و دین را وداعی بکن	به وجد اندر آ و سماعی بکن
مکن منعم از باده ای محتسب	که مستم من از جام لا یحتسب
چو ما زین می، ار مست و نادان شوی	ز دانائی خود پشیمان شوی
خوری باده، خورشید رخشان شوی	چه دنبال لعل بدخشان سوی
صبوح است ساقی برو می بیار	فتوح است مطرب دف و نی بیار
از ان می که در دل اثر چون کند	قلندر بیک خرقه قارون کند
نوای مغنی چه تأثیر داشت	که دیوانه نتوان به زنجیر داشت
مغنی سحر شد خروشی بر آر	ز خامان افسرده جوشی بر آر
که افسردهٔ صحبت زاهدم	خراب می و ساغر و شاهدم
سرم در سر می‌پرستان مست	که جزمی فراموششان هر چه هست
به می گرم کن جان افسرده را	که می زنده دارد تن مرده را
مگو تلخ و شور آب انگور را	که روشن کند دیدهٔ کور را
بده ساقی آن آب آتش خواص	که از هستیم زود سازد خلاص
بمن عشوه چشم ساقی فروخت	که دین و دل و عقل را جمله سوخت
ازین دین به دنیا فروشان مباش	بجز بندهٔ باده‌نوشان مباش
کدورت کشی از کف کوفیان	صفا خواهی، اینک صف صوفیان
چو گرم سماعند هر سو صفی	حریفان اصولی ندیمان کفی
چه درماندهٔ دلق و سجاده‌ای	مکش بار محنت، بکش باده‌ای
ز قطره سخن پیش دریا مکن	حدیث فقیهان بر ما مکن
مکن قصهٔ زاهدان هیچ گوش	قدح تا توانی بنوشان و نوش
سحر چون نبردی به میخانه راه	چراغی به مسجد مبر شامگاه
خراباتیا، سوی منبر مشو	بهشتی، بدوزخ برابر مشو
بزن ناخن و نغمه‌ای بر دلم	دمار کدورت بر آر از گلم
بکش باده تلخ و شیرین بخند	فنا گرد و بر کفر و بر دین بخند
که نور یقین در دلم جوش زد	جنون آمد و بر صف هوش زد
قلم بشکن و دور افکن سبق	بسوزان کتاب و بشویان ورق
تعالی اللّه از جلوهٔ آن شراب	که بر جملگی تافت چون آفتاب
تو زین جلوه از جا نرفتی که‌ای	تو سنگی، کلوخی، جمادی، چه‌ای
رخ ای زاهد از می پرستان متاب	تو در آتش افتاده‌ای من در آب
که گفته است چندین ورق را ببین	بگردان ورق را و حق را ببین
مگو هیچ با ما ز آئین عقل	که کفر است در کیش ما دین و عقل
ز ما دست ای شیخ مسجد بدار	خراباتیان را به مسجد چکار
ردا کز ریا بر زنخ بسته‌ای	بینداز دورش که یخ بسته‌ای
فزون از دو عالم تو در عالمی	بدینسان چرا کوتهی و کمی
تو شادی بدین زندگی عار کو	گشودند گیرم درت بار کو؟
نماز ار نه از روی مستی کنی	به مسجد درون بت‌پرستی کنی
به مسجد رو و قتل و غارت ببین	به میخاه آی و فراغت ببین
به میخانه آی و حضوری بکن	سیه کاسه‌ای کسب نوری بکن
چو من گر ازین می تو بی من شوی	بگلخن درون رشک گلشن شوی
چه میخواهد از مسجد و خانقاه	هر آنکو به میخانه برده است راه
نه سودای کفر و نه پروای دین	نه ذوقی به آن و نه شوقی به این
برونها سفید و درونها سیاه	فغان از چنین زندگی آه، آه
همه سر برون کرده از جیب هم	هنرمند گردیده در عیب هم
خروشیم بر هم چو شیر و پلنگ	همه آشتیهای بدتر ز جنگ
فرو رفته اشک و فرا رفته آه	که باشند بر دعوی ما گواه
بفرمای گور و بیاور کفن	که افتاده‌ام از دل مرد و زن
دلم گه از آن گه ازین جویدش	ببین کاسمان از زمین جویدش
به می هستی خود فنا کرده‌ایم	نکرده کسی آنچه ما کرده‌ایم
دگر طعنهٔ باده بر ما مزن	که صد بار زن بهتر از طعنه زن
نبردست گویا به میخانه راه	که مسجد بنا کرده و خانقاه
چه میخواهد از مسجد و خانقاه	هر آنکو به میخانه بردست راه
روان پاک سازیم از آب تاک	که آلودهٔ کفر و دین است پاک
ندانم چه گرمیست با این شراب	که آتش خورم گویی از جام آب
به می صاحب تخت و تاجم کنید	پریشان دماغم، علاجم کنید
جسد دادم و جان گرفتم ازو	چه میخواستم، آن گرفتم ازو
بینداز این جسم و جان شو همه	جسد چیست؟ روح روان شو همه
گدائی کن و پادشاهی ببین	رهاکن خودی و خدائی ببین
تکلف بود مست از می شدن	خوشا بیخود از نالهٔ نی شدن
درون خرابات ما شاهدیست	که بدنام ازو هر کجا زاهدیست
بخور می که در دور عباس شاه	به کاهی ببخشند کوهی گناه
سکندر توان و سلیمان شدن	ولی شاه عباس نتوان شدن
که آئین شاهی از آن ارجمند	نشسته است برطرف طاق بلند
یکی از سواران رزمش هزار	یکی از گدایان بزمش بهار
سگش بر شهان دارد از آن شرف	که باشد سگ آستان نجف
الهی به آنان که در تو گمند	نهان از دل و دیدهٔ مردمند
نگهدار این دولت از چشم بد	بکش مد اقبال او تا ابد
همیشه چو خور گیتی افروز باد	همه روز او عید نوروز باد
شراب شهادت بکامش رسان	بجد علیه السلامش رسان
رضی روز محشر علی ساقی است	مکن ترک می تا نفس باقی است
