برخیز که می‌رود زمستان	بگشای در سرای بستان
نارنج و بنفشه بر طبق نه	منقل بگذار در شبستان
وین پرده بگوی تا به یک بار	زحمت ببرد ز پیش ایوان
برخیز که باد صبح نوروز	در باغچه می‌کند گل افشان
خاموشی بلبلان مشتاق	در موسم گل ندارد امکان
آواز دهل نهان نماند	در زیر گلیم و عشق پنهان
بوی گل بامداد نوروز	و آواز خوش هزاردستان
بس جامه فروختست و دستار	بس خانه که سوختست و دکان
ما را سر دوست بر کنارست	آنک سر دشمنان و سندان
چشمی که به دوست برکند دوست	بر هم ننهد ز تیرباران
سعدی چو به میوه می‌رسد دست	سهلست جفای بوستانبان
