دولت روزگار درگذرست	پرتو آفتاب دربدرست
شمع بالین این گرانخوابان	بی بقا چون ستاره سحرست
گر چه دل می برد جدا هر یک	می و مهتاب، شیر با شکرست
روی خوش، لفظ و بوی خوش معنی است	معنی از لفظ دلپذیرترست
جام بی باده مرغ پرکنده است	بط می را شراب بال و پرست
قرب سیمین بران گدازنده است	رنج باریک رشته از گهرست
چشم بی اشک، ابر بی باران	دست بی جود، شاخ بی ثمرست
نخورد غم ز دوری منزل	رهروی را که توشه بر کمرست
دلش از می سیاهتر گردد	هر که چون لاله آتشین جگرست
بد درونند ظاهرآرایان	ابره ها پرده دار آسترست
هنر دیگران ندیدن، عیب	دیدن عیب خویشتن هنرست
کند آتش عیار زر روشن	محک خلق آدمی سفرست
تشنه آفت است مال بخیل	خون فاسد هلاک نیشترست
می کند ترک رنگ و بو صائب	همچو شبنم کسی که دیده ورست
